,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Achraf Hakimi,MAR,DF,24,1998,25,1932,77,63.1,21.5,20,88,17,5,33,3,2.04,52,24,28,1.3,-0.29,45.5,26.6,18.8,0.88,0.08
FRA-Ligue 1,2324,Paris S-G,Alexandre Letellier,FRA,GK,32,1990,0,,,,,0,,0,0,,6,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Arnau Tenas,ESP,GK,22,2001,6,529,88,17.3,5.9,5,90,5,1,79,13,1.83,9,7,2,0.34,-1.3,10.4,6.9,3.5,0.59,-0.31
FRA-Ligue 1,2324,Paris S-G,Bradley Barcola,FRA,"FW,MF",20,2002,25,1370,55,44.8,15.2,18,67,2,7,25,2,2.2,35,18,17,1.12,-0.53,28.7,18.0,10.6,0.7,-0.27
FRA-Ligue 1,2324,Paris S-G,Carlos Soler,ESP,"MF,DF",26,1997,24,1090,45,35.6,12.1,12,79,3,12,12,9,2.25,21,14,7,0.58,-1.3,21.4,15.0,6.4,0.53,-0.49
FRA-Ligue 1,2324,Paris S-G,Cher Ndour,ITA,MF,19,2004,3,28,9,0.9,0.3,0,,0,3,9,14,3.0,1,0,1,3.21,1.82,1.6,0.7,0.9,3.01,2.18
FRA-Ligue 1,2324,Paris S-G,Danilo Pereira,POR,DF,31,1991,26,1995,77,65.2,22.2,22,88,20,4,13,5,2.08,49,25,24,1.08,-0.95,44.1,25.5,18.5,0.84,-0.03
FRA-Ligue 1,2324,Paris S-G,Ethan Mbappé,FRA,"MF,DF",16,2006,3,48,16,1.6,0.5,0,,0,3,16,9,3.0,1,1,0,0.0,-1.43,1.4,0.6,0.8,1.57,0.73
FRA-Ligue 1,2324,Paris S-G,Fabián Ruiz Peña,ESP,MF,27,1996,21,1197,57,39.1,13.3,14,76,8,7,19,7,2.52,30,12,18,1.35,-0.1,28.6,15.0,13.5,1.02,0.28
FRA-Ligue 1,2324,Paris S-G,Gianluigi Donnarumma,ITA,GK,24,1999,25,2169,87,70.9,24.1,25,87,24,0,,4,2.4,62,20,42,1.74,1.14,49.7,28.8,20.9,0.87,0.07
FRA-Ligue 1,2324,Paris S-G,Gonçalo Ramos,POR,FW,22,2001,29,1419,49,46.4,15.8,16,69,3,13,24,3,2.17,40,14,26,1.65,0.44,31.5,17.2,14.3,0.91,0.11
FRA-Ligue 1,2324,Paris S-G,Hugo Ekitike,FRA,FW,21,2002,1,9,9,0.3,0.1,0,,0,1,9,2,1.0,0,0,0,0.0,-1.42,0.1,0.0,0.1,1.09,0.24
FRA-Ligue 1,2324,Paris S-G,Ismaël Gharbi,ESP,MF,19,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
