,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Achraf Hakimi,MAR,DF,24,1998,21.5,93,4.33,79,1,2,5,5,1,14,0.65,13,0,0,1,0,0
FRA-Ligue 1,2324,Paris S-G,Arnau Tenas,ESP,GK,22,2001,5.9,1,0.17,1,0,0,0,0,0,1,0.17,1,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Bradley Barcola,FRA,"FW,MF",20,2002,15.2,69,4.53,53,0,13,1,1,1,11,0.72,9,0,1,0,0,1
FRA-Ligue 1,2324,Paris S-G,Carlos Soler,ESP,"MF,DF",26,1997,12.1,37,3.06,30,2,1,2,2,0,2,0.17,2,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Cher Ndour,ITA,MF,19,2004,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Danilo Pereira,POR,DF,31,1991,22.2,14,0.63,14,0,0,0,0,0,2,0.09,2,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Ethan Mbappé,FRA,"MF,DF",16,2006,0.5,1,1.87,1,0,0,0,0,0,1,1.87,1,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Fabián Ruiz Peña,ESP,MF,27,1996,13.3,40,3.01,32,1,5,2,0,0,6,0.45,4,1,1,0,0,0
FRA-Ligue 1,2324,Paris S-G,Gianluigi Donnarumma,ITA,GK,24,1999,24.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Gonçalo Ramos,POR,FW,22,2001,15.8,34,2.16,22,0,1,3,4,4,6,0.38,3,0,0,0,3,0
FRA-Ligue 1,2324,Paris S-G,Hugo Ekitike,FRA,FW,21,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Keylor Navas,CRC,GK,36,1986,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Kylian Mbappé,FRA,FW,24,1998,24.0,98,4.09,69,0,20,3,6,0,20,0.83,12,0,4,1,3,0
FRA-Ligue 1,2324,Paris S-G,Layvin Kurzawa,FRA,DF,30,1992,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Lee Kang-in,KOR,"FW,MF",22,2001,16.3,68,4.18,48,12,5,3,0,0,9,0.55,7,1,1,0,0,0
FRA-Ligue 1,2324,Paris S-G,Lucas Beraldo,BRA,DF,19,2003,11.2,14,1.25,13,1,0,0,0,0,1,0.09,1,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Lucas Hernández,FRA,DF,27,1996,21.2,25,1.18,19,1,0,1,2,2,3,0.14,1,0,0,1,1,0
FRA-Ligue 1,2324,Paris S-G,Manuel Ugarte Ribeiro,URU,MF,22,2001,21.5,38,1.77,31,0,3,0,3,1,5,0.23,3,0,1,0,1,0
FRA-Ligue 1,2324,Paris S-G,Marco Asensio,ESP,"MF,FW",27,1996,12.4,52,4.21,38,10,1,1,1,1,7,0.57,5,1,0,1,0,0
FRA-Ligue 1,2324,Paris S-G,Marquinhos,BRA,DF,29,1994,17.1,13,0.76,13,0,0,0,0,0,2,0.12,2,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Milan Škriniar,SVK,DF,28,1995,18.1,7,0.39,6,0,0,1,0,0,1,0.06,1,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Nordi Mukiele,FRA,DF,25,1997,8.8,9,1.02,6,0,1,1,1,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Nuno Mendes,POR,DF,21,2002,3.0,7,2.36,6,0,1,0,0,0,2,0.67,2,0,0,0,0,0
