,,,,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Achraf Hakimi,MAR,DF,24,1998,21.5,3,0,0,22,26,3,79,12,19,0,1,0,142,9,12,42.9
FRA-Ligue 1,2324,Paris S-G,Arnau Tenas,ESP,GK,22,2001,5.9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
FRA-Ligue 1,2324,Paris S-G,Bradley Barcola,FRA,"FW,MF",20,2002,15.2,3,1,1,22,12,4,18,10,16,0,0,0,52,10,11,47.6
FRA-Ligue 1,2324,Paris S-G,Carlos Soler,ESP,"MF,DF",26,1997,12.1,1,0,0,11,10,1,23,5,10,0,0,0,55,6,6,50.0
FRA-Ligue 1,2324,Paris S-G,Cher Ndour,ITA,MF,19,2004,0.3,1,0,0,1,0,0,0,0,2,0,0,0,5,0,3,0.0
FRA-Ligue 1,2324,Paris S-G,Danilo Pereira,POR,DF,31,1991,22.2,2,0,0,14,11,1,1,23,12,0,2,0,128,46,29,61.3
FRA-Ligue 1,2324,Paris S-G,Ethan Mbappé,FRA,"MF,DF",16,2006,0.5,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,
FRA-Ligue 1,2324,Paris S-G,Fabián Ruiz Peña,ESP,MF,27,1996,13.3,3,0,0,6,11,1,11,11,23,0,0,0,83,4,8,33.3
FRA-Ligue 1,2324,Paris S-G,Gianluigi Donnarumma,ITA,GK,24,1999,24.1,3,1,0,2,0,0,0,1,0,0,1,0,28,2,1,66.7
FRA-Ligue 1,2324,Paris S-G,Gonçalo Ramos,POR,FW,22,2001,15.8,1,0,0,19,22,3,3,5,15,2,0,0,44,30,23,56.6
FRA-Ligue 1,2324,Paris S-G,Hugo Ekitike,FRA,FW,21,2002,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2324,Paris S-G,Keylor Navas,CRC,GK,36,1986,4.0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
FRA-Ligue 1,2324,Paris S-G,Kylian Mbappé,FRA,FW,24,1998,24.0,4,0,0,19,38,20,23,2,1,2,0,0,47,0,2,0.0
FRA-Ligue 1,2324,Paris S-G,Layvin Kurzawa,FRA,DF,30,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
