,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Achraf Hakimi,MAR,DF,24,1998,21.5,1979,1773,203,29,4,6,79,160,14,1,7,0,1712,3,42
FRA-Ligue 1,2324,Paris S-G,Arnau Tenas,ESP,GK,22,2001,5.9,211,169,42,5,1,0,0,0,0,0,0,0,173,0,0
FRA-Ligue 1,2324,Paris S-G,Bradley Barcola,FRA,"FW,MF",20,2002,15.2,562,553,5,2,4,1,18,3,0,0,0,0,436,4,16
FRA-Ligue 1,2324,Paris S-G,Carlos Soler,ESP,"MF,DF",26,1997,12.1,782,736,44,17,4,2,23,19,6,1,1,0,670,2,18
FRA-Ligue 1,2324,Paris S-G,Cher Ndour,ITA,MF,19,2004,0.3,25,25,0,0,0,0,0,0,0,0,0,0,23,0,0
FRA-Ligue 1,2324,Paris S-G,Danilo Pereira,POR,DF,31,1991,22.2,2223,2181,39,33,1,4,1,5,0,0,0,0,2089,3,2
FRA-Ligue 1,2324,Paris S-G,Ethan Mbappé,FRA,"MF,DF",16,2006,0.5,46,44,2,0,0,0,1,2,0,0,0,0,42,0,0
FRA-Ligue 1,2324,Paris S-G,Fabián Ruiz Peña,ESP,MF,27,1996,13.3,872,843,29,21,0,4,11,1,2,2,0,0,778,0,12
FRA-Ligue 1,2324,Paris S-G,Gianluigi Donnarumma,ITA,GK,24,1999,24.1,773,609,163,31,0,0,0,1,0,0,0,0,686,1,0
FRA-Ligue 1,2324,Paris S-G,Gonçalo Ramos,POR,FW,22,2001,15.8,397,389,7,1,4,0,3,1,0,0,0,0,304,1,14
FRA-Ligue 1,2324,Paris S-G,Hugo Ekitike,FRA,FW,21,2002,0.1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,1
FRA-Ligue 1,2324,Paris S-G,Keylor Navas,CRC,GK,36,1986,4.0,98,78,20,2,0,0,0,0,0,0,0,0,91,0,0
FRA-Ligue 1,2324,Paris S-G,Kylian Mbappé,FRA,FW,24,1998,24.0,965,936,24,5,12,10,23,6,7,0,0,0,801,5,19
FRA-Ligue 1,2324,Paris S-G,Layvin Kurzawa,FRA,DF,30,1992,0.1,13,11,2,1,0,0,0,1,0,0,0,0,13,0,0
FRA-Ligue 1,2324,Paris S-G,Lee Kang-in,KOR,"FW,MF",22,2001,16.3,1011,903,104,24,3,5,97,7,68,27,21,0,835,4,18
FRA-Ligue 1,2324,Paris S-G,Lucas Beraldo,BRA,DF,19,2003,11.2,968,912,56,22,1,3,2,33,0,0,0,0,867,0,10
FRA-Ligue 1,2324,Paris S-G,Lucas Hernández,FRA,DF,27,1996,21.2,1859,1686,169,41,1,16,19,128,0,0,0,0,1670,4,20
FRA-Ligue 1,2324,Paris S-G,Manuel Ugarte Ribeiro,URU,MF,22,2001,21.5,1331,1314,17,15,3,5,4,2,0,0,0,0,1214,0,13
FRA-Ligue 1,2324,Paris S-G,Marco Asensio,ESP,"MF,FW",27,1996,12.4,656,598,55,10,6,6,52,8,31,11,10,0,545,3,13
FRA-Ligue 1,2324,Paris S-G,Marquinhos,BRA,DF,29,1994,17.1,1807,1757,47,22,4,3,0,21,0,0,0,0,1706,3,6
FRA-Ligue 1,2324,Paris S-G,Milan Škriniar,SVK,DF,28,1995,18.1,1820,1773,45,30,0,4,1,5,0,0,0,0,1735,2,3
FRA-Ligue 1,2324,Paris S-G,Nordi Mukiele,FRA,DF,25,1997,8.8,578,521,57,13,1,4,3,44,0,0,0,0,486,0,16
FRA-Ligue 1,2324,Paris S-G,Nuno Mendes,POR,DF,21,2002,3.0,222,197,24,0,0,2,7,24,0,0,0,0,183,1,9
FRA-Ligue 1,2324,Paris S-G,Ousmane Dembélé,FRA,"MF,FW",26,1997,16.7,1044,974,65,13,11,4,99,3,49,7,18,0,792,5,24
FRA-Ligue 1,2324,Paris S-G,Randal Kolo Muani,FRA,"FW,MF",24,1998,14.1,359,354,4,0,1,0,9,0,0,0,0,0,259,1,17
FRA-Ligue 1,2324,Paris S-G,Senny Mayulu,FRA,"FW,MF",17,2006,3.6,175,172,3,0,2,0,13,1,2,0,0,0,145,0,5
FRA-Ligue 1,2324,Paris S-G,Vitinha,POR,MF,23,2000,23.6,1850,1752,93,42,8,11,38,8,19,9,3,0,1659,5,25
FRA-Ligue 1,2324,Paris S-G,Warren Zaïre-Emery,FRA,"MF,DF",17,2006,21.8,1428,1367,56,14,2,8,8,33,0,0,0,0,1311,5,24
FRA-Ligue 1,2324,Paris S-G,Yoram Zague,FRA,DF,17,2006,4.1,334,307,26,2,0,0,2,24,0,0,0,0,304,1,4
FRA-Ligue 1,2425,Paris S-G,Achraf Hakimi,MAR,DF,25,1998,23.0,2140,1949,188,34,2,8,80,150,4,0,1,0,1898,3,32
FRA-Ligue 1,2425,Paris S-G,Arnau Tenas,ESP,GK,23,2001,1.0,32,29,3,1,0,0,0,0,0,0,0,0,31,0,0
FRA-Ligue 1,2425,Paris S-G,Axel Tapé,FRA,"DF,MF",16,2007,2.0,151,148,3,2,0,0,0,1,0,0,0,0,142,0,2
FRA-Ligue 1,2425,Paris S-G,Bradley Barcola,FRA,FW,21,2002,24.2,917,894,19,5,6,2,25,12,2,0,0,0,749,4,22
FRA-Ligue 1,2425,Paris S-G,Désiré Doué,FRA,"FW,MF",19,2005,19.2,1133,1066,66,11,8,7,78,24,23,8,5,1,933,1,21
FRA-Ligue 1,2425,Paris S-G,Fabián Ruiz Peña,ESP,MF,28,1996,21.4,1627,1577,47,32,7,15,27,10,3,0,0,0,1458,3,27
FRA-Ligue 1,2425,Paris S-G,Gianluigi Donnarumma,ITA,GK,25,1999,23.2,632,508,124,35,0,0,0,0,0,0,0,0,552,0,0
FRA-Ligue 1,2425,Paris S-G,Gonçalo Ramos,POR,FW,23,2001,11.8,241,237,3,2,2,0,1,1,0,0,0,0,193,1,8
FRA-Ligue 1,2425,Paris S-G,Ibrahim Mbaye,FRA,"FW,MF",16,2008,3.8,148,147,0,0,0,0,5,0,0,0,0,0,128,1,2
FRA-Ligue 1,2425,Paris S-G,João Neves,POR,"MF,DF",19,2004,20.5,1634,1538,93,35,11,17,15,48,0,0,0,0,1491,3,13
FRA-Ligue 1,2425,Paris S-G,Khvicha Kvaratskhelia,GEO,FW,23,2001,10.2,547,507,38,5,5,3,33,5,27,6,12,0,468,2,15
FRA-Ligue 1,2425,Paris S-G,Lee Kang-in,KOR,"FW,MF",23,2001,18.5,1268,1149,114,15,13,10,94,7,84,24,32,0,1110,5,16
FRA-Ligue 1,2425,Paris S-G,Lucas Beraldo,BRA,DF,20,2003,22.3,2132,2072,55,29,1,9,3,25,0,0,0,0,2013,5,6
FRA-Ligue 1,2425,Paris S-G,Lucas Hernández,FRA,DF,28,1996,9.7,907,834,73,16,1,5,2,56,0,0,0,0,832,0,8
FRA-Ligue 1,2425,Paris S-G,Marco Asensio,ESP,"FW,MF",28,1996,6.9,335,314,19,2,4,1,13,3,6,2,0,0,291,2,7
FRA-Ligue 1,2425,Paris S-G,Marquinhos,BRA,DF,30,1994,19.2,1830,1791,36,23,3,13,3,11,0,0,0,0,1736,3,6
FRA-Ligue 1,2425,Paris S-G,Matvei Safonov,RUS,GK,25,1999,9.8,311,252,58,10,0,0,0,0,0,0,0,0,250,1,1
FRA-Ligue 1,2425,Paris S-G,Milan Škriniar,SVK,DF,29,1995,4.2,374,360,14,8,0,2,0,1,0,0,0,0,361,0,0
FRA-Ligue 1,2425,Paris S-G,Noham Kamara,FRA,DF,17,2007,0.8,79,74,5,0,1,0,0,5,0,0,0,0,74,0,0
FRA-Ligue 1,2425,Paris S-G,Nuno Mendes,POR,DF,22,2002,18.6,1488,1328,157,29,3,25,60,119,9,5,3,0,1293,3,21
FRA-Ligue 1,2425,Paris S-G,Ousmane Dembélé,FRA,FW,27,1997,19.2,1068,986,74,9,13,10,80,3,48,14,16,0,844,8,36
FRA-Ligue 1,2425,Paris S-G,Presnel Kimpembe,FRA,DF,28,1995,0.3,18,18,0,0,0,0,0,0,0,0,0,0,18,0,0
FRA-Ligue 1,2425,Paris S-G,Randal Kolo Muani,FRA,FW,25,1998,4.0,78,73,5,0,2,1,0,0,0,0,0,0,57,0,3
FRA-Ligue 1,2425,Paris S-G,Senny Mayulu,FRA,MF,18,2006,9.0,460,427,31,7,0,4,9,13,4,2,0,0,404,2,12
FRA-Ligue 1,2425,Paris S-G,Vitinha,POR,MF,24,2000,22.7,2403,2325,75,56,13,22,21,10,6,2,1,0,2236,3,19
FRA-Ligue 1,2425,Paris S-G,Warren Zaïre-Emery,FRA,"MF,DF",18,2006,22.8,1677,1605,70,17,2,18,9,50,0,0,0,0,1557,2,22
FRA-Ligue 1,2425,Paris S-G,Willian Pacho,ECU,DF,22,2001,23.7,1968,1920,46,27,0,3,0,11,0,0,0,0,1865,2,7
FRA-Ligue 1,2425,Paris S-G,Yoram Zague,FRA,"DF,FW",18,2006,2.0,183,168,15,0,0,0,4,15,0,0,0,0,172,0,2
