,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Achraf Hakimi,MAR,DF,24,1998,21.5,2217,68,425,976,835,67,2217,57,27,47.4,30,52.6,1762,9215,4942,84,78,22,33,33,1679,230
FRA-Ligue 1,2324,Paris S-G,Arnau Tenas,ESP,GK,22,2001,5.9,220,199,218,2,0,0,220,0,0,,0,,168,710,397,0,0,0,0,0,131,0
FRA-Ligue 1,2324,Paris S-G,Bradley Barcola,FRA,"FW,MF",20,2002,15.2,803,16,97,251,476,103,803,94,46,48.9,43,45.7,640,4523,2545,93,50,50,45,11,614,217
FRA-Ligue 1,2324,Paris S-G,Carlos Soler,ESP,"MF,DF",26,1997,12.1,872,27,183,423,273,36,872,10,5,50.0,4,40.0,707,3403,1302,15,23,2,14,8,673,59
FRA-Ligue 1,2324,Paris S-G,Cher Ndour,ITA,MF,19,2004,0.3,30,0,4,21,6,0,30,1,1,100.0,0,0.0,25,90,20,0,0,0,2,0,22,1
FRA-Ligue 1,2324,Paris S-G,Danilo Pereira,POR,DF,31,1991,22.2,2430,240,827,1543,70,15,2430,5,3,60.0,2,40.0,2016,10737,6336,28,23,0,4,1,1902,2
FRA-Ligue 1,2324,Paris S-G,Ethan Mbappé,FRA,"MF,DF",16,2006,0.5,49,1,8,24,17,2,49,0,0,,0,,44,200,64,1,3,1,0,0,44,4
FRA-Ligue 1,2324,Paris S-G,Fabián Ruiz Peña,ESP,MF,27,1996,13.3,987,47,226,558,220,20,987,20,16,80.0,2,10.0,812,3729,1523,16,25,1,12,3,761,40
FRA-Ligue 1,2324,Paris S-G,Gianluigi Donnarumma,ITA,GK,24,1999,24.1,842,739,838,4,0,0,842,1,1,100.0,0,0.0,622,2547,1432,0,0,0,1,0,459,0
