,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Achraf Hakimi,MAR,DF,24,1998,21.5,4,42,12,28.6,1.96,0.56,0.1,0.33,19.8,9,0,0,4.2,4.2,0.1,-0.2,-0.2
FRA-Ligue 1,2324,Paris S-G,Arnau Tenas,ESP,GK,22,2001,5.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Paris S-G,Bradley Barcola,FRA,"FW,MF",20,2002,15.2,4,31,11,35.5,2.04,0.72,0.13,0.36,13.8,0,0,0,4.5,4.5,0.15,-0.5,-0.5
FRA-Ligue 1,2324,Paris S-G,Carlos Soler,ESP,"MF,DF",26,1997,12.1,2,14,5,35.7,1.16,0.41,0.14,0.4,15.0,0,0,0,1.5,1.5,0.11,0.5,0.5
FRA-Ligue 1,2324,Paris S-G,Cher Ndour,ITA,MF,19,2004,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Paris S-G,Danilo Pereira,POR,DF,31,1991,22.2,0,10,1,10.0,0.45,0.05,0.0,0.0,10.8,0,0,0,1.4,1.4,0.14,-1.4,-1.4
FRA-Ligue 1,2324,Paris S-G,Ethan Mbappé,FRA,"MF,DF",16,2006,0.5,0,2,1,50.0,3.75,1.87,0.0,0.0,15.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
FRA-Ligue 1,2324,Paris S-G,Fabián Ruiz Peña,ESP,MF,27,1996,13.3,1,19,6,31.6,1.43,0.45,0.05,0.17,21.7,0,0,0,2.0,2.0,0.1,-1.0,-1.0
FRA-Ligue 1,2324,Paris S-G,Gianluigi Donnarumma,ITA,GK,24,1999,24.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Paris S-G,Gonçalo Ramos,POR,FW,22,2001,15.8,11,54,20,37.0,3.42,1.27,0.19,0.5,13.2,0,1,1,10.9,10.2,0.19,0.1,-0.2
FRA-Ligue 1,2324,Paris S-G,Hugo Ekitike,FRA,FW,21,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Paris S-G,Keylor Navas,CRC,GK,36,1986,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Paris S-G,Kylian Mbappé,FRA,FW,24,1998,24.0,27,112,50,44.6,4.67,2.09,0.19,0.42,18.3,2,6,8,21.0,14.5,0.13,6.0,6.5
FRA-Ligue 1,2324,Paris S-G,Layvin Kurzawa,FRA,DF,30,1992,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Paris S-G,Lee Kang-in,KOR,"FW,MF",22,2001,16.3,3,23,9,39.1,1.41,0.55,0.13,0.33,19.5,0,0,0,1.5,1.5,0.06,1.5,1.5
FRA-Ligue 1,2324,Paris S-G,Lucas Beraldo,BRA,DF,19,2003,11.2,1,5,2,40.0,0.45,0.18,0.2,0.5,10.8,0,0,0,1.0,1.0,0.2,0.0,0.0
FRA-Ligue 1,2324,Paris S-G,Lucas Hernández,FRA,DF,27,1996,21.2,1,6,2,33.3,0.28,0.09,0.17,0.5,18.2,0,0,0,0.5,0.5,0.08,0.5,0.5
FRA-Ligue 1,2324,Paris S-G,Manuel Ugarte Ribeiro,URU,MF,22,2001,21.5,0,10,1,10.0,0.47,0.05,0.0,0.0,23.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6
FRA-Ligue 1,2324,Paris S-G,Marco Asensio,ESP,"MF,FW",27,1996,12.4,4,27,10,37.0,2.18,0.81,0.15,0.4,19.2,1,0,0,3.2,3.2,0.12,0.8,0.8
FRA-Ligue 1,2324,Paris S-G,Marquinhos,BRA,DF,29,1994,17.1,0,4,0,0.0,0.23,0.0,0.0,,6.5,0,0,0,0.4,0.4,0.11,-0.4,-0.4
FRA-Ligue 1,2324,Paris S-G,Milan Škriniar,SVK,DF,28,1995,18.1,0,3,1,33.3,0.17,0.06,0.0,0.0,9.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
FRA-Ligue 1,2324,Paris S-G,Nordi Mukiele,FRA,DF,25,1997,8.8,0,9,5,55.6,1.02,0.57,0.0,0.0,12.5,0,0,0,1.3,1.3,0.14,-1.3,-1.3
FRA-Ligue 1,2324,Paris S-G,Nuno Mendes,POR,DF,21,2002,3.0,1,4,1,25.0,1.35,0.34,0.25,1.0,21.6,1,0,0,0.3,0.3,0.08,0.7,0.7
FRA-Ligue 1,2324,Paris S-G,Ousmane Dembélé,FRA,"MF,FW",26,1997,16.7,3,43,14,32.6,2.57,0.84,0.07,0.21,17.1,0,0,0,4.4,4.4,0.1,-1.4,-1.4
FRA-Ligue 1,2324,Paris S-G,Randal Kolo Muani,FRA,"FW,MF",24,1998,14.1,6,22,12,54.5,1.56,0.85,0.27,0.5,11.0,0,0,0,6.1,6.1,0.28,-0.1,-0.1
