league,season,game,team,player,league_id,season_id,game_id,shot_date,shot_id,shot_team_id,shot_player_id,assist_player_id,assist_player_name,shot_xg,shot_location_x,shot_location_y,shot_minute,shot_body_part,shot_situation,shot_result,is_goal,is_on_target,is_blocked,is_missed,is_post,shot_zone,shot_distance_to_goal,shot_angle,shot_period,is_assisted,is_individual_play,match_id,data_source
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Auxerre,Florian Aye,5,2024,28351,2025-05-17 19:00:00,634611,275,7960,727997,Lasso Coulibaly,0.0666709840297699,0.965999984741211,0.40599998474121096,91,,From Corner,Missed Shot,0,0,0,1,0,Central 6-yard Box,9.996001153586597,24.40937241640423,Extra Time,1,0,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Auxerre,Florian Aye,5,2024,28351,2025-05-17 19:00:00,634612,275,7960,727994,Ado Onaiwu,0.2564549446105957,0.9030000305175782,0.500999984741211,92,,Open Play,Missed Shot,0,0,0,1,0,Central 6-yard Box,9.700512382896804,54.53504025126953,Extra Time,1,0,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Auxerre,Hamed Junior Traore,5,2024,28351,2025-05-17 19:00:00,634596,275,6986,,,0.044291432946920395,0.7880000305175782,0.6220000076293946,41,Left Foot,Open Play,Blocked Shot,0,0,1,0,0,Central Penalty Area Edge,24.45976061250807,20.294487516831655,First Half,0,1,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Auxerre,Lassine Sinayoko,5,2024,28351,2025-05-17 19:00:00,634586,275,10815,727983,Paul Joly,0.12083406746387482,0.919000015258789,0.3820000076293945,4,Right Foot,Open Play,Blocked Shot,0,0,1,0,0,Central 6-yard Box,14.312580384940851,24.24562646999732,First Half,1,0,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Auxerre,Lassine Sinayoko,5,2024,28351,2025-05-17 19:00:00,634589,275,10815,727988,Gaetan Perrin,0.03111420013010502,0.7880000305175782,0.3970000076293945,17,Left Foot,Open Play,Missed Shot,0,0,0,1,0,Central Penalty Area Edge,23.569680839776463,21.781671897238642,First Half,1,0,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Auxerre,Lassine Sinayoko,5,2024,28351,2025-05-17 19:00:00,634592,275,10815,727988,Gaetan Perrin,0.34169426560401917,0.8209999847412109,0.5279999923706055,29,Left Foot,Set Piece,Goal,1,1,0,0,0,Central Penalty Area Edge,18.117672321631353,30.55216399738803,First Half,1,0,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Auxerre,Lasso Coulibaly,5,2024,28351,2025-05-17 19:00:00,634613,275,12826,727994,Ado Onaiwu,0.04024028405547142,0.7819999694824219,0.46700000762939453,93,Left Foot,Open Play,Saved Shot,0,1,0,0,0,Central Penalty Area Edge,22.04835885097233,25.3025203804999,Extra Time,1,0,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Paris Saint Germain,Fabián,5,2024,28351,2025-05-17 19:00:00,634591,161,2447,727971,Vitinha,0.023211408406496048,0.7519999694824219,0.4279999923706055,27,Left Foot,Open Play,Missed Shot,0,0,0,1,0,Central Penalty Area Edge,25.824022969969757,21.124787251930922,First Half,1,0,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Paris Saint Germain,Gonçalo Ramos,5,2024,28351,2025-05-17 19:00:00,634606,161,11767,,,0.7600951194763184,0.885,0.5,79,Right Foot,,Saved Shot,0,1,0,0,0,Central 6-yard Box,11.5,46.997131351904216,Second Half,0,1,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Paris Saint Germain,Gonçalo Ramos,5,2024,28351,2025-05-17 19:00:00,634607,161,11767,727977,Désiré Doué,0.048111483454704285,0.8030000305175782,0.3870000076293945,80,Left Foot,Open Play,Blocked Shot,0,0,1,0,0,Central Penalty Area Edge,22.710787360158175,21.87061993933648,Second Half,1,0,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Paris Saint Germain,João Neves,5,2024,28351,2025-05-17 19:00:00,634594,161,12734,,,0.01728331856429577,0.7669999694824219,0.5770000076293945,34,Right Foot,Set Piece,Missed Shot,0,0,0,1,0,Central Penalty Area Edge,24.539359281798525,21.98328125919988,First Half,0,1,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Paris Saint Germain,Khvicha Kvaratskhelia,5,2024,28351,2025-05-17 19:00:00,634590,161,7453,727971,Vitinha,0.054291654378175735,0.8130000305175781,0.5309999847412109,24,Left Foot,Open Play,Saved Shot,0,1,0,0,0,Central Penalty Area Edge,18.95520710527375,29.22168564151678,First Half,1,0,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Paris Saint Germain,Khvicha Kvaratskhelia,5,2024,28351,2025-05-17 19:00:00,634597,161,7453,727970,Nuno Mendes,0.11415599286556244,0.9309999847412109,0.46099998474121096,47,,From Corner,Missed Shot,0,0,0,1,0,Central 6-yard Box,7.925908967367025,61.272134462750344,Second Half,1,0,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Paris Saint Germain,Khvicha Kvaratskhelia,5,2024,28351,2025-05-17 19:00:00,634599,161,7453,727971,Vitinha,0.04406897351145744,0.86,0.69,51,Right Foot,From Corner,Saved Shot,0,1,0,0,0,Wide Penalty Box,23.60084744241189,14.743562836470744,Second Half,1,0,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Paris Saint Germain,Khvicha Kvaratskhelia,5,2024,28351,2025-05-17 19:00:00,634601,161,7453,727973,Fabián,0.02417546883225441,0.7559999847412109,0.545,58,Right Foot,Open Play,Goal,1,1,0,0,0,Central Penalty Area Edge,24.811490774697383,22.4470937534904,Second Half,1,0,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Paris Saint Germain,Khvicha Kvaratskhelia,5,2024,28351,2025-05-17 19:00:00,634608,161,7453,,,0.020563269034028053,0.7390000152587891,0.519000015258789,80,Right Foot,Open Play,Saved Shot,0,1,0,0,0,Central Penalty Area Edge,26.16906429636844,21.581890995867976,Second Half,0,1,28351,understat
FRA-Ligue 1,2425,2025-05-17 Paris Saint Germain-Auxerre,Paris Saint Germain,Khvicha Kvaratskhelia,5,2024,28351,2025-05-17 19:00:00,634609,161,7453,,,0.12730436027050018,0.805,0.42700000762939455,83,Right Foot,Direct Freekick,Shot On Post,0,0,0,0,1,Central Penalty Area Edge,20.82162310822776,25.515584397410088,Second Half,0,1,28351,understat
