game_id,period,minute,second,expanded_minute,type,outcome_type,team_id,team,player_id,player,x,y,end_x,end_y,goal_mouth_y,goal_mouth_z,blocked_x,blocked_y,qualifiers,is_touch,is_shot,is_goal,card_type,related_event_id,related_player_id,match_id,data_source,pass_length,is_longball,is_header,is_cross,is_through_ball,shot_body_part,is_assist,field_zone,is_successful,event_type,possession_sequence,next_player,distance_to_goal,pass_distance,event_id,take_ons_in_carry,xthreat,xthreat_gen,is_pre_assist,possession_id,possession_team,is_progressive,is_box_entry,pass_outcome,action_type,zone_id,xg,match_date,opponent,venue,match_id_ws,match_id_us,body_part
1821433,FirstHalf,49.0,13.0,49,Goal,Successful,63,Atletico,302497.0,Alexander Sørloth,91.7,51.2,,,51.4,2.5,,,"[{'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '51.4'}, {'type': {'displayName': 'LowCentre', 'value': 78}}, {'type': {'displayName': 'IntentionalAssist', 'value': 154}}, {'type': {'displayName': 'BoxCentre', 'value': 17}}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '2.5'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '421'}, {'type': {'displayName': 'FirstTouch', 'value': 328}}, {'type': {'displayName': 'BigChance', 'value': 214}}, {'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'RegularPlay', 'value': 22}}, {'type': {'displayName': 'Head', 'value': 15}}]",True,True,True,,421.0,434138.0,1821433,whoscored,,False,False,False,False,Head,False,Attacking_Center,True,Goal,257,Robin Le Normand,8.39,,,,0.0,0.0,False,305,Atletico,False,False,,Offensive,17,0.2699887156486511,2024-08-19 19:30:00,Villarreal,Away,1821433,26991,Head
1821438,SecondHalf,86.0,34.0,90,SavedShot,Successful,63,Atletico,302497.0,Alexander Sørloth,72.5,51.7,,,52.4,19.0,82.0,51.4,"[{'type': {'displayName': 'BlockedY', 'value': 147}, 'value': '51.4'}, {'type': {'displayName': 'RegularPlay', 'value': 22}}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '52.4'}, {'type': {'displayName': 'LeftFoot', 'value': 72}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '886'}, {'type': {'displayName': 'OutOfBoxCentre', 'value': 18}}, {'type': {'displayName': 'LowLeft', 'value': 76}}, {'type': {'displayName': 'IndividualPlay', 'value': 215}}, {'type': {'displayName': 'BlockedX', 'value': 146}, 'value': '82.0'}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '19'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Blocked', 'value': 82}}]",True,True,,,,,1821438,whoscored,,False,False,False,False,,False,Attacking_Center,True,SavedShot,400,,27.55,,,,0.0,0.0,False,433,Atletico,False,False,,Neutral,14,0.020889950916171,2024-08-25 19:30:00,Girona,Home,1821438,27001,Foot
1821438,SecondHalf,87.0,32.0,91,SavedShot,Successful,63,Atletico,302497.0,Alexander Sørloth,89.5,73.6,,,51.2,19.0,90.6,71.3,"[{'type': {'displayName': 'BoxLeft', 'value': 64}}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '51.2'}, {'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '753'}, {'type': {'displayName': 'BlockedY', 'value': 147}, 'value': '71.3'}, {'type': {'displayName': 'BlockedX', 'value': 146}, 'value': '90.6'}, {'type': {'displayName': 'Blocked', 'value': 82}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '19'}, {'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '902'}, {'type': {'displayName': 'LeftFoot', 'value': 72}}, {'type': {'displayName': 'IndividualPlay', 'value': 215}}, {'type': {'displayName': 'FastBreak', 'value': 23}}, {'type': {'displayName': 'LowCentre', 'value': 78}}, {'type': {'displayName': 'StandingSave', 'value': 178}}]",True,True,,,753.0,434138.0,1821438,whoscored,,False,False,False,False,,False,Attacking_Right,True,SavedShot,408,,25.83,,,,0.0,0.0,False,441,Atletico,False,False,,Neutral,18,0.020889950916171,2024-08-25 19:30:00,Girona,Home,1821438,27001,Foot
1825692,FirstHalf,12.0,44.0,12,MissedShots,Successful,63,Atletico,302497.0,Alexander Sørloth,91.2,52.3,,,41.2,45.8,,,"[{'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '162'}, {'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'RegularPlay', 'value': 22}}, {'type': {'displayName': 'Head', 'value': 15}}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '45.8'}, {'type': {'displayName': 'FirstTouch', 'value': 328}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'IntentionalAssist', 'value': 154}}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '41.2'}, {'type': {'displayName': 'BoxCentre', 'value': 17}}]",True,True,False,,162.0,125547.0,1825692,whoscored,,False,False,False,False,Head,False,Attacking_Center,True,MissedShots,69,,9.1,,,,0.0,0.0,False,71,Atletico,False,False,,Neutral,17,0.0585402175784111,2024-08-28 19:30:00,Espanyol,Home,1825692,27009,Head
1825692,FirstHalf,24.0,11.0,24,MissedShots,Successful,63,Atletico,302497.0,Alexander Sørloth,89.3,54.6,,,42.4,12.5,,,"[{'type': {'displayName': 'IntentionalAssist', 'value': 154}}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '12.5'}, {'type': {'displayName': 'LeftFoot', 'value': 72}}, {'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'BigChance', 'value': 214}}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '42.4'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'BoxCentre', 'value': 17}}, {'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '262'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'FirstTouch', 'value': 328}}, {'type': {'displayName': 'RegularPlay', 'value': 22}}]",True,True,False,,262.0,382631.0,1825692,whoscored,,False,False,False,False,,False,Attacking_Center,True,MissedShots,123,,11.65,,,,0.0,0.0,False,125,Atletico,False,False,,Neutral,17,0.4099552035331726,2024-08-28 19:30:00,Espanyol,Home,1825692,27009,Foot
1825692,FirstHalf,26.0,21.0,26,SavedShot,Successful,63,Atletico,302497.0,Alexander Sørloth,90.8,55.5,,,51.0,34.2,99.5,51.1,"[{'type': {'displayName': 'BlockedY', 'value': 147}, 'value': '51.1'}, {'type': {'displayName': 'IntentionalAssist', 'value': 154}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '281'}, {'type': {'displayName': 'BoxCentre', 'value': 17}}, {'type': {'displayName': 'BlockedX', 'value': 146}, 'value': '99.5'}, {'type': {'displayName': 'Head', 'value': 15}}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '211'}, {'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'RegularPlay', 'value': 22}}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '34.2'}, {'type': {'displayName': 'HighCentre', 'value': 79}}, {'type': {'displayName': 'FirstTouch', 'value': 328}}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '51.0'}]",True,True,False,,281.0,125547.0,1825692,whoscored,,False,False,False,False,Head,False,Attacking_Center,True,SavedShot,141,,10.72,,,,0.0,0.0,False,143,Atletico,False,False,,Neutral,17,0.0479061976075172,2024-08-28 19:30:00,Espanyol,Home,1825692,27009,Head
1825692,FirstHalf,45.0,3.0,45,SavedShot,Successful,63,Atletico,302497.0,Alexander Sørloth,91.6,47.8,,,48.1,8.2,99.0,48.6,"[{'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '48.1'}, {'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'Head', 'value': 15}}, {'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '416'}, {'type': {'displayName': 'BlockedY', 'value': 147}, 'value': '48.6'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'FirstTouch', 'value': 328}}, {'type': {'displayName': 'RegularPlay', 'value': 22}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'LowRight', 'value': 80}}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '8.2'}, {'type': {'displayName': 'BoxCentre', 'value': 17}}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '367'}, {'type': {'displayName': 'BlockedX', 'value': 146}, 'value': '99.0'}, {'type': {'displayName': 'IntentionalAssist', 'value': 154}}]",True,True,False,,416.0,125547.0,1825692,whoscored,,False,False,False,False,Head,False,Attacking_Center,True,SavedShot,223,,8.68,,,,0.0,0.0,False,226,Atletico,False,False,,Neutral,17,0.4626709520816803,2024-08-28 19:30:00,Espanyol,Home,1825692,27009,Head
1821456,SecondHalf,80.0,18.0,81,MissedShots,Successful,63,Atletico,302497.0,Alexander Sørloth,91.3,61.0,,,38.3,48.6,,,"[{'type': {'displayName': 'IntentionalAssist', 'value': 154}}, {'type': {'displayName': 'FirstTouch', 'value': 328}}, {'type': {'displayName': 'RegularPlay', 'value': 22}}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '38.3'}, {'type': {'displayName': 'HighRight', 'value': 81}}, {'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '777'}, {'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'Head', 'value': 15}}, {'type': {'displayName': 'BoxCentre', 'value': 17}}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '48.6'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]",True,True,,,777.0,125547.0,1821456,whoscored,,False,False,False,False,Head,False,Attacking_Center,True,MissedShots,395,,14.02,,,,0.0,0.0,False,399,Atletico,False,False,,Neutral,17,0.0539183691143989,2024-08-31 17:00:00,Athletic Club,Away,1821456,27013,Head
1821456,SecondHalf,96.0,16.0,97,SavedShot,Successful,63,Atletico,302497.0,Alexander Sørloth,81.3,54.6,,,51.9,3.2,87.7,52.9,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'OneOnOne', 'value': 89}}, {'type': {'displayName': 'FastBreak', 'value': 23}}, {'type': {'displayName': 'BigChance', 'value': 214}}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '3.2'}, {'type': {'displayName': 'LeftFoot', 'value': 72}}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '51.9'}, {'type': {'displayName': 'OutOfBoxCentre', 'value': 18}}, {'type': {'displayName': 'IndividualPlay', 'value': 215}}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'LowLeft', 'value': 76}}, {'type': {'displayName': 'BlockedX', 'value': 146}, 'value': '87.7'}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '953'}, {'type': {'displayName': 'BlockedY', 'value': 147}, 'value': '52.9'}]",True,True,,,,,1821456,whoscored,,False,False,False,False,,False,Attacking_Center,True,SavedShot,487,,19.26,,,,0.0,0.0,False,491,Atletico,False,False,,Neutral,14,0.4698750674724579,2024-08-31 17:00:00,Athletic Club,Away,1821456,27013,Foot
1821465,FirstHalf,19.0,14.0,19,MissedShots,Successful,63,Atletico,302497.0,Alexander Sørloth,89.5,49.8,,,32.4,8.3,,,"[{'type': {'displayName': 'MissRight', 'value': 75}}, {'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'Volley', 'value': 108}}, {'type': {'displayName': 'FirstTouch', 'value': 328}}, {'type': {'displayName': 'IntentionalAssist', 'value': 154}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'BigChance', 'value': 214}}, {'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '242'}, {'type': {'displayName': 'LeftFoot', 'value': 72}}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '8.3'}, {'type': {'displayName': 'BoxCentre', 'value': 17}}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '32.4'}, {'type': {'displayName': 'RegularPlay', 'value': 22}}]",True,True,,,242.0,381594.0,1821465,whoscored,,False,False,False,False,,False,Attacking_Center,True,MissedShots,109,,10.5,,,,0.0,0.0,False,113,Atletico,False,False,,Neutral,17,0.4070576727390289,2024-09-15 19:00:00,Valencia,Home,1821465,27023,Foot
