info_category,info_key,info_value,team,numeric_value,first_minute,last_minute,minutes_active,event_type,minute,period
match_metadata,match_id,Inter Miami_vs_Vancouver_2024-12-06,,,,,,,,
match_metadata,home_team,Inter Miami,,,,,,,,
match_metadata,away_team,Vancouver,,,,,,,,
match_metadata,match_date,2024-12-06,,,,,,,,
match_metadata,league,USA-MLS,,,,,,,,
match_metadata,season,25-26,,,,,,,,
match_metadata,total_events,1633,,,,,,,,
match_metadata,match_duration_minutes,98,,,,,,,,
team_stats,total_events,647,Inter Miami,647.0,,,,,,
team_stats,possession_pct,39.6,Inter Miami,39.6,,,,,,
team_stats,passes_attempted,295,Inter Miami,295.0,,,,,,
team_stats,passes_completed,231,Inter Miami,231.0,,,,,,
team_stats,pass_accuracy,78.3,Inter Miami,78.3,,,,,,
team_stats,xthreat_total,11.166,Inter Miami,11.166,,,,,,
team_stats,progressive_actions,48,Inter Miami,48.0,,,,,,
team_stats,box_entries,7,Inter Miami,7.0,,,,,,
team_stats,shots,8,Inter Miami,8.0,,,,,,
team_stats,xg_total,1.15,Inter Miami,1.15,,,,,,
team_stats,total_events,986,Vancouver,986.0,,,,,,
team_stats,possession_pct,60.4,Vancouver,60.4,,,,,,
team_stats,passes_attempted,552,Vancouver,552.0,,,,,,
team_stats,passes_completed,469,Vancouver,469.0,,,,,,
team_stats,pass_accuracy,85.0,Vancouver,85.0,,,,,,
team_stats,xthreat_total,27.367,Vancouver,27.367,,,,,,
team_stats,progressive_actions,55,Vancouver,55.0,,,,,,
team_stats,box_entries,15,Vancouver,15.0,,,,,,
team_stats,shots,11,Vancouver,11.0,,,,,,
team_stats,xg_total,1.03,Vancouver,1.03,,,,,,
player_participation,player_activity,Lionel Messi,Inter Miami,62.0,0.0,98.0,98.0,,,
player_participation,player_activity,Sergio Busquets,Inter Miami,57.0,0.0,98.0,98.0,,,
player_participation,player_activity,Baltasar Rodríguez,Inter Miami,37.0,0.0,55.0,55.0,,,
player_participation,player_activity,Maximiliano Falcón,Inter Miami,52.0,0.0,87.0,87.0,,,
player_participation,player_activity,Noah Allen,Inter Miami,54.0,0.0,95.0,95.0,,,
player_participation,player_activity,Jordi Alba,Inter Miami,64.0,1.0,98.0,97.0,,,
