record_type,team,source_player,target_player,connection_strength,avg_x_start,avg_y_start,avg_x_end,avg_y_end,avg_xthreat,progressive_passes,box_entries,pass_distance_avg,connection_id,total_actions,minutes_active,position_variance_x,position_variance_y,xthreat_total
connection,Inter Miami,Baltasar Rodríguez,Jordi Alba,1,61.9,89.9,54.8,85.3,-0.1431,0,0,8.46,Inter Miami_Baltasar Rodríguez_Jordi Alba,,,,,
connection,Inter Miami,Baltasar Rodríguez,Mateo Silvetti,1,68.8,96.1,59.5,90.8,-0.0083,0,0,10.7,Inter Miami_Baltasar Rodríguez_Mateo Silvetti,,,,,
connection,Inter Miami,Baltasar Rodríguez,Maximiliano Falcón,1,36.6,69.7,28.5,43.2,-0.1092,0,0,27.71,Inter Miami_Baltasar Rodríguez_Maximiliano Falcón,,,,,
connection,Inter Miami,Baltasar Rodríguez,Rocco Ríos Novo,1,29.4,49.7,4.4,50.9,-0.0401,0,0,25.03,Inter Miami_Baltasar Rodríguez_Rocco Ríos Novo,,,,,
connection,Inter Miami,Baltasar Rodríguez,Rodrigo De Paul,4,48.48,53.8,48.55,41.35,-0.0562,0,0,12.76,Inter Miami_Baltasar Rodríguez_Rodrigo De Paul,,,,,
connection,Inter Miami,Baltasar Rodríguez,Sergio Busquets,1,74.8,85.9,68.7,70.9,-0.0555,0,0,16.19,Inter Miami_Baltasar Rodríguez_Sergio Busquets,,,,,
connection,Inter Miami,Ian Fray,Jordi Alba,1,29.4,10.4,33.5,79.1,0.1685,0,0,68.82,Inter Miami_Ian Fray_Jordi Alba,,,,,
connection,Inter Miami,Ian Fray,Lionel Messi,2,49.3,10.9,54.2,17.9,0.0232,0,0,13.26,Inter Miami_Ian Fray_Lionel Messi,,,,,
connection,Inter Miami,Ian Fray,Maximiliano Falcón,6,35.65,3.77,23.4,21.83,0.0007,0,0,22.41,Inter Miami_Ian Fray_Maximiliano Falcón,,,,,
connection,Inter Miami,Ian Fray,Rodrigo De Paul,4,27.7,8.28,31.98,17.48,0.0089,0,0,14.07,Inter Miami_Ian Fray_Rodrigo De Paul,,,,,
connection,Inter Miami,Ian Fray,Sergio Busquets,4,41.15,18.48,44.85,36.72,0.0643,1,0,20.09,Inter Miami_Ian Fray_Sergio Busquets,,,,,
connection,Inter Miami,Ian Fray,Tadeo Allende,1,85.9,0.0,92.3,12.4,0.003,1,0,13.95,Inter Miami_Ian Fray_Tadeo Allende,,,,,
connection,Inter Miami,Jordi Alba,Baltasar Rodríguez,4,49.55,84.95,62.7,87.82,0.1008,2,0,15.96,Inter Miami_Jordi Alba_Baltasar Rodríguez,,,,,
connection,Inter Miami,Jordi Alba,Lionel Messi,3,49.9,73.63,61.13,40.07,-0.1795,2,0,37.58,Inter Miami_Jordi Alba_Lionel Messi,,,,,
connection,Inter Miami,Jordi Alba,Mateo Silvetti,4,30.22,94.55,45.78,89.08,0.0804,1,0,17.92,Inter Miami_Jordi Alba_Mateo Silvetti,,,,,
connection,Inter Miami,Jordi Alba,Maximiliano Falcón,1,32.4,93.1,27.9,29.0,-0.2401,0,0,64.26,Inter Miami_Jordi Alba_Maximiliano Falcón,,,,,
connection,Inter Miami,Jordi Alba,Noah Allen,2,37.85,94.15,25.6,81.9,-0.2019,0,0,17.41,Inter Miami_Jordi Alba_Noah Allen,,,,,
connection,Inter Miami,Jordi Alba,Rocco Ríos Novo,1,32.5,55.4,4.1,42.2,-0.0689,0,0,31.32,Inter Miami_Jordi Alba_Rocco Ríos Novo,,,,,
connection,Inter Miami,Jordi Alba,Rodrigo De Paul,3,42.03,84.2,47.3,68.17,-0.099,1,0,19.25,Inter Miami_Jordi Alba_Rodrigo De Paul,,,,,
connection,Inter Miami,Jordi Alba,Sergio Busquets,3,53.33,94.8,50.2,78.03,-0.0968,0,0,17.47,Inter Miami_Jordi Alba_Sergio Busquets,,,,,
connection,Inter Miami,Jordi Alba,Telasco Segovia,3,63.47,96.87,66.1,85.03,-0.1943,2,0,14.53,Inter Miami_Jordi Alba_Telasco Segovia,,,,,
connection,Inter Miami,Jordi Alba,Yannick Bright,2,36.55,92.3,61.3,88.1,0.1129,2,0,29.46,Inter Miami_Jordi Alba_Yannick Bright,,,,,
connection,Inter Miami,Lionel Messi,Ian Fray,2,35.65,16.9,35.45,9.8,-0.0037,0,0,16.8,Inter Miami_Lionel Messi_Ian Fray,,,,,
connection,Inter Miami,Lionel Messi,Jordi Alba,1,72.6,36.0,87.4,93.8,0.2005,0,0,59.66,Inter Miami_Lionel Messi_Jordi Alba,,,,,
connection,Inter Miami,Lionel Messi,Noah Allen,1,50.1,49.9,26.0,73.9,-0.0243,0,0,34.01,Inter Miami_Lionel Messi_Noah Allen,,,,,
connection,Inter Miami,Lionel Messi,Rodrigo De Paul,7,53.84,23.77,58.71,20.46,-0.0074,2,1,17.34,Inter Miami_Lionel Messi_Rodrigo De Paul,,,,,
connection,Inter Miami,Lionel Messi,Sergio Busquets,3,66.4,23.17,67.3,39.63,0.0331,1,1,24.3,Inter Miami_Lionel Messi_Sergio Busquets,,,,,
connection,Inter Miami,Lionel Messi,Tadeo Allende,3,59.27,32.97,73.87,33.93,-0.0205,2,1,15.44,Inter Miami_Lionel Messi_Tadeo Allende,,,,,
connection,Inter Miami,Marcelo Weigandt,Rodrigo De Paul,1,42.6,9.6,58.4,8.9,0.0127,1,0,15.82,Inter Miami_Marcelo Weigandt_Rodrigo De Paul,,,,,
connection,Inter Miami,Marcelo Weigandt,Tadeo Allende,1,24.2,10.4,37.3,7.2,0.0107,0,0,13.49,Inter Miami_Marcelo Weigandt_Tadeo Allende,,,,,
connection,Inter Miami,Mateo Silvetti,Baltasar Rodríguez,2,35.6,92.15,32.2,86.45,-0.0818,0,0,8.1,Inter Miami_Mateo Silvetti_Baltasar Rodríguez,,,,,
connection,Inter Miami,Mateo Silvetti,Lionel Messi,1,42.5,75.0,45.3,27.8,-0.1714,0,0,47.28,Inter Miami_Mateo Silvetti_Lionel Messi,,,,,
connection,Inter Miami,Mateo Silvetti,Sergio Busquets,1,62.3,87.6,58.3,72.4,-0.2241,0,0,15.72,Inter Miami_Mateo Silvetti_Sergio Busquets,,,,,
connection,Inter Miami,Maximiliano Falcón,Ian Fray,7,30.64,24.37,36.44,9.31,-0.0104,0,0,19.4,Inter Miami_Maximiliano Falcón_Ian Fray,,,,,
connection,Inter Miami,Maximiliano Falcón,Mateo Silvetti,1,76.6,79.7,90.5,75.7,-0.1298,1,1,14.46,Inter Miami_Maximiliano Falcón_Mateo Silvetti,,,,,
connection,Inter Miami,Maximiliano Falcón,Noah Allen,2,28.35,42.45,27.4,72.8,0.0734,0,0,30.39,Inter Miami_Maximiliano Falcón_Noah Allen,,,,,
connection,Inter Miami,Maximiliano Falcón,Rocco Ríos Novo,5,20.76,28.08,5.16,48.72,-0.0016,0,0,29.02,Inter Miami_Maximiliano Falcón_Rocco Ríos Novo,,,,,
connection,Inter Miami,Maximiliano Falcón,Rodrigo De Paul,5,28.2,23.78,38.28,12.76,0.0046,0,0,17.29,Inter Miami_Maximiliano Falcón_Rodrigo De Paul,,,,,
connection,Inter Miami,Maximiliano Falcón,Sergio Busquets,1,56.3,32.2,66.9,40.4,0.025,1,0,13.4,Inter Miami_Maximiliano Falcón_Sergio Busquets,,,,,
connection,Inter Miami,Maximiliano Falcón,Tadeo Allende,3,20.77,13.7,38.03,6.23,0.0107,1,0,19.46,Inter Miami_Maximiliano Falcón_Tadeo Allende,,,,,
connection,Inter Miami,Maximiliano Falcón,Telasco Segovia,1,26.2,28.6,38.6,80.5,0.2073,0,0,53.36,Inter Miami_Maximiliano Falcón_Telasco Segovia,,,,,
connection,Inter Miami,Noah Allen,Baltasar Rodríguez,1,26.2,71.9,42.4,91.1,0.2509,0,0,25.12,Inter Miami_Noah Allen_Baltasar Rodríguez,,,,,
connection,Inter Miami,Noah Allen,Ian Fray,1,36.8,72.2,67.4,7.9,-0.1311,1,0,71.21,Inter Miami_Noah Allen_Ian Fray,,,,,
connection,Inter Miami,Noah Allen,Jordi Alba,4,20.95,67.1,27.9,90.75,0.1458,0,0,24.79,Inter Miami_Noah Allen_Jordi Alba,,,,,
connection,Inter Miami,Noah Allen,Lionel Messi,1,11.1,59.3,46.6,7.0,-0.0069,1,0,63.21,Inter Miami_Noah Allen_Lionel Messi,,,,,
