analysis_type,team,metric_name,coordinates_json,hull_area,hull_perimeter,center_x,center_y,events_count,area_percentage,zone_id,zone_center_x,zone_center_y,pressure_intensity,avg_xthreat,xthreat_total,progressive_actions,action_efficiency,third_name,x_range_min,x_range_max,control_percentage,avg_xthreat_per_action,box_entries,flow_direction,pass_count,avg_distance,progressive_count,flow_efficiency
convex_hull,Inter Miami,Inter Miami_team_hull,"[(27.2, 37.5), (40.4, 31.6), (43.1, 32.3), (50.9, 39.8), (51.1, 45.7), (50.1, 49.9), (50.0, 50.0), (44.7, 54.8), (35.8, 57.8), (32.5, 55.4), (26.0, 50.4), (26.2, 40.7)]",481.94,80.31,38.47,45.35,647.0,4.82,,,,,,,,,,,,,,,,,,,
pressure_map,Vancouver,zone_1_pressure,,,,,,32.0,,1.0,8.3,16.7,0.0325,0.001,0.0323,0.0,0.0,,,,,,,,,,,
pressure_map,Vancouver,zone_2_pressure,,,,,,46.0,,2.0,8.3,50.0,0.0467,0.0255,1.1752,1.0,0.022,,,,,,,,,,,
pressure_map,Vancouver,zone_3_pressure,,,,,,11.0,,3.0,8.3,83.3,0.0112,0.0118,0.1293,0.0,0.0,,,,,,,,,,,
pressure_map,Vancouver,zone_4_pressure,,,,,,46.0,,4.0,25.0,16.7,0.0467,0.0118,0.5429,0.0,0.0,,,,,,,,,,,
pressure_map,Vancouver,zone_5_pressure,,,,,,52.0,,5.0,25.0,50.0,0.0527,0.0324,1.6829,1.0,0.019,,,,,,,,,,,
pressure_map,Vancouver,zone_6_pressure,,,,,,39.0,,6.0,25.0,83.3,0.0396,0.0267,1.0402,0.0,0.0,,,,,,,,,,,
pressure_map,Vancouver,zone_7_pressure,,,,,,59.0,,7.0,41.7,16.7,0.0598,0.0089,0.5277,2.0,0.034,,,,,,,,,,,
pressure_map,Vancouver,zone_8_pressure,,,,,,105.0,,8.0,41.7,50.0,0.1065,0.0538,5.6535,5.0,0.048,,,,,,,,,,,
pressure_map,Vancouver,zone_9_pressure,,,,,,114.0,,9.0,41.7,83.3,0.1156,0.0583,6.6408,4.0,0.035,,,,,,,,,,,
pressure_map,Vancouver,zone_10_pressure,,,,,,75.0,,10.0,58.3,16.7,0.0761,0.0141,1.0591,8.0,0.107,,,,,,,,,,,
pressure_map,Vancouver,zone_11_pressure,,,,,,67.0,,11.0,58.3,50.0,0.068,0.0525,3.5183,6.0,0.09,,,,,,,,,,,
pressure_map,Vancouver,zone_12_pressure,,,,,,120.0,,12.0,58.3,83.3,0.1217,0.0258,3.0909,12.0,0.1,,,,,,,,,,,
pressure_map,Vancouver,zone_13_pressure,,,,,,58.0,,13.0,75.0,16.7,0.0588,0.0117,0.6789,6.0,0.103,,,,,,,,,,,
pressure_map,Vancouver,zone_14_pressure,,,,,,40.0,,14.0,75.0,50.0,0.0406,0.0088,0.3534,2.0,0.05,,,,,,,,,,,
pressure_map,Vancouver,zone_15_pressure,,,,,,74.0,,15.0,75.0,83.3,0.0751,0.0149,1.1015,5.0,0.068,,,,,,,,,,,
pressure_map,Vancouver,zone_16_pressure,,,,,,11.0,,16.0,91.7,16.7,0.0112,0.0021,0.0234,0.0,0.0,,,,,,,,,,,
pressure_map,Vancouver,zone_17_pressure,,,,,,19.0,,17.0,91.7,50.0,0.0193,0.0038,0.0729,0.0,0.0,,,,,,,,,,,
pressure_map,Vancouver,zone_18_pressure,,,,,,18.0,,18.0,91.7,83.3,0.0183,0.0024,0.044,3.0,0.167,,,,,,,,,,,
pressure_map,Inter Miami,zone_1_pressure,,,,,,42.0,,1.0,8.3,16.7,0.0649,0.0017,0.0728,1.0,0.024,,,,,,,,,,,
pressure_map,Inter Miami,zone_2_pressure,,,,,,72.0,,2.0,8.3,50.0,0.1113,0.0139,1.0015,6.0,0.083,,,,,,,,,,,
pressure_map,Inter Miami,zone_3_pressure,,,,,,29.0,,3.0,8.3,83.3,0.0448,0.0542,1.5715,4.0,0.138,,,,,,,,,,,
pressure_map,Inter Miami,zone_4_pressure,,,,,,72.0,,4.0,25.0,16.7,0.1113,0.0097,0.7013,0.0,0.0,,,,,,,,,,,
pressure_map,Inter Miami,zone_5_pressure,,,,,,54.0,,5.0,25.0,50.0,0.0835,0.0266,1.4375,2.0,0.037,,,,,,,,,,,
pressure_map,Inter Miami,zone_6_pressure,,,,,,37.0,,6.0,25.0,83.3,0.0572,0.0193,0.7134,0.0,0.0,,,,,,,,,,,
pressure_map,Inter Miami,zone_7_pressure,,,,,,60.0,,7.0,41.7,16.7,0.0927,0.0052,0.3138,5.0,0.083,,,,,,,,,,,
pressure_map,Inter Miami,zone_8_pressure,,,,,,24.0,,8.0,41.7,50.0,0.0371,0.0229,0.5488,1.0,0.042,,,,,,,,,,,
pressure_map,Inter Miami,zone_9_pressure,,,,,,47.0,,9.0,41.7,83.3,0.0726,0.0456,2.1419,9.0,0.191,,,,,,,,,,,
pressure_map,Inter Miami,zone_10_pressure,,,,,,42.0,,10.0,58.3,16.7,0.0649,0.0083,0.3469,5.0,0.119,,,,,,,,,,,
pressure_map,Inter Miami,zone_11_pressure,,,,,,28.0,,11.0,58.3,50.0,0.0433,0.0228,0.6386,1.0,0.036,,,,,,,,,,,
pressure_map,Inter Miami,zone_12_pressure,,,,,,46.0,,12.0,58.3,83.3,0.0711,0.0142,0.6541,6.0,0.13,,,,,,,,,,,
pressure_map,Inter Miami,zone_13_pressure,,,,,,25.0,,13.0,75.0,16.7,0.0386,0.0238,0.594,3.0,0.12,,,,,,,,,,,
pressure_map,Inter Miami,zone_14_pressure,,,,,,12.0,,14.0,75.0,50.0,0.0185,0.023,0.2766,2.0,0.167,,,,,,,,,,,
pressure_map,Inter Miami,zone_15_pressure,,,,,,24.0,,15.0,75.0,83.3,0.0371,0.0033,0.0781,2.0,0.083,,,,,,,,,,,
pressure_map,Inter Miami,zone_16_pressure,,,,,,12.0,,16.0,91.7,16.7,0.0185,0.0029,0.0343,1.0,0.083,,,,,,,,,,,
pressure_map,Inter Miami,zone_17_pressure,,,,,,12.0,,17.0,91.7,50.0,0.0185,0.0008,0.0101,0.0,0.0,,,,,,,,,,,
pressure_map,Inter Miami,zone_18_pressure,,,,,,9.0,,18.0,91.7,83.3,0.0139,0.0034,0.0308,0.0,0.0,,,,,,,,,,,
territorial_control,Vancouver,defensive_third_control,,,,,,226.0,,,,,,,4.6029,2.0,,defensive,0.0,33.33,22.9,0.0204,0.0,,,,,
territorial_control,Vancouver,middle_third_control,,,,,,540.0,,,,,,,20.4902,37.0,,middle,33.33,66.67,54.8,0.0379,3.0,,,,,
territorial_control,Vancouver,attacking_third_control,,,,,,220.0,,,,,,,2.2741,16.0,,attacking,66.67,100.0,22.3,0.0103,12.0,,,,,
territorial_control,Inter Miami,defensive_third_control,,,,,,306.0,,,,,,,5.4981,13.0,,defensive,0.0,33.33,47.3,0.018,0.0,,,,,
territorial_control,Inter Miami,middle_third_control,,,,,,247.0,,,,,,,4.6441,27.0,,middle,33.33,66.67,38.2,0.0188,0.0,,,,,
territorial_control,Inter Miami,attacking_third_control,,,,,,94.0,,,,,,,1.0238,8.0,,attacking,66.67,100.0,14.5,0.0109,7.0,,,,,
flow_pattern,Vancouver,forward_flow,,,,,,,,,,,,0.0361,,,,,,,,,,forward,269.0,21.96,38.0,0.141
flow_pattern,Vancouver,backward_flow,,,,,,,,,,,,-0.037,,,,,,,,,,backward,198.0,18.81,2.0,0.01
flow_pattern,Vancouver,lateral_flow,,,,,,,,,,,,-0.013,,,,,,,,,,lateral,190.0,17.42,5.0,0.026
flow_pattern,Inter Miami,forward_flow,,,,,,,,,,,,0.0359,,,,,,,,,,forward,141.0,25.18,38.0,0.27
flow_pattern,Inter Miami,backward_flow,,,,,,,,,,,,-0.0459,,,,,,,,,,backward,90.0,21.9,0.0,0.0
flow_pattern,Inter Miami,lateral_flow,,,,,,,,,,,,-0.0058,,,,,,,,,,lateral,86.0,24.22,3.0,0.035
