league,season,game,team,player,league_id,season_id,game_id,date,shot_id,team_id,player_id,assist_player_id,assist_player,xg,location_x,location_y,minute,body_part,situation,result,x,y,is_goal,shot_body_part
ESP-La Liga,2526,2025-08-15 Villarreal-Real Oviedo,Villarreal,Etta Eyong,4,2025,29159,2025-08-15 19:30:00,637565,154,10930,,,0.0631013885140419,0.93,0.4620000076293945,28,,From Corner,Goal,93.0,46.20000076293945,True,Head
ESP-La Liga,2526,2025-08-15 Villarreal-Real Oviedo,Villarreal,Etta Eyong,4,2025,29159,2025-08-15 19:30:00,637566,154,10930,731643,Gerard Moreno,0.5190448760986328,0.955,0.515,34,Right Foot,From Corner,Missed Shot,95.5,51.5,False,Right Foot
ESP-La Liga,2526,2025-08-24 Villarreal-Girona,Villarreal,Etta Eyong,4,2025,29173,2025-08-24 17:30:00,639597,154,10930,734237,Tajon Buchanan,0.09026037901639938,0.9080000305175782,0.545,1,Right Foot,Open Play,Saved Shot,90.80000305175781,54.50000000000001,False,Right Foot
ESP-La Liga,2526,2025-08-24 Villarreal-Girona,Villarreal,Etta Eyong,4,2025,29173,2025-08-24 17:30:00,639606,154,10930,734242,Nicolas Pepe,0.5949553847312927,0.9330000305175781,0.51,32,Left Foot,Open Play,Saved Shot,93.30000305175781,51.0,False,Left Foot
ESP-La Liga,2526,2025-08-24 Villarreal-Girona,Villarreal,Etta Eyong,4,2025,29173,2025-08-24 17:30:00,639609,154,10930,734242,Nicolas Pepe,0.059540148824453354,0.7090000152587891,0.49200000762939455,48,Right Foot,Open Play,Missed Shot,70.9000015258789,49.20000076293945,False,Right Foot
ESP-La Liga,2526,2025-08-24 Villarreal-Girona,Villarreal,Etta Eyong,4,2025,29173,2025-08-24 17:30:00,639611,154,10930,,,0.1082393079996109,0.945,0.5990000152587891,49,Right Foot,Open Play,Blocked Shot,94.5,59.900001525878906,False,Right Foot
ESP-La Liga,2526,2025-08-31 Celta Vigo-Villarreal,Villarreal,Etta Eyong,4,2025,29185,2025-08-31 15:00:00,640834,154,10930,735794,Rafa Marín,0.06169832497835159,0.855999984741211,0.5940000152587891,55,Left Foot,Set Piece,Missed Shot,85.5999984741211,59.400001525878906,False,Left Foot
ESP-La Liga,2526,2025-09-14 Levante-Real Betis,Levante,Etta Eyong,4,2025,29191,2025-09-14 14:15:00,642300,151,10930,737660,Pablo Martínez,0.6921364665031433,0.88,0.43099998474121093,9,Right Foot,Open Play,Goal,88.0,43.099998474121094,True,Right Foot
ESP-La Liga,2526,2025-09-20 Girona-Levante,Levante,Etta Eyong,4,2025,29202,2025-09-20 12:00:00,642873,151,10930,,,0.6204498410224915,0.955,0.4809999847412109,38,Right Foot,From Corner,Missed Shot,95.5,48.099998474121094,False,Right Foot
ESP-La Liga,2526,2025-09-20 Girona-Levante,Levante,Etta Eyong,4,2025,29202,2025-09-20 12:00:00,642875,151,10930,738353,Jeremy Toljan,0.34032341837882996,0.9119999694824219,0.49599998474121093,42,,Open Play,Goal,91.19999694824219,49.599998474121094,True,Head
ESP-La Liga,2526,2025-09-23 Levante-Real Madrid,Levante,Etta Eyong,4,2025,29210,2025-09-23 19:30:00,644153,151,10930,739967,Oriol Rey,0.04259369522333145,0.799000015258789,0.45,11,Right Foot,Open Play,Blocked Shot,79.9000015258789,45.0,False,Right Foot
ESP-La Liga,2526,2025-09-23 Levante-Real Madrid,Levante,Etta Eyong,4,2025,29210,2025-09-23 19:30:00,644170,151,10930,,,0.9393930435180664,0.9840000152587891,0.529000015258789,53,,Open Play,Goal,98.4000015258789,52.900001525878906,True,Head
ESP-La Liga,2526,2025-09-23 Levante-Real Madrid,Levante,Etta Eyong,4,2025,29210,2025-09-23 19:30:00,644173,151,10930,739969,Jon Ander Olasagasti,0.0481518916785717,0.8680000305175781,0.48900001525878906,60,,Open Play,Missed Shot,86.80000305175781,48.900001525878906,False,Head
ESP-La Liga,2526,2025-09-23 Levante-Real Madrid,Levante,Etta Eyong,4,2025,29210,2025-09-23 19:30:00,644174,151,10930,739966,Carlos Álvarez,0.042734868824481964,0.8090000152587891,0.445,60,Left Foot,Open Play,Blocked Shot,80.9000015258789,44.5,False,Left Foot
ESP-La Liga,2526,2025-09-27 Getafe-Levante,Levante,Etta Eyong,4,2025,29222,2025-09-27 12:00:00,644510,151,10930,740390,Jeremy Toljan,0.32148540019989014,0.904000015258789,0.5820000076293945,44,Right Foot,Open Play,Missed Shot,90.4000015258789,58.20000076293945,False,Right Foot
ESP-La Liga,2526,2025-09-27 Getafe-Levante,Levante,Etta Eyong,4,2025,29222,2025-09-27 12:00:00,644515,151,10930,,,0.015233978629112244,0.6930000305175781,0.6129999923706054,50,Right Foot,Open Play,Missed Shot,69.30000305175781,61.29999923706054,False,Right Foot
ESP-La Liga,2526,2025-09-27 Getafe-Levante,Levante,Etta Eyong,4,2025,29222,2025-09-27 12:00:00,644520,151,10930,740399,Iván Romero,0.025640929117798805,0.915,0.6279999923706054,81,,Open Play,Missed Shot,91.5,62.79999923706055,False,Head
ESP-La Liga,2526,2025-09-27 Getafe-Levante,Levante,Etta Eyong,4,2025,29222,2025-09-27 12:00:00,644522,151,10930,740390,Jeremy Toljan,0.03079122304916382,0.8640000152587891,0.5159999847412109,89,,Open Play,Saved Shot,86.4000015258789,51.59999847412109,False,Head
ESP-La Liga,2526,2025-10-04 Real Oviedo-Levante,Levante,Etta Eyong,4,2025,29236,2025-10-04 12:00:00,645934,151,10930,742179,Iván Romero,0.13557885587215424,0.8780000305175781,0.5209999847412109,56,Left Foot,Open Play,Blocked Shot,87.80000305175781,52.09999847412109,False,Left Foot
ESP-La Liga,2526,2025-10-04 Real Oviedo-Levante,Levante,Etta Eyong,4,2025,29236,2025-10-04 12:00:00,645947,151,10930,,,0.7464754581451416,0.9669999694824218,0.5020000076293946,71,Right Foot,From Corner,Goal,96.69999694824219,50.20000076293945,True,Right Foot
ESP-La Liga,2526,2025-10-19 Levante-Rayo Vallecano,Levante,Etta Eyong,4,2025,29243,2025-10-19 16:30:00,648367,151,10930,745159,Unai Vencedor,0.07946240156888962,0.9180000305175782,0.27399999618530274,39,Right Foot,Open Play,Saved Shot,91.80000305175781,27.399999618530273,False,Right Foot
ESP-La Liga,2526,2025-10-19 Levante-Rayo Vallecano,Levante,Etta Eyong,4,2025,29243,2025-10-19 16:30:00,648377,151,10930,,,0.04985211417078972,0.825,0.47900001525878905,72,Left Foot,Open Play,Saved Shot,82.5,47.900001525878906,False,Left Foot
ESP-La Liga,2526,2025-10-26 Mallorca-Levante,Levante,Etta Eyong,4,2025,29257,2025-10-26 13:00:00,649386,151,10930,,,0.5198459625244141,0.9290000152587891,0.5279999923706055,21,Left Foot,Open Play,Goal,92.9000015258789,52.79999923706055,True,Left Foot
ESP-La Liga,2526,2025-10-26 Mallorca-Levante,Levante,Etta Eyong,4,2025,29257,2025-10-26 13:00:00,649390,151,10930,746484,Goduine Koyalipou,0.35875242948532104,0.87,0.40299999237060546,28,Right Foot,Open Play,Missed Shot,87.0,40.29999923706055,False,Right Foot
ESP-La Liga,2526,2025-11-02 Levante-Celta Vigo,Levante,Etta Eyong,4,2025,29265,2025-11-02 13:00:00,651278,151,10930,748896,Víctor García,0.08826132863759995,0.855999984741211,0.43,32,Right Foot,Open Play,Saved Shot,85.5999984741211,43.0,False,Right Foot
ESP-La Liga,2526,2025-11-02 Levante-Celta Vigo,Levante,Etta Eyong,4,2025,29265,2025-11-02 13:00:00,651279,151,10930,,,0.7432776093482971,0.885,0.5,36,Right Foot,,Shot On Post,88.5,50.0,False,Right Foot
ESP-La Liga,2526,2025-11-02 Levante-Celta Vigo,Levante,Etta Eyong,4,2025,29265,2025-11-02 13:00:00,651291,151,10930,,,0.058122675865888596,0.9169999694824219,0.33799999237060546,64,Right Foot,Set Piece,Saved Shot,91.69999694824219,33.79999923706055,False,Right Foot
ESP-La Liga,2526,2025-11-02 Levante-Celta Vigo,Levante,Etta Eyong,4,2025,29265,2025-11-02 13:00:00,651300,151,10930,748891,Matías Moreno,0.059682298451662064,0.8440000152587891,0.4109999847412109,97,Right Foot,Set Piece,Missed Shot,84.4000015258789,41.099998474121094,False,Right Foot
ESP-La Liga,2526,2025-11-21 Valencia-Levante,Levante,Etta Eyong,4,2025,29286,2025-11-21 20:00:00,653326,151,10930,751607,Unai Vencedor,0.04855651408433914,0.92,0.6170000076293946,27,,Set Piece,Missed Shot,92.0,61.70000076293945,False,Head
ESP-La Liga,2526,2025-11-29 Levante-Athletic Club,Levante,Etta Eyong,4,2025,29295,2025-11-29 17:30:00,655266,151,10930,753909,Carlos Álvarez,0.08579932898283005,0.8669999694824219,0.629000015258789,46,Left Foot,Open Play,Saved Shot,86.69999694824219,62.9000015258789,False,Left Foot
ESP-La Liga,2526,2025-11-29 Levante-Athletic Club,Levante,Etta Eyong,4,2025,29295,2025-11-29 17:30:00,655273,151,10930,753918,Víctor García,0.2328731268644333,0.909000015258789,0.45599998474121095,73,,Set Piece,Missed Shot,90.9000015258789,45.599998474121094,False,Head
