league,season,game,team,player,league_id,season_id,game_id,date,shot_id,team_id,player_id,assist_player_id,assist_player,xg,location_x,location_y,minute,body_part,situation,result,x,y,is_goal,shot_body_part
ESP-La Liga,2526,2025-08-16 Mallorca-Barcelona,Barcelona,Ferrán Torres,4,2025,29160,2025-08-16 17:30:00,637882,148,6441,,,0.06484029442071915,0.8090000152587891,0.4490000152587891,22,Right Foot,Open Play,Goal,80.9000015258789,44.900001525878906,True,Right Foot
ESP-La Liga,2526,2025-08-16 Mallorca-Barcelona,Barcelona,Ferrán Torres,4,2025,29160,2025-08-16 17:30:00,637884,148,6441,,,0.07277356088161469,0.830999984741211,0.49900001525878906,45,Left Foot,Open Play,Blocked Shot,83.0999984741211,49.900001525878906,False,Left Foot
ESP-La Liga,2526,2025-08-16 Mallorca-Barcelona,Barcelona,Ferrán Torres,4,2025,29160,2025-08-16 17:30:00,637889,148,6441,732054,Lamine Yamal,0.14388000965118408,0.904000015258789,0.5259999847412109,49,Right Foot,Open Play,Blocked Shot,90.4000015258789,52.599998474121094,False,Right Foot
ESP-La Liga,2526,2025-08-23 Levante-Barcelona,Barcelona,Ferrán Torres,4,2025,29171,2025-08-23 19:30:00,639214,148,6441,733750,Álex Balde,0.10488483309745789,0.9169999694824219,0.600999984741211,27,Left Foot,Open Play,Saved Shot,91.69999694824219,60.099998474121094,False,Left Foot
ESP-La Liga,2526,2025-08-23 Levante-Barcelona,Barcelona,Ferrán Torres,4,2025,29171,2025-08-23 19:30:00,639216,148,6441,733751,Pedri,0.39841368794441223,0.889000015258789,0.4620000076293945,36,Right Foot,Open Play,Shot On Post,88.9000015258789,46.20000076293945,False,Right Foot
ESP-La Liga,2526,2025-08-23 Levante-Barcelona,Barcelona,Ferrán Torres,4,2025,29171,2025-08-23 19:30:00,639226,148,6441,733754,Raphinha,0.3345003128051758,0.9319999694824219,0.5,51,Right Foot,From Corner,Goal,93.19999694824219,50.0,True,Right Foot
ESP-La Liga,2526,2025-08-23 Levante-Barcelona,Barcelona,Ferrán Torres,4,2025,29171,2025-08-23 19:30:00,639231,148,6441,733754,Raphinha,0.549759030342102,0.945,0.47299999237060547,69,,Open Play,Saved Shot,94.5,47.29999923706055,False,Head
ESP-La Liga,2526,2025-08-23 Levante-Barcelona,Barcelona,Ferrán Torres,4,2025,29171,2025-08-23 19:30:00,639233,148,6441,733750,Álex Balde,0.11402614414691925,0.945,0.495,71,,Open Play,Blocked Shot,94.5,49.5,False,Head
ESP-La Liga,2526,2025-09-14 Barcelona-Valencia,Barcelona,Ferrán Torres,4,2025,29194,2025-09-14 19:00:00,642612,148,6441,738032,Fermín López,0.42864176630973816,0.8809999847412109,0.49700000762939456,9,Right Foot,Open Play,Missed Shot,88.0999984741211,49.70000076293945,False,Right Foot
ESP-La Liga,2526,2025-09-14 Barcelona-Valencia,Barcelona,Ferrán Torres,4,2025,29194,2025-09-14 19:00:00,642615,148,6441,738031,Roony Bardghji,0.09309539198875427,0.8480000305175781,0.485,18,Right Foot,Open Play,Blocked Shot,84.80000305175781,48.5,False,Right Foot
ESP-La Liga,2526,2025-09-14 Barcelona-Valencia,Barcelona,Ferrán Torres,4,2025,29194,2025-09-14 19:00:00,642618,148,6441,738026,Eric Garcia,0.03278275951743126,0.7930000305175782,0.34,41,Right Foot,Open Play,Missed Shot,79.30000305175781,34.0,False,Right Foot
ESP-La Liga,2526,2025-09-14 Barcelona-Valencia,Barcelona,Ferrán Torres,4,2025,29194,2025-09-14 19:00:00,642620,148,6441,738032,Fermín López,0.35822561383247375,0.889000015258789,0.4179999923706055,47,Right Foot,Open Play,Shot On Post,88.9000015258789,41.79999923706055,False,Right Foot
ESP-La Liga,2526,2025-09-14 Barcelona-Valencia,Barcelona,Ferrán Torres,4,2025,29194,2025-09-14 19:00:00,642621,148,6441,738028,Gerard Martín,0.1239733025431633,0.9109999847412109,0.5940000152587891,52,Left Foot,Open Play,Saved Shot,91.0999984741211,59.400001525878906,False,Left Foot
ESP-La Liga,2526,2025-09-21 Barcelona-Getafe,Barcelona,Ferrán Torres,4,2025,29199,2025-09-21 19:00:00,644000,148,6441,739778,Gerard Martín,0.11019434034824371,0.870999984741211,0.5479999923706055,7,Right Foot,Open Play,Blocked Shot,87.0999984741211,54.79999923706055,False,Right Foot
