game_id,period,minute,second,expanded_minute,type,outcome_type,team_id,team,player_id,player,x,y,end_x,end_y,goal_mouth_y,goal_mouth_z,blocked_x,blocked_y,qualifiers,is_touch,is_shot,is_goal,card_type,related_event_id,related_player_id,match_id,data_source,pass_length,is_longball,is_header,is_cross,is_through_ball,shot_body_part,is_assist,field_zone,is_successful,event_type,possession_sequence,next_player,distance_to_goal,pass_distance,event_id,take_ons_in_carry,xthreat,xthreat_gen,is_pre_assist,possession_id,possession_team,is_progressive,is_box_entry,pass_outcome,action_type,zone_id,xg,match_date,match_home,match_away,match_id_ws,match_id_us
1908319,FirstHalf,1.0,20.5,1,Carry,Successful,7614,RBL,557000.0,Yan Diomande,23.5,81.6,23.5,76.1,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '23.5'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.93'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '14.2'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '81.6'}]",True,,,,,,1908319,whoscored,,False,False,False,False,,False,Defensive_Right,True,Carry,14,Castello Lukeba,81.56,17.67,30.5,0.0,-0.0187312124999999,0.0,False,16,RBL,False,False,,Offensive,6,0.0,2025-08-22 18:30:00,Bayern Munich,RB Leipzig,1908319,30224
1908319,FirstHalf,4.0,22.0,4,Carry,Successful,7614,RBL,557000.0,Yan Diomande,58.5,99.1,86.2,94.3,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '58.5'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '99.1'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.18'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '24.0'}]",True,,,,,,1908319,whoscored,,False,False,False,False,,False,Middle_Right,True,Carry,24,David Raum,76.94,23.39,83.5,0.0,-0.4278329464399999,0.0,False,26,RBL,True,False,,Offensive,12,0.0,2025-08-22 18:30:00,Bayern Munich,RB Leipzig,1908319,30224
1908319,FirstHalf,6.0,56.5,6,Carry,Successful,7614,RBL,557000.0,Yan Diomande,37.3,92.0,31.3,91.9,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.02'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '7.8'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '92.0'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '37.3'}]",True,,,,,,1908319,whoscored,,False,False,False,False,,False,Defensive_Right,True,Carry,32,Xavi Simons,81.62,7.4,96.5,0.0,-0.0617946900199998,0.0,False,34,RBL,False,False,,Offensive,9,0.0,2025-08-22 18:30:00,Bayern Munich,RB Leipzig,1908319,30224
1908319,FirstHalf,11.0,37.0,11,Carry,Successful,7614,RBL,557000.0,Yan Diomande,42.7,93.4,45.8,93.7,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '42.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.62'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '13.8'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '93.4'}]",True,,,,,,1908319,whoscored,,False,False,False,False,,False,Defensive_Right,True,Carry,52,Xavi Simons,74.98,15.93,195.5,0.0,0.0434155305399999,0.0434155305399999,False,54,RBL,False,False,,Offensive,9,0.0,2025-08-22 18:30:00,Bayern Munich,RB Leipzig,1908319,30224
1908319,FirstHalf,35.0,17.0,35,Carry,Successful,7614,RBL,557000.0,Yan Diomande,42.4,30.9,53.9,23.4,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '42.4'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '38.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '30.9'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.65'}]",True,,,,,,1908319,whoscored,,True,False,False,False,,False,Defensive_Center,True,Carry,146,Loïs Openda,88.48,44.77,582.5,0.0,0.00819896016,0.00819896016,False,148,RBL,False,False,,Offensive,7,0.0,2025-08-22 18:30:00,Bayern Munich,RB Leipzig,1908319,30224
1910607,SecondHalf,70.0,9.0,73,Carry,Successful,7614,RBL,557000.0,Yan Diomande,72.2,75.9,76.2,71.8,,,,,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '75.9'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.11'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '72.2'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '22.0'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]",True,,,,,,1910607,whoscored,,False,False,False,False,,False,Middle_Center,True,Carry,427,Christoph Baumgartner,37.23,30.45,1077.5,0.0,-0.06902804134,0.0,False,435,RBL,False,False,,Offensive,15,0.0,2025-08-30 13:30:00,RB Leipzig,FC Heidenheim,1910607,30235
1910607,SecondHalf,71.0,16.5,74,Carry,Successful,7614,RBL,557000.0,Yan Diomande,88.8,10.8,88.7,6.3,,,,,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.76'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '10.8'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '88.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '16.4'}]",True,,,,,,1910607,whoscored,,False,False,False,False,,False,Attacking_Left,True,Carry,433,,36.74,18.06,1104.5,2.0,-0.00255633196,0.0,False,443,RBL,False,False,,Offensive,16,0.0,2025-08-30 13:30:00,RB Leipzig,FC Heidenheim,1910607,30235
1910607,SecondHalf,82.0,47.5,85,Carry,Successful,7614,RBL,557000.0,Yan Diomande,68.2,37.5,72.8,39.7,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '2.31'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '37.5'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '68.2'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '5.0'}]",True,,,,,,1910607,whoscored,,False,False,False,False,,False,Attacking_Left,True,Carry,479,Antonio Nusa,33.74,6.28,1283.5,0.0,-0.0104120569399999,0.0,False,487,RBL,False,False,,Offensive,14,0.0,2025-08-30 13:30:00,RB Leipzig,FC Heidenheim,1910607,30235
1910607,SecondHalf,85.0,45.5,88,Carry,Successful,7614,RBL,557000.0,Yan Diomande,51.8,34.0,53.3,40.6,,,,,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '22.1'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '34.0'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '51.8'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.90'}]",True,,,,,,1910607,whoscored,,False,False,False,False,,False,Middle_Left,True,Carry,493,Assan Ouédraogo,73.94,28.62,1332.5,0.0,0.0244416981599999,0.0244416981599999,False,501,RBL,False,False,,Offensive,11,0.0,2025-08-30 13:30:00,RB Leipzig,FC Heidenheim,1910607,30235
1910620,SecondHalf,69.0,42.5,72,Carry,Successful,7614,RBL,557000.0,Yan Diomande,21.8,12.0,23.1,6.1,,,,,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.41'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '14.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '12.0'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '21.8'}]",True,,,,,,1910620,whoscored,,False,False,False,False,,False,Defensive_Left,True,Carry,507,Christoph Baumgartner,89.71,18.75,1178.5,0.0,-0.00168099921,0.0,False,526,RBL,False,False,,Offensive,4,0.0,2025-09-13 13:30:00,Mainz 05,RB Leipzig,1910620,30245
