x_assist,y_assist,x_shot,y_shot,xg,is_goal,body_part,shooter
94.0,33.9,92.3,47.9,0.4704110622406,True,,Tomás Avilés
78.1,37.2,90.7,36.0,0.42619886994362,True,,Telasco Segovia
54.2,24.7,91.7,45.8,0.075186744332314,True,,Benjamín Cremaschi
95.7,24.7,89.8,53.6,0.23793014883995,True,,Luis Suárez
42.4,31.0,91.0,37.0,0.20729896426201,True,,Tadeo Allende
31.4,26.7,81.9,35.4,0.36086097359657,True,,Fafà Picault
71.0,38.3,80.3,33.8,0.020344262942672,True,,Tadeo Allende
86.0,6.2,92.0,51.8,0.78832870721817,True,,Lionel Messi
68.3,44.3,96.1,63.2,0.35750350356102,True,,Jordi Alba
76.7,87.8,81.3,52.6,0.058639410883188,True,,Yannick Bright
76.0,49.6,91.7,39.3,0.49310195446014,True,,Luis Suárez
69.2,43.6,88.1,61.7,0.37160965800285,True,,Jordi Alba
36.6,56.2,83.2,53.0,0.52628928422928,True,,Tadeo Allende
55.4,56.4,85.3,53.0,0.53498065471649,True,,Baltasar Rodríguez
71.6,62.3,92.6,40.7,0.31246769428253,True,,Tadeo Allende
40.0,27.2,93.0,49.7,0.30264827609062,True,,Tadeo Allende
35.0,31.1,88.1,66.2,0.26665619015694,True,,Jordi Alba
91.6,50.1,93.3,58.9,0.77364093065262,True,,Telasco Segovia
51.9,53.6,82.2,35.0,0.38621106743813,True,,Tadeo Allende
79.5,39.1,87.1,62.4,0.15824370086193,True,,Mateo Silvetti
44.8,56.1,87.9,39.8,0.53440201282501,True,,Tadeo Allende
43.0,26.7,88.7,39.7,0.59763669967651,True,,Tadeo Allende
85.7,60.4,88.4,43.8,0.093070358037949,True,,Mateo Silvetti
71.6,32.8,89.8,37.9,0.42203733325005,True,,Rodrigo De Paul
65.2,46.8,85.5,47.6,0.46825894713402,True,,Tadeo Allende
