x,y,end_x,end_y,xg,pass_length,receiver,pass_outcome
94.0,33.9,92.3,47.9,0.4704110622406,14.6,Tomás Avilés,Goal
78.1,37.2,90.7,36.0,0.42619886994362,12.6,Telasco Segovia,Goal
54.2,24.7,91.7,45.8,0.075186744332314,58.56,Benjamín Cremaschi,Goal
95.7,24.7,89.8,53.6,0.23793014883995,31.16,Luis Suárez,Goal
42.4,31.0,91.0,37.0,0.20729896426201,46.39,Tadeo Allende,Goal
31.4,26.7,81.9,35.4,0.36086097359657,41.95,Fafà Picault,Goal
71.0,38.3,80.3,33.8,0.020344262942672,16.58,Tadeo Allende,Goal
86.0,6.2,92.0,51.8,0.78832870721817,26.96,Lionel Messi,Goal
68.3,44.3,96.1,63.2,0.35750350356102,31.54,Jordi Alba,Goal
76.7,87.8,81.3,52.6,0.058639410883188,30.74,Yannick Bright,Goal
76.0,49.6,91.7,39.3,0.49310195446014,16.92,Luis Suárez,Goal
69.2,43.6,88.1,61.7,0.37160965800285,23.53,Jordi Alba,Goal
36.6,56.2,83.2,53.0,0.52628928422928,46.9,Tadeo Allende,Goal
55.4,56.4,85.3,53.0,0.53498065471649,18.75,Baltasar Rodríguez,Goal
71.6,62.3,92.6,40.7,0.31246769428253,31.8,Tadeo Allende,Goal
40.0,27.2,93.0,49.7,0.30264827609062,36.59,Tadeo Allende,Goal
35.0,31.1,88.1,66.2,0.26665619015694,63.65,Jordi Alba,Goal
91.6,50.1,93.3,58.9,0.77364093065262,8.96,Telasco Segovia,Goal
51.9,53.6,82.2,35.0,0.38621106743813,35.55,Tadeo Allende,Goal
79.5,39.1,87.1,62.4,0.15824370086193,24.51,Mateo Silvetti,Goal
44.8,56.1,87.9,39.8,0.53440201282501,30.97,Tadeo Allende,Goal
43.0,26.7,88.7,39.7,0.59763669967651,27.77,Tadeo Allende,Goal
85.7,60.4,88.4,43.8,0.093070358037949,15.29,Mateo Silvetti,Goal
71.6,32.8,89.8,37.9,0.42203733325005,12.65,Rodrigo De Paul,Goal
65.2,46.8,85.5,47.6,0.46825894713402,10.61,Tadeo Allende,Goal
