x,y,entry_x,entry_y,entry_type,outcome
77.5,48.7,89.0,58.2,Pass,shot
71.6,54.9,87.7,65.5,Pass,shot
99.5,0.5,97.9,37.3,Pass,shot
77.6,29.3,86.3,40.1,Pass,shot
55.4,58.7,93.7,75.2,Pass,shot
86.2,0.0,90.6,27.2,Pass,shot
78.1,37.2,90.7,37.4,Pass,shot
69.0,38.5,91.4,50.0,Pass,shot
68.8,28.3,87.9,50.3,Carry,shot
80.6,49.4,87.8,63.8,Carry,shot
81.8,32.8,90.0,46.4,Pass,shot
67.1,52.8,86.0,33.8,Pass,shot
70.0,48.8,92.2,67.8,Pass,shot
77.1,46.3,94.4,26.1,Pass,shot
81.9,52.1,90.1,48.3,Carry,shot
78.6,56.7,95.8,70.8,Pass,shot
69.1,31.6,90.1,74.1,Pass,shot
71.2,70.3,86.6,78.5,Pass,shot
90.7,19.2,84.4,30.0,Pass,shot
75.9,27.0,88.9,34.2,Pass,shot
77.4,40.4,89.6,33.7,Pass,shot
75.5,77.0,90.9,61.1,Carry,shot
73.2,50.0,86.4,67.9,Pass,shot
82.9,7.6,96.9,51.9,Pass,shot
72.7,38.7,97.7,74.1,Pass,shot
72.0,58.8,87.8,69.0,Pass,shot
81.2,35.1,87.3,46.0,Pass,shot
78.8,35.2,86.7,39.5,Carry,shot
43.6,57.0,87.2,75.4,Pass,shot
71.0,55.2,87.1,66.3,Pass,shot
52.5,44.8,87.5,71.7,Pass,shot
73.7,50.3,88.5,72.9,Pass,shot
76.5,27.9,91.4,26.7,Carry,shot
70.4,20.6,85.4,30.4,Carry,shot
77.4,25.2,89.6,31.2,Carry,shot
75.8,18.9,94.2,25.3,Carry,shot
78.5,59.1,85.0,41.2,Pass,shot
78.7,41.9,84.2,60.3,Pass,shot
77.3,34.0,90.4,30.6,Pass,shot
75.0,36.0,89.8,24.9,Pass,shot
70.8,60.3,86.6,48.2,Pass,shot
80.9,63.3,89.2,68.5,Pass,shot
75.6,72.7,98.0,38.2,Pass,shot
93.7,17.6,98.2,31.8,Carry,shot
78.5,53.1,83.6,57.0,Pass,shot
82.6,49.1,96.4,33.8,Pass,shot
85.5,18.5,93.9,26.5,Carry,shot
77.3,14.3,85.0,35.1,Carry,shot
78.3,30.3,88.6,30.0,Carry,shot
75.3,59.0,94.0,69.0,Pass,shot
73.7,79.3,93.2,33.6,Pass,shot
68.6,59.7,87.3,75.7,Pass,shot
73.4,65.1,89.8,77.2,Pass,shot
56.6,38.3,89.0,25.3,Pass,shot
78.7,50.6,85.5,37.9,Pass,shot
68.6,36.6,85.2,48.2,Pass,shot
66.3,7.3,83.3,38.0,Pass,shot
81.6,70.3,88.5,67.5,Carry,shot
73.2,62.6,87.8,74.2,Pass,shot
42.4,31.0,88.4,37.0,Pass,shot
70.3,30.9,95.5,30.1,Pass,shot
73.5,51.9,83.2,70.2,Pass,shot
76.3,54.5,90.6,76.1,Pass,shot
72.4,37.1,93.9,22.1,Pass,shot
77.5,35.4,87.0,32.7,Pass,shot
75.6,44.6,87.6,75.9,Pass,shot
82.3,42.1,89.0,41.1,Carry,shot
73.8,51.3,84.9,51.2,Pass,shot
72.2,35.5,86.8,45.5,Carry,shot
81.0,51.2,91.0,43.7,Pass,shot
74.7,33.2,86.6,25.7,Pass,shot
64.9,66.0,86.8,49.7,Pass,shot
81.0,82.7,92.0,75.9,Carry,shot
75.3,37.9,91.0,27.0,Pass,shot
72.2,59.4,92.9,77.1,Pass,shot
82.5,77.3,96.3,70.1,Pass,shot
82.0,16.5,85.3,36.9,Carry,shot
76.5,61.1,91.4,57.0,Pass,shot
75.2,71.1,87.7,78.2,Pass,shot
79.5,67.8,94.4,64.8,Pass,shot
79.3,61.8,93.8,75.1,Pass,shot
68.3,44.3,90.9,66.3,Pass,shot
75.6,44.2,91.8,68.8,Pass,shot
75.5,72.6,85.6,64.2,Carry,shot
81.8,29.1,86.4,39.7,Carry,shot
74.9,35.7,86.9,66.1,Pass,shot
80.2,31.9,97.2,33.1,Pass,shot
78.2,37.0,97.4,23.8,Pass,shot
76.0,49.6,90.0,40.1,Pass,shot
85.5,81.6,95.2,75.8,Pass,shot
58.3,53.0,85.0,45.4,Pass,shot
92.2,18.9,98.6,23.5,Carry,shot
72.0,50.3,84.9,73.2,Pass,shot
79.1,33.4,99.1,27.4,Pass,shot
80.2,64.4,88.1,61.7,Carry,shot
78.1,42.1,90.1,29.5,Pass,shot
73.8,63.0,84.7,59.7,Pass,shot
80.9,38.9,91.4,30.3,Pass,shot
64.6,57.9,92.4,76.5,Pass,shot
70.7,50.8,85.8,32.7,Pass,shot
77.6,38.0,95.2,25.6,Pass,shot
36.6,56.2,83.5,56.4,Pass,shot
72.5,39.9,85.2,49.5,Pass,shot
76.5,50.7,97.4,76.1,Pass,shot
79.6,32.1,93.0,24.4,Pass,shot
57.6,32.1,88.8,27.6,Pass,shot
75.8,53.2,87.8,66.2,Pass,shot
75.3,31.3,83.7,37.0,Pass,shot
75.6,68.0,96.4,68.3,Pass,shot
99.5,99.5,92.3,48.7,Pass,shot
