x,y,end_x,end_y,xthreat,action_type
49.1,71.8,59.1,83.9,0.21607809853,carry
68.9,14.4,75.5,4.1,0.0,carry
74.3,6.5,79.5,3.7,0.0,carry
40.7,22.1,69.6,21.3,0.01432984285,carry
68.8,28.3,87.9,50.3,0.0034867559099999,carry
80.6,49.4,87.8,63.8,0.0215624688799999,carry
86.0,33.8,94.8,29.3,0.0,carry
44.0,62.4,53.2,69.1,0.11083740448,carry
81.9,52.1,90.1,48.3,0.0,carry
38.5,49.6,53.3,42.1,0.0258019691599999,carry
53.8,20.9,68.0,31.3,0.02060735568,carry
75.5,77.0,90.9,61.1,0.0,carry
67.1,72.3,72.8,66.6,0.0,carry
77.8,15.4,91.2,8.7,0.0,carry
28.6,46.1,34.5,33.5,0.0,carry
78.8,35.2,86.7,39.5,0.0,carry
37.0,25.0,63.9,11.6,0.0097068264,carry
76.5,27.9,91.4,26.7,0.0,carry
70.4,20.6,85.4,30.4,0.0,carry
34.8,62.4,45.1,70.3,0.0990003969699999,carry
25.3,69.3,35.1,71.5,0.0570949179999999,carry
77.4,25.2,89.6,31.2,0.0,carry
75.8,18.9,94.2,25.3,0.0,carry
84.2,60.3,89.6,62.4,0.0,carry
79.1,87.4,88.9,93.9,0.0,carry
79.1,88.0,90.8,93.8,0.0,carry
37.8,49.7,52.8,41.2,0.02381875164,carry
67.6,10.1,80.6,15.0,0.0,carry
34.8,68.1,52.7,85.1,0.2884246317399999,carry
44.9,19.8,50.9,14.2,0.0,carry
55.9,93.0,61.8,87.8,0.0,carry
85.5,18.5,93.9,26.5,0.0,carry
66.2,63.6,72.3,60.0,0.0,carry
77.3,14.3,85.0,35.1,0.0164729948299999,carry
77.4,12.6,88.6,13.5,0.0,carry
78.3,30.3,88.6,30.0,0.0,carry
32.1,67.0,42.4,70.9,0.0788179441399999,carry
47.1,44.5,54.6,31.9,0.0,carry
62.2,83.3,69.2,83.5,0.0,carry
68.7,4.7,75.4,3.5,0.0,carry
72.6,18.5,79.6,12.9,0.0,carry
63.2,73.8,71.4,74.6,0.0,carry
51.4,20.9,65.4,22.3,0.00870732148,carry
47.3,59.5,54.0,76.0,0.1800010236,carry
64.2,82.1,85.8,81.0,0.0,carry
44.1,48.8,53.1,47.0,0.02877041406,carry
39.0,25.0,45.2,26.2,0.01325501932,carry
53.4,34.6,59.2,38.5,0.02150553272,carry
34.4,77.2,58.0,88.4,0.3549163740800001,carry
77.4,17.6,85.1,17.6,0.0,carry
83.3,38.0,93.3,39.5,0.0,carry
81.6,70.3,88.5,67.5,0.0,carry
66.1,65.4,72.1,66.7,0.0,carry
45.9,19.1,52.0,15.3,0.00184368316,carry
82.9,9.4,93.6,16.1,0.0,carry
59.5,53.9,67.2,61.7,0.04099240005,carry
46.9,74.1,65.2,65.8,0.0259055098200001,carry
44.7,13.4,82.0,23.4,0.0,carry
46.8,40.9,74.6,48.7,0.02303966842,carry
73.1,31.3,81.9,35.4,0.0,carry
82.3,42.1,89.0,41.1,0.0,carry
61.7,7.3,69.4,8.5,0.0,carry
66.3,7.1,78.3,12.5,0.0,carry
46.4,30.1,52.1,30.4,0.0132323483999999,carry
72.2,35.5,86.8,45.5,0.0,carry
39.9,13.5,52.0,30.7,0.0478754709999999,carry
81.0,82.7,92.0,75.9,0.0,carry
57.8,7.1,79.2,5.6,0.0,carry
91.0,27.0,96.2,25.3,0.0,carry
58.6,63.9,64.6,88.0,0.2976609411200002,carry
52.8,53.1,62.3,59.9,0.0751498437599999,carry
43.7,53.1,54.3,54.2,0.0561508241999999,carry
47.2,24.7,55.5,26.2,0.0166124972599999,carry
47.6,90.5,71.8,75.2,0.0,carry
72.4,37.0,79.8,36.8,0.0,carry
74.3,66.0,92.9,91.1,0.0068651951299998,carry
54.7,72.4,70.0,69.0,0.0,carry
91.4,57.0,96.9,57.8,0.0,carry
65.6,93.6,73.0,92.4,0.0,carry
83.8,10.3,89.8,10.9,0.0,carry
90.9,66.3,96.1,63.2,0.0,carry
75.5,72.6,85.6,64.2,0.0,carry
60.5,4.6,80.9,28.0,0.0058728144,carry
45.4,9.0,56.7,10.9,0.01279479972,carry
51.0,19.7,68.1,13.4,0.0,carry
70.1,18.2,75.4,14.3,0.0,carry
67.0,66.3,73.2,56.4,0.0,carry
65.5,14.3,73.2,14.9,0.0,carry
92.2,18.9,98.6,23.5,0.0,carry
26.9,31.0,32.5,37.6,0.0195315416,carry
80.2,64.4,88.1,61.7,0.0,carry
43.7,28.6,54.8,32.5,0.0348594407999999,carry
71.8,49.3,77.1,50.1,0.0,carry
67.4,12.7,73.4,13.8,0.0,carry
