date,home_team,away_team,whoscored_id,understat_id,league,season
2025-08-22 18:30:00,Bayern Munich,RB Leipzig,1908319,30224,GER-Bundesliga,25-26
2025-08-30 13:30:00,RB Leipzig,FC Heidenheim,1910607,30235,GER-Bundesliga,25-26
2025-09-13 13:30:00,Mainz 05,RB Leipzig,1910620,30245,GER-Bundesliga,25-26
2025-09-20 16:30:00,RB Leipzig,FC Koln,1910639,30256,GER-Bundesliga,25-26
2025-09-27 13:30:00,Wolfsburg,RB Leipzig,1910661,30264,GER-Bundesliga,25-26
2025-10-04 13:30:00,Borussia Dortmund,RB Leipzig,1910626,30271,GER-Bundesliga,25-26
2025-10-18 13:30:00,RB Leipzig,Hamburger SV,1910681,30283,GER-Bundesliga,25-26
2025-10-25 13:30:00,Augsburg,RB Leipzig,1910689,30287,GER-Bundesliga,25-26
2025-11-01 14:30:00,RB Leipzig,VfB Stuttgart,1910720,30301,GER-Bundesliga,25-26
2025-11-08 14:30:00,Hoffenheim,RB Leipzig,1910738,30310,GER-Bundesliga,25-26
2025-11-23 14:30:00,RB Leipzig,Werder Bremen,1910758,30320,GER-Bundesliga,25-26
2025-11-28 19:30:00,Borussia M.Gladbach,RB Leipzig,1910767,30325,GER-Bundesliga,25-26
2025-12-06 17:30:00,RB Leipzig,Eintracht Frankfurt,1910793,30340,GER-Bundesliga,25-26
2025-12-12 19:30:00,Union Berlin,RB Leipzig,1910654,30348,GER-Bundesliga,25-26
2025-12-20 17:30:00,RB Leipzig,Bayer Leverkusen,1910667,30356,GER-Bundesliga,25-26
