league_id,season_id,match_id,shot_date,shot_id,team_id,player_id,assist_player_id,assist_player,shot_xg,shot_location_x,shot_location_y,shot_minute,shot_body_part,shot_situation,shot_result,shot_player,shot_team,is_goal,is_on_target,shot_zone
1,2023,22256,2024-05-13 19:00:00,580909,71,5712,661845,Leon Bailey,0.9685041308403015,0.9840000152587891,0.5120000076293946,35,Left Foot,Set Piece,Missed Shot,Player ID 5712,Aston Villa,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580930,71,5712,661842,Lucas Digne,0.01188255101442337,0.87,0.38799999237060545,92,,From Corner,Blocked Shot,Player ID 5712,Aston Villa,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580918,71,6122,661850,Nicolo Zaniolo,0.07857668399810791,0.8619999694824219,0.5990000152587891,68,Left Foot,Open Play,Missed Shot,Player ID 6122,Aston Villa,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580898,71,4401,,,0.0,0.025,0.51,1,,Open Play,Own Goal,Player ID 4401,Aston Villa,0,0,Long Range
1,2023,22256,2024-05-13 19:00:00,580925,71,11366,661845,Leon Bailey,0.09937392920255661,0.8809999847412109,0.46,83,Left Foot,Open Play,Blocked Shot,Player ID 11366,Aston Villa,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580926,71,11366,661851,Calum Chambers,0.05676691234111786,0.8080000305175781,0.48200000762939454,84,Left Foot,Open Play,Goal,Player ID 11366,Aston Villa,1,1,Central Penalty Area
1,2023,22256,2024-05-13 19:00:00,580928,71,11366,661846,Moussa Diaby,0.05246451124548912,0.8169999694824219,0.4859999847412109,87,Left Foot,Open Play,Goal,Player ID 11366,Aston Villa,1,1,Central Penalty Area
1,2023,22256,2024-05-13 19:00:00,580907,71,7723,661844,Douglas Luiz,0.04751304164528847,0.865999984741211,0.6930000305175781,32,Left Foot,Open Play,Blocked Shot,Player ID 7723,Aston Villa,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580902,71,5221,661846,Moussa Diaby,0.04405548423528671,0.9680000305175781,0.285,16,Right Foot,Open Play,Blocked Shot,Player ID 5221,Aston Villa,0,0,Wide Box
1,2023,22256,2024-05-13 19:00:00,580904,71,5221,661846,Moussa Diaby,0.3984290361404419,0.9109999847412109,0.41900001525878905,20,Left Foot,Open Play,Blocked Shot,Player ID 5221,Aston Villa,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580919,71,5221,,,0.03295184299349785,0.8830000305175781,0.3270000076293945,68,Left Foot,Open Play,Missed Shot,Player ID 5221,Aston Villa,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580921,71,1823,,,0.01325022242963314,0.7530000305175781,0.64,74,Left Foot,From Corner,Missed Shot,Player ID 1823,Aston Villa,0,0,Central Penalty Area
1,2023,22256,2024-05-13 19:00:00,580912,71,6556,661847,John McGinn,0.10730409622192383,0.8569999694824219,0.575,42,Left Foot,Open Play,Missed Shot,Player ID 6556,Aston Villa,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580916,71,6556,661848,Ollie Watkins,0.07785473763942719,0.915,0.265,66,Right Foot,Open Play,Missed Shot,Player ID 6556,Aston Villa,0,0,Wide Box
1,2023,22256,2024-05-13 19:00:00,580929,71,6556,,,0.02043980173766613,0.8640000152587891,0.6580000305175782,91,Left Foot,Open Play,Saved Shot,Player ID 6556,Aston Villa,0,1,Central Box
1,2023,22256,2024-05-13 19:00:00,580917,71,6686,661846,Moussa Diaby,0.0995507761836052,0.8619999694824219,0.4909999847412109,68,Left Foot,Open Play,Saved Shot,Player ID 6686,Aston Villa,0,1,Central Box
1,2023,22256,2024-05-13 19:00:00,580903,71,8865,661845,Leon Bailey,0.14507260918617249,0.875999984741211,0.35200000762939454,19,Right Foot,Open Play,Blocked Shot,Player ID 8865,Aston Villa,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580914,71,8865,661846,Moussa Diaby,0.3818112909793854,0.899000015258789,0.5059999847412109,53,Right Foot,Open Play,Missed Shot,Player ID 8865,Aston Villa,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580908,71,6221,661847,John McGinn,0.014157678931951523,0.885,0.40400001525878904,34,,Set Piece,Blocked Shot,Player ID 6221,Aston Villa,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580901,71,5956,661848,Ollie Watkins,0.06917628645896912,0.84,0.49,11,Right Foot,Open Play,Goal,Player ID 5956,Aston Villa,1,1,Central Box
1,2023,22256,2024-05-13 19:00:00,580910,87,8379,661860,Mohamed Salah,0.055571265518665314,0.860999984741211,0.305,37,Right Foot,Open Play,Blocked Shot,Player ID 8379,Liverpool,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580915,87,8379,661862,Luis Díaz,0.04263946786522865,0.8209999847412109,0.65,62,Right Foot,Open Play,Blocked Shot,Player ID 8379,Liverpool,0,0,Central Penalty Area
1,2023,22256,2024-05-13 19:00:00,580900,87,11296,661857,Alexis Mac Allister,0.05733807757496834,0.9080000305175782,0.4829999923706055,4,,From Corner,Missed Shot,Player ID 11296,Liverpool,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580906,87,11296,,,0.7448253035545349,0.965,0.49200000762939455,22,Right Foot,Open Play,Goal,Player ID 11296,Liverpool,1,1,Central Box
1,2023,22256,2024-05-13 19:00:00,580931,87,6665,,,0.05633585900068283,0.855999984741211,0.37400001525878906,94,Right Foot,Open Play,Saved Shot,Player ID 6665,Liverpool,0,1,Central Box
1,2023,22256,2024-05-13 19:00:00,580927,87,10720,661864,Ryan Gravenberch,0.04586015269160271,0.7330000305175781,0.465,85,Right Foot,Open Play,Saved Shot,Player ID 10720,Liverpool,0,1,Central Penalty Area
1,2023,22256,2024-05-13 19:00:00,580922,87,9788,661860,Mohamed Salah,0.4126097857952118,0.965,0.35200000762939454,76,Right Foot,Open Play,Saved Shot,Player ID 9788,Liverpool,0,1,Central Box
1,2023,22256,2024-05-13 19:00:00,580923,87,9788,661853,Trent Alexander-Arnold,0.039680756628513336,0.9290000152587891,0.3370000076293945,79,Left Foot,From Corner,Missed Shot,Player ID 9788,Liverpool,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580913,87,10187,661859,Harvey Elliott,0.3022225499153137,0.9159999847412109,0.43900001525878907,47,,Set Piece,Goal,Player ID 10187,Liverpool,1,1,Central Box
1,2023,22256,2024-05-13 19:00:00,580905,87,987,661862,Luis Díaz,0.07188358157873154,0.9230000305175782,0.6769999694824219,22,Right Foot,Open Play,Saved Shot,Player ID 987,Liverpool,0,1,Central Box
1,2023,22256,2024-05-13 19:00:00,580920,87,987,661862,Luis Díaz,0.016750572249293327,0.7680000305175781,0.7190000152587891,72,Right Foot,Open Play,Missed Shot,Player ID 987,Liverpool,0,0,Wide Penalty Area
1,2023,22256,2024-05-13 19:00:00,580899,87,1250,661859,Harvey Elliott,0.06249815598130226,0.8819999694824219,0.32,3,Left Foot,Open Play,Blocked Shot,Player ID 1250,Liverpool,0,0,Central Box
1,2023,22256,2024-05-13 19:00:00,580911,87,1791,661862,Luis Díaz,0.01848509907722473,0.725999984741211,0.605999984741211,41,Right Foot,Open Play,Missed Shot,Player ID 1791,Liverpool,0,0,Central Penalty Area
1,2023,22256,2024-05-13 19:00:00,580924,87,1791,661863,Dominik Szoboszlai,0.026522526517510414,0.764000015258789,0.4779999923706055,81,Left Foot,Open Play,Saved Shot,Player ID 1791,Liverpool,0,1,Central Penalty Area
