team,source,target,avg_source_x,avg_source_y,avg_target_x,avg_target_y,pass_count,line_width
Barcelona,Alejandro Balde,Fermín López,48.17,59.6,53.07,58.54,9,2.0
Barcelona,Alejandro Balde,Pau Cubarsí,51.85,59.81,36.59,51.46,13,3.5
Barcelona,Alejandro Balde,Pedri,51.3,55.91,49.21,42.62,13,3.5
Barcelona,Alejandro Balde,Raphinha,54.16,60.89,61.34,62.53,10,3.5
Barcelona,Andreas Christensen,Gavi,36.05,24.05,39.69,20.97,6,2.0
Barcelona,Andreas Christensen,Pedri,36.66,21.45,45.77,23.71,9,2.0
Barcelona,Eric García,Fermín López,44.4,10.01,55.98,13.82,7,2.0
Barcelona,Eric García,Gavi,35.61,8.77,36.45,17.81,14,3.5
Barcelona,Eric García,Lamine Yamal,55.84,9.94,64.31,8.3,9,2.0
Barcelona,Eric García,Pedri,42.05,7.6,43.19,23.57,10,3.5
Barcelona,Eric García,Ronald Araújo,42.12,7.35,37.63,23.62,16,5.0
Barcelona,Fermín López,Eric García,61.39,13.57,53.74,12.52,6,2.0
Barcelona,Fermín López,Lamine Yamal,71.14,25.29,74.62,25.81,7,2.0
Barcelona,Fermín López,Pedri,66.55,46.55,62.44,43.2,7,2.0
Barcelona,Gavi,Alejandro Balde,44.56,43.01,49.94,59.45,6,2.0
Barcelona,Gavi,Andreas Christensen,45.9,19.73,41.95,21.58,8,2.0
Barcelona,Gavi,Eric García,43.07,20.17,42.01,10.15,9,2.0
Barcelona,Gavi,Pau Cubarsí,48.55,47.12,41.9,43.6,5,2.0
Barcelona,Gavi,Pedri,42.92,29.29,47.7,31.17,16,5.0
Barcelona,Gavi,Ronald Araújo,45.8,26.66,39.35,22.68,17,5.0
Barcelona,Iñaki Peña,Pau Cubarsí,13.22,35.96,21.6,50.2,9,2.0
Barcelona,Iñaki Peña,Pedri,13.15,34.33,25.41,33.82,5,2.0
Barcelona,Iñaki Peña,Ronald Araújo,12.2,35.57,29.71,23.66,13,3.5
Barcelona,Lamine Yamal,Eric García,60.15,7.47,53.82,8.57,11,3.5
Barcelona,Lamine Yamal,Gavi,66.01,10.94,57.54,16.77,6,2.0
Barcelona,Lamine Yamal,Pedri,68.76,28.37,66.86,35.34,7,2.0
Barcelona,Pau Cubarsí,Alejandro Balde,27.72,52.46,38.48,61.31,6,2.0
Barcelona,Pau Cubarsí,Gavi,38.45,47.48,43.03,38.67,13,3.5
Barcelona,Pau Cubarsí,Iñaki Peña,25.89,57.98,18.1,39.55,5,2.0
Barcelona,Pau Cubarsí,Pedri,27.33,49.86,39.48,42.16,7,2.0
Barcelona,Pau Cubarsí,Ronald Araújo,33.48,43.57,36.8,17.86,6,2.0
Barcelona,Pedri,Alejandro Balde,52.2,39.58,56.16,57.88,21,6.5
Barcelona,Pedri,Andreas Christensen,54.64,23.02,41.62,25.24,5,2.0
Barcelona,Pedri,Eric García,43.73,25.4,40.37,11.05,16,5.0
Barcelona,Pedri,Fermín López,50.59,35.6,63.17,34.81,11,3.5
Barcelona,Pedri,Gavi,50.96,35.69,48.7,26.87,17,5.0
Barcelona,Pedri,Lamine Yamal,64.67,29.96,65.13,18.17,8,2.0
Barcelona,Pedri,Raphinha,39.1,38.07,54.52,43.25,5,2.0
Barcelona,Pedri,Ronald Araújo,47.57,36.42,40.9,23.63,11,3.5
Barcelona,Raphinha,Alejandro Balde,59.21,61.74,50.58,59.85,8,2.0
Barcelona,Raphinha,Pedri,76.4,41.14,67.57,34.28,6,2.0
Barcelona,Ronald Araújo,Eric García,33.57,21.0,39.02,7.85,18,5.0
Barcelona,Ronald Araújo,Gavi,36.45,23.97,42.59,30.02,12,3.5
Barcelona,Ronald Araújo,Iñaki Peña,32.72,26.51,15.39,32.54,5,2.0
Barcelona,Ronald Araújo,Pedri,36.48,22.18,47.19,28.27,19,5.0
