player,team,avg_x,avg_y,total_passes,avg_pass_distance,min_minute,max_minute,minutes_played,node_size
Aitor Paredes,Athletic Club,35.16,43.04,13,23.4,7,75,68,394.7368421052631
Alejandro Balde,Barcelona,50.92,58.04,62,13.26,1,77,76,781.578947368421
Alex Berenguer,Athletic Club,64.74,16.62,13,15.57,0,86,86,394.7368421052631
Andreas Christensen,Barcelona,34.1,21.84,29,13.03,63,85,22,521.0526315789474
Beñat Prados,Athletic Club,60.42,22.52,7,15.43,62,86,24,347.36842105263156
Dani Olmo,Barcelona,58.65,22.15,15,11.26,64,89,25,410.5263157894737
Dani Vivian,Athletic Club,38.35,29.72,5,17.48,62,78,16,331.57894736842104
Eric García,Barcelona,42.81,8.69,81,14.99,1,89,88,931.578947368421
Fermín López,Barcelona,58.9,37.52,42,13.71,11,77,66,623.6842105263158
Frenkie de Jong,Barcelona,39.81,39.67,8,15.15,80,85,5,355.2631578947368
Gavi,Barcelona,43.95,28.37,95,13.61,1,84,83,1042.1052631578948
Gerard Martín,Barcelona,19.42,61.47,2,10.27,83,83,0,307.89473684210526
Iñaki Peña,Barcelona,11.58,34.37,41,18.6,0,89,89,615.7894736842105
Lamine Yamal,Barcelona,63.6,15.59,39,13.19,11,89,78,600.0
Maroan Sannadi,Athletic Club,59.83,23.25,13,16.21,0,82,82,394.7368421052631
Mikel Jauregizar,Athletic Club,54.11,44.66,20,19.22,1,89,88,450.0
Nico Williams,Athletic Club,65.21,49.52,12,15.71,0,60,60,386.8421052631579
Oihan Sancet,Athletic Club,61.32,39.69,6,12.34,65,86,21,339.4736842105263
Pau Cubarsí,Barcelona,32.07,48.73,47,17.34,1,85,84,663.1578947368421
Pedri,Barcelona,50.11,33.21,115,16.51,0,79,79,1200.0
Raphinha,Barcelona,65.14,52.5,24,13.24,5,62,57,481.57894736842104
Robert Lewandowski,Barcelona,54.36,34.83,7,8.08,21,67,46,347.36842105263156
Ronald Araújo,Barcelona,36.56,23.01,80,14.94,0,62,62,923.6842105263158
Unai Gómez,Athletic Club,55.85,42.24,12,15.18,0,55,55,386.8421052631579
Unai Núñez,Athletic Club,39.98,21.37,12,19.49,1,58,57,386.8421052631579
Unai Simón,Athletic Club,14.4,33.28,14,40.41,0,82,82,402.63157894736844
Yuri Berchiche,Athletic Club,45.54,59.11,26,17.47,0,84,84,497.36842105263156
Íñigo Lekue,Athletic Club,80.22,18.29,1,19.34,89,89,0,300.0
Íñigo Ruíz de Galarreta,Athletic Club,55.51,25.97,15,25.73,3,60,57,410.5263157894737
Óscar De Marcos,Athletic Club,56.45,9.56,23,19.61,0,86,86,473.6842105263158
