player,team,field_x,field_y,minute,second,pass_distance
Unai Gómez,Athletic Club,52.5,34.0,0,0.0,28.481313189528322
Unai Simón,Athletic Club,24.044999999999998,32.776,0,3.0,52.158666739095246
Óscar De Marcos,Athletic Club,81.06,0.0,0,21.0,4.272826230962354
Alex Berenguer,Athletic Club,85.26,4.42,0,22.0,14.743083123960194
Óscar De Marcos,Athletic Club,102.06,1.904,0,24.0,48.04816088051654
Unai Gómez,Athletic Club,87.46499999999999,59.296,0,29.0,13.801597733595909
Yuri Berchiche,Athletic Club,72.975,56.099999999999994,0,32.0,14.383355693300507
Nico Williams,Athletic Club,79.59,39.916000000000004,0,34.0,6.191562323032858
Maroan Sannadi,Athletic Club,80.42999999999999,32.368,0,35.0,4.735441795651174
Iñaki Peña,Barcelona,4.2,38.48800000000001,0,53.0,14.63338867111785
Ronald Araújo,Barcelona,28.35,24.14,0,57.0,12.121312800187937
Pedri,Barcelona,39.795,31.144,0,58.0,9.225739861929773
Ronald Araújo,Barcelona,35.910000000000004,24.956000000000003,1,2.0,8.166762883786934
Pedri,Barcelona,40.214999999999996,31.756,1,3.0,20.139260785838196
Eric García,Barcelona,38.43,11.696,1,5.0,17.480450909516037
Unai Simón,Athletic Club,16.169999999999998,35.292,1,16.0,14.019162457151282
Mikel Jauregizar,Athletic Club,27.825000000000003,32.164,1,20.0,10.506430459485278
Unai Núñez,Athletic Club,22.994999999999997,22.576,1,22.0,22.68289584687105
Óscar De Marcos,Athletic Club,32.025,1.7680000000000002,1,24.0,18.08144474316143
Alejandro Balde,Barcelona,47.25,57.528,1,28.0,12.357852402420088
Ronald Araújo,Barcelona,42.63,45.696000000000005,1,30.0,23.163735126270122
Iñaki Peña,Barcelona,22.365,34.408,1,34.0,16.928793932232736
Pau Cubarsí,Barcelona,25.724999999999998,50.93200000000001,1,36.0,11.748735421312386
Iñaki Peña,Barcelona,24.150000000000002,38.964,1,39.0,9.52061258533294
Ronald Araújo,Barcelona,36.75,27.88,1,43.0,6.911934316817542
Gavi,Barcelona,41.580000000000005,39.711999999999996,1,47.0,21.882171395910408
Pedri,Barcelona,60.16499999999999,44.812000000000005,2,7.0,14.20448393993952
Pau Cubarsí,Barcelona,49.980000000000004,54.467999999999996,2,9.0,12.125236657484262
Alejandro Balde,Barcelona,59.010000000000005,62.56,2,11.0,23.206794888566588
Pau Cubarsí,Barcelona,36.12,52.564,2,13.0,29.487940060302616
Ronald Araújo,Barcelona,31.605,22.711999999999996,2,16.0,20.27089147028319
Eric García,Barcelona,39.9,3.944,2,19.0,7.666916003191893
Eric García,Barcelona,36.54,0.0,2,32.0,17.840518181936307
Ronald Araújo,Barcelona,26.145,14.552,2,37.0,16.52384607166261
Pedri,Barcelona,40.214999999999996,17.612000000000002,2,42.0,15.493580896616507
Eric García,Barcelona,38.324999999999996,4.148,2,44.0,16.551000000000002
Gavi,Barcelona,37.48500000000001,19.72,2,47.0,15.400074805013123
Alejandro Balde,Barcelona,63.315,60.792,3,1.0,16.04287159457433
Pau Cubarsí,Barcelona,47.46,58.344,3,3.0,18.0440164320475
Gavi,Barcelona,50.714999999999996,40.596,3,6.0,12.471597171172583
