player,team,avg_x,avg_y,total_passes,node_size
Aitor Paredes,Athletic Club,34.4,42.4,14,402.63157894736844
Alejandro Balde,Barcelona,50.9,58.0,62,781.578947368421
Alex Berenguer,Athletic Club,65.8,18.2,15,410.5263157894737
Andreas Christensen,Barcelona,33.1,21.9,30,528.9473684210526
Beñat Prados,Athletic Club,60.4,22.5,7,347.36842105263156
Dani Olmo,Barcelona,58.6,22.1,15,410.5263157894737
Dani Vivian,Athletic Club,38.3,29.7,5,331.57894736842104
Eric García,Barcelona,42.8,8.7,81,931.578947368421
Fermín López,Barcelona,58.9,37.5,42,623.6842105263158
Frenkie de Jong,Barcelona,39.8,39.7,8,355.2631578947368
Gavi,Barcelona,44.1,28.1,96,1050.0
Gerard Martín,Barcelona,19.4,61.5,2,307.89473684210526
Iñaki Peña,Barcelona,11.6,34.4,41,615.7894736842105
Lamine Yamal,Barcelona,63.6,15.6,39,600.0
Maroan Sannadi,Athletic Club,59.8,23.3,13,394.7368421052631
Mikel Jauregizar,Athletic Club,54.1,44.7,20,450.0
Nico Williams,Athletic Club,64.6,50.8,13,394.7368421052631
Oihan Sancet,Athletic Club,64.8,42.9,7,347.36842105263156
Pau Cubarsí,Barcelona,32.1,48.7,47,663.1578947368421
Pedri,Barcelona,50.1,33.2,115,1200.0
Raphinha,Barcelona,65.1,52.5,24,481.57894736842104
Robert Lewandowski,Barcelona,54.4,34.8,7,347.36842105263156
Ronald Araújo,Barcelona,36.6,23.0,80,923.6842105263158
Unai Gómez,Athletic Club,55.9,42.2,12,386.8421052631579
Unai Núñez,Athletic Club,40.0,21.4,12,386.8421052631579
Unai Simón,Athletic Club,14.4,33.3,14,402.63157894736844
Yuri Berchiche,Athletic Club,46.1,59.6,28,513.1578947368421
Íñigo Lekue,Athletic Club,80.2,18.3,1,300.0
Íñigo Ruíz de Galarreta,Athletic Club,55.5,26.0,15,410.5263157894737
Óscar De Marcos,Athletic Club,56.4,9.6,23,473.6842105263158
