team,source,target,avg_source_x,avg_source_y,avg_target_x,avg_target_y,pass_count,line_width
Barcelona,Alejandro Balde,Andreas Christensen,65.3,60.6,55.4,50.9,2,0.0
Barcelona,Alejandro Balde,Dani Olmo,35.2,54.9,60.3,64.8,1,0.0
Barcelona,Alejandro Balde,Eric García,35.7,47.3,28.1,27.1,1,0.0
Barcelona,Alejandro Balde,Frenkie de Jong,59.9,61.6,60.0,49.8,7,3.0
Barcelona,Alejandro Balde,Pau Cubarsí,52.4,60.2,38.0,54.0,5,3.0
Barcelona,Alejandro Balde,Pedri,62.7,59.9,63.1,51.4,11,5.0
Barcelona,Alejandro Balde,Raphinha,61.1,58.7,60.6,56.7,2,0.0
Barcelona,Alejandro Balde,Ronald Araújo,47.9,60.6,47.6,28.2,1,0.0
Barcelona,Alejandro Balde,Wojciech Szczesny,30.2,41.4,9.1,32.2,1,0.0
Barcelona,Andreas Christensen,Alejandro Balde,49.1,50.7,61.1,63.0,1,0.0
Barcelona,Andreas Christensen,Dani Olmo,58.4,44.8,67.9,31.8,3,1.5
Barcelona,Andreas Christensen,Eric García,48.6,34.9,51.3,19.0,1,0.0
Barcelona,Andreas Christensen,Frenkie de Jong,46.4,44.0,54.5,35.4,9,5.0
Barcelona,Andreas Christensen,Gerard Martín,48.2,46.9,56.7,61.4,10,5.0
Barcelona,Andreas Christensen,Lamine Yamal,68.2,47.1,74.0,14.1,1,0.0
Barcelona,Andreas Christensen,Pau Cubarsí,40.0,17.1,46.3,44.2,3,1.5
Barcelona,Andreas Christensen,Pedri,50.2,44.2,63.5,44.5,18,10.0
Barcelona,Andreas Christensen,Raphinha,61.8,56.0,72.3,43.2,1,0.0
Barcelona,Andreas Christensen,Robert Lewandowski,37.7,26.7,41.7,20.2,1,0.0
Barcelona,Andreas Christensen,Ronald Araújo,47.5,44.7,52.2,23.0,15,7.0
Barcelona,Andreas Christensen,Wojciech Szczesny,39.8,39.1,19.1,27.0,1,0.0
Barcelona,Dani Olmo,Alejandro Balde,60.3,64.8,55.1,62.8,1,0.0
Barcelona,Dani Olmo,Andreas Christensen,63.9,33.6,58.5,42.3,4,1.5
Barcelona,Dani Olmo,Dani Olmo,65.5,16.9,72.0,18.0,1,0.0
Barcelona,Dani Olmo,Eric García,55.9,13.8,51.6,8.1,6,3.0
Barcelona,Dani Olmo,Frenkie de Jong,70.2,20.6,67.1,21.8,5,3.0
Barcelona,Dani Olmo,Gerard Martín,58.6,49.2,54.6,55.0,1,0.0
Barcelona,Dani Olmo,Lamine Yamal,64.6,10.9,69.3,4.2,4,1.5
Barcelona,Dani Olmo,Pedri,69.9,36.0,74.3,37.4,7,3.0
Barcelona,Dani Olmo,Raphinha,55.1,52.8,62.8,63.6,2,0.0
Barcelona,Dani Olmo,Ronald Araújo,66.5,24.4,55.7,26.2,4,1.5
Barcelona,Eric García,Andreas Christensen,48.4,6.7,41.1,15.8,4,1.5
Barcelona,Eric García,Dani Olmo,43.9,9.3,56.4,4.8,2,0.0
Barcelona,Eric García,Frenkie de Jong,66.9,9.9,64.5,21.5,9,5.0
