player,team,field_x,field_y,minute,second,pass_distance
Dani Olmo,Barcelona,52.5,34.0,0,0.0,12.6784103498822
Pedri,Barcelona,47.145,45.492,0,1.0,11.540866561918133
Frenkie de Jong,Barcelona,48.19499999999999,35.428000000000004,0,8.0,16.069969010548842
Ronald Araújo,Barcelona,46.62,19.652,0,11.0,54.10045105172415
Andreas Christensen,Barcelona,11.759999999999998,61.2,0,18.0,8.020823461465783
Gerard Martín,Barcelona,17.955000000000002,65.484,0,19.0,14.393338598115443
Marash Kumbulla,Espanyol,26.355,34.68,0,27.0,17.751383072876322
Joan García,Espanyol,9.345,31.348000000000003,0,32.0,47.48357206445194
Carlos Romero,Espanyol,40.215,62.56,0,41.0,13.45512601204463
Pol Lozano,Espanyol,36.96,45.832,0,44.0,31.07106127894572
Gerard Martín,Barcelona,39.69,68.0,1,14.0,18.843921274511843
Andreas Christensen,Barcelona,28.77,43.724,1,22.0,6.653651704139612
Frenkie de Jong,Barcelona,34.65,39.916,1,25.0,21.914998722336264
Ronald Araújo,Barcelona,38.955,18.428,1,29.0,14.745305185041104
Eric García,Barcelona,40.845,6.256,1,32.0,15.880973553280665
Ronald Araújo,Barcelona,28.455,18.632,1,34.0,17.822592516241848
Pedri,Barcelona,45.675,44.064,1,39.0,16.55513515499043
Raphinha,Barcelona,56.28,46.716,1,41.0,11.404862515611484
Andreas Christensen,Barcelona,46.51499999999999,43.112,1,44.0,18.53274820419249
Pedri,Barcelona,56.385000000000005,57.664,1,47.0,10.524634150411122
Andreas Christensen,Barcelona,55.96499999999999,42.364,1,50.0,15.818223699265348
Ronald Araújo,Barcelona,57.120000000000005,26.588,1,52.0,17.254336962051003
Robert Lewandowski,Barcelona,83.37,16.116,1,57.0,4.965763184043315
Lamine Yamal,Barcelona,78.96,11.355999999999998,1,59.0,7.830402288516205
Eric García,Barcelona,71.4,13.396,2,0.0,8.96322174220854
Lamine Yamal,Barcelona,93.87,2.108,2,9.0,9.127111755643185
Robert Lewandowski,Barcelona,94.185,11.22,2,11.0,4.57800928352052
Eric García,Barcelona,67.62,0.0,2,30.0,21.91570213340198
Ronald Araújo,Barcelona,48.72,7.684,2,30.0,11.9753673847611
Frenkie de Jong,Barcelona,50.295,27.404,2,35.0,10.304383581757822
Pedri,Barcelona,60.37499999999999,26.452,2,36.0,9.029818658201275
Frenkie de Jong,Barcelona,56.595000000000006,36.04,2,39.0,11.111770380996902
Raphinha,Barcelona,66.57000000000001,40.936,2,40.0,12.324982109520484
Andreas Christensen,Barcelona,55.650000000000006,44.94799999999999,2,41.0,7.192242765646885
