player,team,avg_x,avg_y,total_passes,node_size
Alejandro Balde,Barcelona,57.2,59.2,31,2476.0009284612315
Andreas Christensen,Barcelona,49.4,43.1,68,2940.47293315678
Antoniu Roca,Espanyol,78.1,6.0,4,1353.8881785975514
Carlos Romero,Espanyol,48.4,56.7,28,2416.494932454899
Dani Olmo,Barcelona,65.5,26.3,43,2668.5028833113706
Edu Expósito,Espanyol,68.8,38.2,20,2221.381787553103
Eric García,Barcelona,54.8,11.2,83,3059.3822517837198
Fermín López,Barcelona,72.2,18.9,6,1557.2821318568804
Fernando Calero,Espanyol,29.4,43.7,7,1638.0004642306155
Frenkie de Jong,Barcelona,56.0,34.4,90,3107.7672326867023
Gavi,Barcelona,64.0,21.9,8,1709.1990792771385
Gerard Martín,Barcelona,49.5,61.3,40,2625.8153013895017
Héctor Fort,Barcelona,41.6,7.9,13,1976.282363972188
Javi Puado,Espanyol,39.6,48.3,7,1638.0004642306155
Joan García,Espanyol,12.1,32.9,23,2302.1001199268385
Jofre Carreras,Espanyol,62.2,11.3,2,1045.0994235809153
Lamine Yamal,Barcelona,71.1,8.2,55,2814.282828202804
Leandro Cabrera,Espanyol,29.9,39.5,14,2017.9878342937748
Marash Kumbulla,Espanyol,31.9,21.0,22,2276.373277460557
Omar El Hilali,Espanyol,52.8,4.6,29,2436.988066409083
Pau Cubarsí,Barcelona,39.7,46.7,31,2476.0009284612315
Pedri,Barcelona,63.0,39.0,105,3200.0
Pere Milla,Espanyol,58.9,30.0,12,1931.4848687145145
Pol Lozano,Espanyol,37.2,44.6,7,1638.0004642306155
Raphinha,Barcelona,71.2,48.7,33,2512.647879246588
Robert Lewandowski,Barcelona,69.9,37.9,11,1883.099887811531
Roberto Fernández,Espanyol,59.4,36.9,9,1772.8884107128592
Ronald Araújo,Barcelona,49.7,22.8,54,2803.390829793614
Urko González,Espanyol,53.3,18.0,16,2093.64764713128
Walid Cheddira,Espanyol,64.8,26.8,1,800.0
Wojciech Szczesny,Barcelona,12.0,33.8,23,2302.1001199268385
