player_name,team,minute,shot_location_x,shot_location_y,is_goal,shot_result,goal_mouth_y,goal_mouth_z,distance_to_goal,data_source,shot_xg,whoscored_matched,understat_matched,league_id,season_id,game_id,date,shot_id,team_id,player_id,assist_player_id,assist_player_name,shot_minute,shot_body_part,shot_situation,is_on_target,is_blocked,shot_distance_to_goal,shot_zone,is_assisted,match_id,field_x,field_y
Urko González,Espanyol,3.0,0.8590000000000001,0.46399999999999997,,Goal,58.2,4.2,14.55,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Javi Puado,Espanyol,11.0,0.898,0.415,,Goal,39.8,19.4,13.28,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Robert Lewandowski,Barcelona,12.0,0.855,0.45899999999999996,,Goal,59.8,15.3,15.07,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Javi Puado,Espanyol,15.0,0.853,0.48100000000000004,,Goal,46.3,10.8,14.82,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Raphinha,Barcelona,22.0,0.8009999999999999,0.507,,Goal,54.3,4.4,19.91,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Pedri,Barcelona,30.0,0.7559999999999999,0.32899999999999996,,Goal,61.5,8.3,29.8,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Lamine Yamal,Barcelona,35.0,0.821,0.33399999999999996,,Goal,60.3,48.6,24.41,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Lamine Yamal,Barcelona,38.0,0.899,0.321,,Goal,52.8,19.0,20.55,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Robert Lewandowski,Barcelona,43.0,0.9740000000000001,0.397,,Goal,70.3,11.1,10.62,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Lamine Yamal,Barcelona,45.0,0.7929999999999999,0.591,,Goal,48.3,19.0,22.61,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Frenkie de Jong,Barcelona,49.0,0.899,0.564,,Goal,47.5,19.0,11.96,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Lamine Yamal,Barcelona,52.0,0.8,0.376,True,Goal,53.7,25.9,23.53,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Dani Olmo,Barcelona,53.0,0.821,0.505,,Goal,49.5,19.0,17.91,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Javi Puado,Espanyol,60.0,0.774,0.6709999999999999,,Goal,25.0,73.6,28.34,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Marash Kumbulla,Espanyol,72.0,0.9109999999999999,0.564,,Goal,46.7,19.0,10.96,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Carlos Romero,Espanyol,72.0,0.78,0.607,,Goal,48.6,19.0,24.46,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Leandro Cabrera,Espanyol,73.0,0.88,0.413,,Goal,49.1,19.0,14.82,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Jofre Carreras,Espanyol,75.0,0.858,0.546,,Goal,46.2,90.3,14.93,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Lamine Yamal,Barcelona,85.0,0.8740000000000001,0.39299999999999996,,Goal,48.4,3.2,16.53,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Walid Cheddira,Espanyol,88.0,0.898,0.7090000000000001,,Goal,36.6,65.3,23.26,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Fermín López,Barcelona,95.0,0.8390000000000001,0.44,True,Goal,53.1,5.7,17.18,whoscored_only,,True,False,,,,,,,,,,,,,,,,,,,,
Unknown,,,0.8209999847412109,0.505,0,Blocked Shot,,,,understat_only,0.0786963105201721,False,True,4.0,2024.0,27332.0,2025-05-15 19:30:00,634169.0,148.0,8292.0,727435.0,Raphinha,53.0,Right Foot,Open Play,0.0,1.0,17.906983403869763,Penalty_Area_Edge,1.0,27332.0,86.20499839782715,34.34
Unknown,,,0.8390000152587891,0.44,1,Goal,,,,understat_only,0.0857515558600425,False,True,4.0,2024.0,27332.0,2025-05-15 19:30:00,634177.0,148.0,11822.0,727433.0,Lamine Yamal,95.0,Right Foot,Open Play,1.0,0.0,17.181674856273514,Penalty_Box,1.0,27332.0,88.09500160217286,29.92
Unknown,,,0.91,0.57,0,Blocked Shot,,,,understat_only,0.0771745070815086,False,True,4.0,2024.0,27332.0,2025-05-15 19:30:00,634167.0,148.0,7781.0,727433.0,Lamine Yamal,49.0,,From Corner,0.0,1.0,11.401754250991374,Six_Yard_Box,1.0,27332.0,95.55,38.76
Unknown,,,0.8209999847412109,0.3340000152587891,0,Missed Shot,,,,understat_only,0.0557638518512249,False,True,4.0,2024.0,27332.0,2025-05-15 19:30:00,634163.0,148.0,11527.0,727432.0,Pedri,35.0,Left Foot,Open Play,0.0,0.0,24.412496881050284,Penalty_Area_Edge,1.0,27332.0,86.20499839782715,22.71200103759766
Unknown,,,0.899000015258789,0.3209999847412109,0,Blocked Shot,,,,understat_only,0.0636377558112144,False,True,4.0,2024.0,27332.0,2025-05-15 19:30:00,634164.0,148.0,11527.0,727434.0,Dani Olmo,38.0,Left Foot,Open Play,0.0,1.0,20.55285926103022,Six_Yard_Box,1.0,27332.0,94.39500160217284,21.827998962402344
Unknown,,,0.7930000305175782,0.590999984741211,0,Blocked Shot,,,,understat_only,0.0173595566302537,False,True,4.0,2024.0,27332.0,2025-05-15 19:30:00,634166.0,148.0,11527.0,,,45.0,Left Foot,From Corner,0.0,1.0,22.611940338817497,Penalty_Area_Edge,0.0,27332.0,83.2650032043457,40.18799896240235
