league_id,season_id,game_id,date,shot_id,team_id,player_id,assist_player_id,assist_player_name,shot_xg,shot_location_x,shot_location_y,shot_minute,shot_body_part,shot_situation,shot_result,is_goal,is_on_target,is_blocked,shot_distance_to_goal,shot_zone,is_assisted,match_id,data_source,field_x,field_y
4,2024,27324,2025-05-11 14:15:00,633583,148,8292,726732,Raphinha,0.03665691614151001,0.779000015258789,0.6229999923706054,53,Right Foot,Open Play,Missed Shot,0,0,0,25.292289611418038,Penalty_Area_Edge,1,27324,understat,81.79500160217285,42.36399948120117
4,2024,27324,2025-05-11 14:15:00,633572,148,8045,726733,Ferrán Torres,0.48532959818840027,0.960999984741211,0.51,18,,From Corner,Goal,1,1,0,4.026165905903256,Six_Yard_Box,1,27324,understat,100.90499839782716,34.68
4,2024,27324,2025-05-11 14:15:00,633573,148,6441,,,0.57903653383255,0.9540000152587891,0.48700000762939455,21,Right Foot,Open Play,Missed Shot,0,0,0,4.780165685232507,Six_Yard_Box,0,27324,understat,100.17000160217286,33.11600051879883
4,2024,27324,2025-05-11 14:15:00,633580,148,6441,726732,Raphinha,0.1362212747335434,0.914000015258789,0.57,48,Right Foot,Open Play,Blocked Shot,0,0,1,11.088731837089629,Six_Yard_Box,1,27324,understat,95.97000160217284,38.76
4,2024,27324,2025-05-11 14:15:00,633585,148,6441,726729,Pedri,0.05369652062654495,0.779000015258789,0.5,65,Right Foot,Open Play,Blocked Shot,0,0,1,22.099998474121097,Penalty_Area_Edge,1,27324,understat,81.79500160217285,34.0
4,2024,27324,2025-05-11 14:15:00,633591,148,6441,,,0.14693664014339447,0.925,0.47400001525878904,78,Right Foot,Open Play,Blocked Shot,0,0,1,7.937883349195299,Six_Yard_Box,0,27324,understat,97.125,32.232001037597655
4,2024,27324,2025-05-11 14:15:00,633595,148,9804,726737,Fermín López,0.10596311092376709,0.8580000305175781,0.5520000076293945,90,Right Foot,Open Play,Blocked Shot,0,0,1,15.122166553264064,Penalty_Box,1,27324,understat,90.0900032043457,37.53600051879883
4,2024,27324,2025-05-11 14:15:00,633571,148,12821,,,0.01236033160239458,0.725999984741211,0.6220000076293946,18,Left Foot,From Corner,Saved Shot,0,1,0,29.99333429670482,Penalty_Area_Edge,0,27324,understat,76.22999839782715,42.29600051879883
4,2024,27324,2025-05-11 14:15:00,633570,148,2484,726732,Raphinha,0.0243989210575819,0.9030000305175782,0.62,17,,From Corner,Missed Shot,0,0,0,15.430163343137613,Six_Yard_Box,1,27324,understat,94.8150032043457,42.16
4,2024,27324,2025-05-11 14:15:00,633569,148,11527,,,0.015419749543070793,0.745999984741211,0.47,16,Left Foot,Open Play,Saved Shot,0,1,0,25.576553276676094,Penalty_Area_Edge,0,27324,understat,78.32999839782715,31.959999999999997
4,2024,27324,2025-05-11 14:15:00,633574,148,11527,,,0.029360461980104446,0.815,0.32299999237060545,23,Left Foot,Open Play,Saved Shot,0,1,0,25.603515911063024,Penalty_Area_Edge,0,27324,understat,85.57499999999999,21.96399948120117
4,2024,27324,2025-05-11 14:15:00,633575,148,11527,726733,Ferrán Torres,0.05153337121009827,0.879000015258789,0.3060000038146973,31,Left Foot,Open Play,Goal,1,1,0,22.864162968993803,Penalty_Box,1,27324,understat,92.29500160217285,20.808000259399414
4,2024,27324,2025-05-11 14:15:00,633581,148,11527,,,0.12860894203186035,0.87,0.5129999923706055,48,Right Foot,Open Play,Blocked Shot,0,0,1,13.064838231541867,Penalty_Box,0,27324,understat,91.35,34.88399948120117
4,2024,27324,2025-05-11 14:15:00,633582,148,11527,726729,Pedri,0.03972427919507027,0.7909999847412109,0.36200000762939455,48,Left Foot,Open Play,Missed Shot,0,0,0,25.044960425694672,Penalty_Area_Edge,1,27324,understat,83.05499839782715,24.616000518798828
4,2024,27324,2025-05-11 14:15:00,633587,148,11527,726731,Dani Olmo,0.02484811469912529,0.774000015258789,0.47299999237060547,72,Left Foot,Open Play,Saved Shot,0,1,0,22.760710339313874,Penalty_Area_Edge,1,27324,understat,81.27000160217285,32.163999481201174
4,2024,27324,2025-05-11 14:15:00,633590,148,11527,726738,Hector Fort,0.0317348875105381,0.9059999847412109,0.25799999237060545,78,Left Foot,Open Play,Saved Shot,0,1,0,25.961511235149544,Six_Yard_Box,1,27324,understat,95.12999839782715,17.54399948120117
4,2024,27324,2025-05-11 14:15:00,633577,148,12005,,,0.07495546340942383,0.8919999694824219,0.555,37,Left Foot,Set Piece,Missed Shot,0,0,0,12.119821199917848,Six_Yard_Box,0,27324,understat,93.6599967956543,37.74
