team,source,target,avg_source_x,avg_source_y,avg_target_x,avg_target_y,pass_count,line_width
Barcelona,Alejandro Balde,Andreas Christensen,28.8,52.8,29.7,40.3,1,0.0
Barcelona,Alejandro Balde,Dani Olmo,50.7,64.7,66.7,31.7,1,0.0
Barcelona,Alejandro Balde,Fermín López,62.3,60.6,70.6,47.9,1,0.0
Barcelona,Alejandro Balde,Ferran Torres,41.9,64.4,62.5,55.9,2,0.0
Barcelona,Alejandro Balde,Frenkie de Jong,72.1,55.4,66.4,48.2,4,1.5
Barcelona,Alejandro Balde,Iñigo Martínez,64.6,64.6,50.1,60.0,2,0.0
Barcelona,Alejandro Balde,Pedri,50.0,58.2,48.2,52.5,4,1.5
Barcelona,Alejandro Balde,Raphinha,95.0,68.0,97.4,63.4,1,0.0
Barcelona,Andreas Christensen,Frenkie de Jong,33.5,28.8,42.7,47.1,1,0.0
Barcelona,Andreas Christensen,Héctor Fort,29.7,40.3,22.9,19.0,1,0.0
Barcelona,Andreas Christensen,Iñigo Martínez,56.7,21.1,61.7,49.0,1,0.0
Barcelona,Andreas Christensen,Pedri,28.5,26.0,36.8,38.6,1,0.0
Barcelona,Dani Olmo,Eric García,64.3,14.3,52.7,8.3,3,1.5
Barcelona,Dani Olmo,Ferran Torres,104.4,67.7,101.0,46.0,1,0.0
Barcelona,Dani Olmo,Frenkie de Jong,58.2,30.9,54.5,32.0,4,1.5
Barcelona,Dani Olmo,Gerard Martín,35.8,19.4,28.7,53.4,1,0.0
Barcelona,Dani Olmo,Iñigo Martínez,66.2,44.5,51.4,52.0,1,0.0
Barcelona,Dani Olmo,Lamine Yamal,75.1,14.6,74.2,15.6,5,3.0
Barcelona,Dani Olmo,Pedri,78.4,34.2,70.6,34.2,3,1.5
Barcelona,Dani Olmo,Raphinha,65.3,42.4,83.2,56.6,1,0.0
Barcelona,Eric García,Dani Olmo,44.2,7.0,68.8,14.1,2,0.0
Barcelona,Eric García,Frenkie de Jong,61.2,4.7,64.5,23.5,3,1.5
Barcelona,Eric García,Iñigo Martínez,36.2,4.2,41.8,46.9,1,0.0
Barcelona,Eric García,Lamine Yamal,64.1,5.9,72.5,7.6,10,5.0
Barcelona,Eric García,Pedri,63.9,7.5,62.6,21.6,5,3.0
Barcelona,Eric García,Raphinha,63.4,13.2,69.7,25.4,4,1.5
Barcelona,Eric García,Wojciech Szczesny,45.3,4.8,22.8,25.6,1,0.0
Barcelona,Fermín López,Héctor Fort,77.0,13.6,58.8,4.4,1,0.0
Barcelona,Fermín López,Lamine Yamal,70.9,30.7,72.4,17.8,2,0.0
Barcelona,Ferran Torres,Alejandro Balde,56.3,59.1,60.6,62.4,2,0.0
Barcelona,Ferran Torres,Frenkie de Jong,50.1,39.2,52.5,38.2,5,3.0
Barcelona,Ferran Torres,Gerard Martín,55.4,51.9,52.5,63.4,1,0.0
Barcelona,Ferran Torres,Iñigo Martínez,48.1,55.4,9.1,55.4,1,0.0
Barcelona,Ferran Torres,Pedri,65.0,51.4,60.3,49.2,5,3.0
Barcelona,Ferran Torres,Raphinha,79.4,31.9,83.2,45.1,1,0.0
Barcelona,Frenkie de Jong,Alejandro Balde,62.3,51.7,57.2,64.8,1,0.0
Barcelona,Frenkie de Jong,Dani Olmo,61.2,33.0,68.4,26.5,6,3.0
Barcelona,Frenkie de Jong,Eric García,40.3,21.5,39.8,9.0,4,1.5
Barcelona,Frenkie de Jong,Frenkie de Jong,53.1,33.3,58.1,32.2,3,1.5
Barcelona,Frenkie de Jong,Gerard Martín,58.3,50.8,64.0,58.1,5,3.0
Barcelona,Frenkie de Jong,Héctor Fort,65.5,23.1,65.0,7.7,1,0.0
Barcelona,Frenkie de Jong,Iñigo Martínez,49.6,32.8,51.9,49.5,8,5.0
Barcelona,Frenkie de Jong,Lamine Yamal,58.6,24.1,64.4,11.2,2,0.0
Barcelona,Frenkie de Jong,Pau Cubarsí,48.2,29.3,39.2,22.9,4,1.5
Barcelona,Frenkie de Jong,Pedri,59.1,40.3,66.8,41.3,18,10.0
Barcelona,Frenkie de Jong,Raphinha,66.6,40.2,75.0,43.0,8,5.0
Barcelona,Gerard Martín,Frenkie de Jong,57.7,57.7,52.9,50.3,4,1.5
Barcelona,Gerard Martín,Iñigo Martínez,58.7,63.4,45.3,55.2,8,5.0
Barcelona,Gerard Martín,Lamine Yamal,77.6,43.0,76.9,28.0,1,0.0
Barcelona,Gerard Martín,Pedri,77.0,57.9,67.8,41.9,3,1.5
Barcelona,Gerard Martín,Raphinha,46.6,43.5,58.2,36.9,1,0.0
Barcelona,Héctor Fort,Andreas Christensen,65.0,7.7,56.7,21.1,1,0.0
Barcelona,Héctor Fort,Fermín López,69.1,10.0,77.0,13.6,1,0.0
