player,team,field_x,field_y,minute,second,pass_distance
Jude Bellingham,Real Madrid,52.395,33.864,0,0.0,24.712790716550003
Aurélien Tchouaméni,Real Madrid,29.084999999999997,24.956000000000003,0,3.0,12.229215019779483
Lucas Vázquez,Real Madrid,25.095,13.395999999999999,0,5.0,26.73547128815948
Lucas Vázquez,Real Madrid,37.695,9.248000000000001,1,17.0,6.27515744822391
Dani Ceballos,Real Madrid,38.535000000000004,9.86,1,18.0,8.308282674536292
Lucas Vázquez,Real Madrid,41.580000000000005,2.72,1,21.0,9.934405669188273
Dani Ceballos,Real Madrid,32.865,8.84,1,22.0,6.192077599642947
Arda Güler,Real Madrid,27.51,19.991999999999997,1,26.0,28.318962286778802
Thibaut Courtois,Real Madrid,3.4650000000000003,34.952,1,29.0,19.528486910152562
Raúl Asencio,Real Madrid,22.155,55.556000000000004,1,34.0,13.662477410777305
Jude Bellingham,Real Madrid,33.6,52.7,1,36.0,15.219892772289825
Raúl Asencio,Real Madrid,19.11,56.644,1,38.0,8.939608268822523
Arda Güler,Real Madrid,21.419999999999998,48.007999999999996,1,39.0,9.606358363084325
Raúl Asencio,Real Madrid,16.695,56.37200000000001,1,40.0,9.266962609183237
Arda Güler,Real Madrid,20.685,48.007999999999996,1,41.0,14.076391618593169
Jude Bellingham,Real Madrid,20.16,64.056,1,43.0,25.449361563701355
Eric García,Barcelona,90.19500000000001,0.0,1,59.0,8.957984650578501
Vinícius Júnior,Real Madrid,24.465,59.092000000000006,2,3.0,14.172922387425967
Kylian Mbappé,Real Madrid,36.330000000000005,51.34,2,3.0,10.373625210118204
Fran García,Real Madrid,78.75,68.0,2,28.0,4.816412046326599
Fran García,Real Madrid,68.46000000000001,64.872,2,38.0,15.263842897514381
Federico Valverde,Real Madrid,61.425,50.456,2,40.0,19.317192756712874
Dani Ceballos,Real Madrid,59.745,31.211999999999996,2,42.0,13.674474359184702
Ferran Torres,Barcelona,52.395,34.068,5,59.0,14.677584576489421
Frenkie de Jong,Barcelona,49.56,31.008000000000003,6,3.0,18.811130348812103
Iñigo Martínez,Barcelona,70.35000000000001,54.536,6,10.0,8.574245681108037
Vinícius Júnior,Real Madrid,79.38,50.93200000000001,6,45.0,6.287641529222212
Jude Bellingham,Real Madrid,80.01,56.78,6,49.0,10.18563817342831
Fran García,Real Madrid,71.295,64.6,6,50.0,7.470180787638275
Vinícius Júnior,Real Madrid,76.965,65.688,6,52.0,5.8846941296893345
Jude Bellingham,Real Madrid,63.735,51.272,6,56.0,18.42431027202918
Federico Valverde,Real Madrid,46.410000000000004,59.16,6,59.0,61.55532738114549
Gerard Martín,Barcelona,38.324999999999996,68.0,7,6.0,10.877885824000915
Iñigo Martínez,Barcelona,40.214999999999996,56.032000000000004,7,11.0,11.954084197461553
Frenkie de Jong,Barcelona,60.58500000000001,48.55200000000001,7,17.0,11.842649027983548
Raphinha,Barcelona,64.155,58.684,7,19.0,6.376846320870529
Frenkie de Jong,Barcelona,76.64999999999999,47.736000000000004,7,26.0,21.83528907525614
Gerard Martín,Barcelona,90.92999999999999,62.42399999999999,7,28.0,19.002599401134564
Frenkie de Jong,Barcelona,70.77000000000001,56.644,7,31.0,7.202667283722045
Pedri,Barcelona,72.44999999999999,49.64,7,32.0,7.082166405839371
Frenkie de Jong,Barcelona,65.52,49.232000000000006,7,33.0,24.0852676132112
Pau Cubarsí,Barcelona,61.004999999999995,23.323999999999998,7,36.0,14.603785262732396
Eric García,Barcelona,64.995,7.9559999999999995,7,38.0,8.327352520459298
Lamine Yamal,Barcelona,71.82000000000001,9.520000000000001,7,39.0,7.316236805899591
Raphinha,Barcelona,104.475,0.34,8,1.0,13.64462150446101
Pau Cubarsí,Barcelona,31.814999999999998,22.032,8,38.0,33.83214855725247
Wojciech Szczesny,Barcelona,27.195,41.548,8,51.0,13.220409827233038
Iñigo Martínez,Barcelona,38.115,51.06799999999999,8,53.0,14.403026904092078
Gerard Martín,Barcelona,42.735,63.784,8,55.0,16.706475421225147
Iñigo Martínez,Barcelona,30.659999999999997,49.572,8,58.0,20.979527544727976
