player,team,avg_x,avg_y,total_passes,node_size
Alejandro Balde,Barcelona,61.5,59.4,20,2078.1741701685396
Andreas Christensen,Barcelona,37.1,29.1,4,800.0
Arda Güler,Real Madrid,35.7,18.3,15,1835.9733485416202
Aurélien Tchouaméni,Real Madrid,26.7,21.1,19,2034.7186617990392
Brahim Díaz,Real Madrid,56.6,18.2,15,1835.9733485416202
Dani Ceballos,Real Madrid,33.8,22.2,12,1651.0370133691335
Dani Olmo,Barcelona,67.7,29.1,26,2302.010191781669
Eric García,Barcelona,59.5,7.8,34,2533.1467562789558
Federico Valverde,Real Madrid,34.1,37.5,32,2480.7398032641486
Fermín López,Barcelona,75.3,34.5,6,1099.6827812224972
Ferran Torres,Barcelona,62.3,44.8,19,2034.7186617990392
Fran García,Real Madrid,44.0,63.3,32,2480.7398032641486
Frenkie de Jong,Barcelona,56.5,36.2,68,3137.690596363464
Gerard Martín,Barcelona,60.4,58.7,24,2233.4639750564584
Héctor Fort,Barcelona,54.5,10.1,7,1218.6140176421004
Iñigo Martínez,Barcelona,45.0,53.3,54,2935.7123893745643
Jude Bellingham,Real Madrid,43.1,39.5,27,2334.4014430215366
Kylian Mbappé,Real Madrid,54.2,44.4,9,1417.3593308995196
Lamine Yamal,Barcelona,74.0,15.6,35,2558.237464634666
Lucas Vázquez,Real Madrid,42.4,9.3,31,2453.33267944114
Luka Modric,Real Madrid,52.9,24.1,32,2480.7398032641486
Pau Cubarsí,Barcelona,43.2,23.4,18,1989.0337123527338
Pedri,Barcelona,63.7,41.0,73,3200.0
Raphinha,Barcelona,73.8,40.0,32,2480.7398032641486
Raúl Asencio,Real Madrid,31.1,50.5,17,1940.878133735146
Thibaut Courtois,Real Madrid,6.1,34.0,13,1717.042112122017
Vinícius Júnior,Real Madrid,63.5,52.2,13,1717.042112122017
Wojciech Szczesny,Barcelona,14.9,34.1,23,2197.1054065881426
