minute,second,player,team,x,y,xg,outcome,body_part,situation,goal_mouth_y,goal_mouth_z,is_goal,is_blocked,zone,assist,source
71,16.0,Aitor Paredes,Athletic Club,91.9,44.9,0.05407855287194252,Missed Shot,,Set Piece,66.1,38.9,False,False,Attacking_Center,Alex Berenguer,merged
65,49.0,Beñat Prados,Athletic Club,92.9,51.5,0.08390319347381592,Missed Shot,,Open Play,36.5,23.6,False,False,Attacking_Center,Yuri,merged
8,36.0,Íñigo Ruíz de Galarreta,Athletic Club,74.1,47.8,0.021198870614171028,Missed Shot,Right Foot,Open Play,59.2,34.7,False,False,Attacking_Center,Nico Williams,merged
43,29.0,Maroan Sannadi,Athletic Club,88.0,46.4,0.3011261224746704,Missed Shot,Left Foot,Open Play,62.2,1.4,False,False,Attacking_Center,De Marcos,merged
82,36.0,Maroan Sannadi,Athletic Club,86.4,40.6,0.016274813562631607,Missed Shot,,Open Play,43.5,20.8,False,False,Attacking_Center,Alex Berenguer,merged
84,5.0,Mikel Jauregizar,Athletic Club,81.5,41.3,0.03613898158073425,Saved Shot,Right Foot,From Corner,48.6,26.6,False,False,Attacking_Center,,merged
7,51.0,Nico Williams,Athletic Club,82.1,71.6,0.025320691987872124,Missed Shot,Right Foot,Open Play,42.5,55.6,False,False,Attacking_Right,Inigo Ruiz de Galarreta,merged
55,42.0,Nico Williams,Athletic Club,89.5,45.0,0.08720783144235611,Missed Shot,Right Foot,Open Play,61.8,1.4,False,False,Attacking_Center,,merged
65,27.0,Lamine Yamal,Barcelona,85.4,54.6,0.03553362190723419,Blocked Shot,Left Foot,Open Play,54.5,88.9,False,True,Attacking_Center,Mikel Jauregizar,merged
14,54.0,Unai Gómez,Athletic Club,87.6,58.4,0.09002361446619034,Missed Shot,Left Foot,Open Play,52.4,61.1,False,False,Attacking_Center,Alex Berenguer,merged
73,22.0,Andreas Christensen,Barcelona,89.2,60.8,0.0332164540886879,Missed Shot,,From Corner,39.7,2.8,False,False,Attacking_Center,,merged
93,44.0,Dani Olmo,Barcelona,88.5,50.0,0.7432776093482971,Goal,Right Foot,,45.7,17.1,True,False,Attacking_Center,,merged
41,6.0,Fermín López,Barcelona,81.8,56.0,0.07539106905460358,Missed Shot,Left Foot,Open Play,33.1,9.7,False,False,Attacking_Center,Raphinha,merged
34,12.0,Lamine Yamal,Barcelona,78.3,48.3,0.07382908463478088,Blocked Shot,Left Foot,Open Play,54.5,19.0,False,True,Attacking_Center,,merged
53,32.0,Lamine Yamal,Barcelona,81.5,41.1,0.06665454059839249,Missed Shot,Left Foot,Open Play,43.0,5.6,False,False,Attacking_Center,,merged
67,,Lamine Yamal,Barcelona,85.4000015258789,54.599998474121094,0.12354610860347748,Missed Shot,Left Foot,Open Play,,,False,False,,Dani Olmo,understat_only
72,44.0,Lamine Yamal,Barcelona,90.6,31.3,0.0629623532295227,Saved Shot,Left Foot,Open Play,46.5,16.5,False,False,Attacking_Left,,merged
34,49.0,Raphinha,Barcelona,80.0,50.5,0.01951937936246395,Missed Shot,Left Foot,From Corner,85.7,8.3,False,False,Attacking_Center,,merged
13,33.0,Robert Lewandowski,Barcelona,87.5,54.2,0.3491111695766449,Goal,Right Foot,Open Play,51.2,12.0,True,False,Attacking_Center,Fermín López,merged
16,1.0,Robert Lewandowski,Barcelona,99.0,52.3,0.8536909222602844,Goal,,From Corner,53.3,25.3,True,False,Attacking_Center,,merged
47,26.0,Robert Lewandowski,Barcelona,92.9,44.5,0.45217129588127136,Missed Shot,Right Foot,Open Play,46.9,100.0,False,False,Attacking_Center,Raphinha,merged
58,57.0,Robert Lewandowski,Barcelona,87.0,47.9,0.46964526176452637,Blocked Shot,Right Foot,Open Play,47.5,19.0,False,True,Attacking_Center,Fermín López,merged
73,20.0,Robert Lewandowski,Barcelona,90.2,42.3,0.04241624101996422,Blocked Shot,,From Corner,48.9,19.0,False,True,Attacking_Center,Dani Olmo,merged
