minute,second,player,team,x,y,end_x,end_y,pass_distance,is_progressive,is_successful,is_cross,is_through_ball,field_zone,pass_length
0,0.0,Unai Gómez,Athletic Club,50.0,50.0,22.9,48.2,27.2,False,True,False,False,Middle_Center,
0,3.0,Unai Simón,Athletic Club,22.9,48.2,68.7,18.5,54.6,True,True,False,False,Defensive_Center,
0,7.0,Maroan Sannadi,Athletic Club,69.1,19.0,87.1,20.6,18.1,True,False,False,False,Attacking_Left,
0,14.0,Alejandro Balde,Barcelona,5.8,93.3,19.0,100.0,14.8,True,False,False,False,Defensive_Right,
0,21.0,Óscar De Marcos,Athletic Club,77.2,0.0,78.6,5.9,6.1,False,True,False,False,Attacking_Left,
0,22.0,Alex Berenguer,Athletic Club,81.2,6.5,95.0,2.5,14.4,True,True,False,False,Attacking_Left,
0,24.0,Óscar De Marcos,Athletic Club,97.2,2.8,88.6,72.2,69.9,False,True,True,False,Attacking_Left,
0,29.0,Unai Gómez,Athletic Club,83.3,87.2,70.3,84.2,13.3,False,True,False,False,Attacking_Right,
0,32.0,Yuri Berchiche,Athletic Club,69.5,82.5,77.0,64.8,19.2,False,True,False,False,Attacking_Right,
0,34.0,Nico Williams,Athletic Club,75.8,58.7,76.0,49.6,9.1,False,True,False,False,Attacking_Center,
0,35.0,Maroan Sannadi,Athletic Club,76.6,47.6,72.3,49.7,4.8,False,True,False,False,Attacking_Center,
0,36.0,Nico Williams,Athletic Club,75.1,50.3,100.0,21.7,37.9,True,False,False,False,Attacking_Center,
0,53.0,Iñaki Peña,Barcelona,4.0,56.6,13.6,41.0,18.3,False,True,False,False,Defensive_Center,
0,57.0,Ronald Araújo,Barcelona,27.0,35.5,36.6,45.4,13.8,False,True,False,False,Defensive_Center,
0,58.0,Pedri,Barcelona,37.9,45.8,30.9,37.6,10.8,False,True,False,False,Middle_Center,
1,2.0,Ronald Araújo,Barcelona,34.2,36.7,38.2,47.0,11.0,False,True,False,False,Middle_Center,
1,3.0,Pedri,Barcelona,38.3,46.7,36.6,17.2,29.5,False,True,False,False,Middle_Center,
1,5.0,Eric García,Barcelona,36.6,17.2,52.4,9.1,17.8,True,True,False,False,Middle_Left,
1,7.0,Lamine Yamal,Barcelona,53.1,10.9,88.5,24.5,37.9,True,False,False,False,Middle_Left,
1,16.0,Unai Simón,Athletic Club,15.4,51.9,28.4,56.6,13.8,True,True,False,False,Defensive_Center,
1,20.0,Mikel Jauregizar,Athletic Club,26.5,47.3,22.0,33.5,14.5,False,True,False,False,Defensive_Center,
1,22.0,Unai Núñez,Athletic Club,21.9,33.2,30.5,2.6,31.8,False,True,False,False,Defensive_Left,
1,24.0,Óscar De Marcos,Athletic Club,30.5,2.6,45.1,16.7,20.3,True,True,False,False,Defensive_Left,
1,28.0,Alejandro Balde,Barcelona,45.0,84.6,41.2,67.4,17.6,False,True,False,False,Middle_Right,
1,30.0,Ronald Araújo,Barcelona,40.6,67.2,21.3,50.7,25.4,False,True,False,False,Middle_Right,
1,34.0,Iñaki Peña,Barcelona,21.3,50.6,24.5,75.0,24.6,False,True,False,False,Defensive_Center,
1,36.0,Pau Cubarsí,Barcelona,24.5,74.9,22.9,57.8,17.2,False,True,False,False,Defensive_Right,
1,39.0,Iñaki Peña,Barcelona,23.0,57.3,26.2,44.2,13.5,False,True,False,False,Defensive_Center,
1,43.0,Ronald Araújo,Barcelona,35.0,41.0,38.8,49.3,9.1,False,True,False,False,Middle_Center,
1,47.0,Gavi,Barcelona,39.6,58.4,59.7,66.9,21.8,True,True,False,False,Middle_Center,
2,7.0,Pedri,Barcelona,57.3,65.9,47.5,80.3,17.4,False,True,False,False,Middle_Center,
2,9.0,Pau Cubarsí,Barcelona,47.6,80.1,56.2,92.0,14.7,False,True,False,False,Middle_Right,
2,11.0,Alejandro Balde,Barcelona,56.2,92.0,35.3,80.9,23.7,False,True,False,False,Middle_Right,
2,13.0,Pau Cubarsí,Barcelona,34.4,77.3,30.3,34.4,43.1,False,True,False,False,Middle_Right,
2,16.0,Ronald Araújo,Barcelona,30.1,33.4,38.0,6.2,28.3,False,True,False,False,Defensive_Center,
2,19.0,Eric García,Barcelona,38.0,5.8,44.3,11.5,8.5,False,True,False,False,Middle_Left,
2,21.0,Fermín López,Barcelona,44.3,11.5,47.6,5.5,6.8,False,False,False,False,Middle_Left,
2,23.0,Yuri Berchiche,Athletic Club,58.7,96.8,67.0,100.0,8.9,False,False,False,False,Middle_Right,
2,32.0,Eric García,Barcelona,34.8,0.0,22.5,18.1,21.9,False,True,False,False,Middle_Left,
2,37.0,Ronald Araújo,Barcelona,24.9,21.4,35.4,39.5,20.9,True,True,False,False,Defensive_Left,
2,42.0,Pedri,Barcelona,38.3,25.9,35.6,3.5,22.6,False,True,False,False,Middle_Left,
2,44.0,Eric García,Barcelona,36.5,6.1,35.6,30.4,24.3,False,True,False,False,Middle_Left,
2,47.0,Gavi,Barcelona,35.7,29.0,40.5,7.6,21.9,False,True,False,False,Middle_Left,
2,51.0,Lamine Yamal,Barcelona,38.6,24.2,64.4,65.6,48.8,True,False,False,False,Middle_Left,
3,1.0,Alejandro Balde,Barcelona,60.3,89.4,45.2,85.8,15.5,False,True,False,False,Middle_Right,
3,3.0,Pau Cubarsí,Barcelona,45.2,85.8,48.3,59.7,26.3,False,True,False,False,Middle_Right,
3,6.0,Gavi,Barcelona,48.3,59.7,57.9,70.5,14.4,False,True,False,False,Middle_Center,
3,7.0,Pedri,Barcelona,57.9,70.5,42.9,48.1,27.0,False,True,False,False,Middle_Right,
3,11.0,Ronald Araújo,Barcelona,53.1,41.3,63.0,6.1,36.6,False,True,False,False,Middle_Center,
3,13.0,Lamine Yamal,Barcelona,63.0,6.1,66.6,8.2,4.2,False,False,False,False,Middle_Left,
3,21.0,Lamine Yamal,Barcelona,63.0,25.9,71.0,37.7,14.3,False,False,False,False,Middle_Left,
3,23.0,Íñigo Ruíz de Galarreta,Athletic Club,23.1,77.1,27.6,87.2,11.1,False,True,False,False,Defensive_Right,
3,25.0,Mikel Jauregizar,Athletic Club,33.3,89.0,42.5,97.7,12.7,False,True,False,False,Defensive_Right,
3,26.0,Nico Williams,Athletic Club,42.5,97.7,42.7,96.6,1.1,False,False,False,False,Middle_Right,
3,26.0,Gavi,Barcelona,60.0,9.5,,,,False,True,False,False,Middle_Left,
3,28.0,Gavi,Barcelona,45.5,9.5,40.2,29.6,20.8,False,True,False,False,Middle_Left,
3,33.0,Ronald Araújo,Barcelona,36.7,30.2,40.7,38.2,8.9,False,True,False,False,Middle_Left,
3,35.0,Pedri,Barcelona,40.9,37.9,77.6,10.3,45.9,True,False,False,False,Middle_Center,
3,49.0,Yuri Berchiche,Athletic Club,32.6,100.0,30.2,81.3,18.9,False,True,False,False,Defensive_Right,
3,51.0,Unai Gómez,Athletic Club,31.3,75.5,27.4,65.0,11.2,False,True,False,False,Defensive_Right,
3,53.0,Íñigo Ruíz de Galarreta,Athletic Club,25.9,62.3,7.2,49.3,22.8,False,True,False,False,Defensive_Center,
3,55.0,Unai Simón,Athletic Club,6.8,49.3,34.0,1.9,54.6,True,True,False,False,Defensive_Center,
