player,avg_x,avg_y,total_passes,crosses,longballs,team
Aitor Paredes,32.81,62.32,14,0,2,Athletic Club
Alex Berenguer,62.71,26.8,15,2,0,Athletic Club
Beñat Prados,57.54,33.11,7,0,0,Athletic Club
Dani Vivian,36.52,43.7,5,0,0,Athletic Club
Maroan Sannadi,56.98,34.19,13,0,1,Athletic Club
Mikel Jauregizar,51.53,65.68,20,0,3,Athletic Club
Nico Williams,61.5,74.76,13,0,0,Athletic Club
Oihan Sancet,61.7,63.14,7,0,0,Athletic Club
Unai Gómez,53.19,62.12,12,0,0,Athletic Club
Unai Núñez,38.07,31.42,12,0,1,Athletic Club
Unai Simón,13.71,48.94,14,0,9,Athletic Club
Yuri Berchiche,43.89,87.68,28,1,2,Athletic Club
Íñigo Lekue,76.4,26.9,1,0,0,Athletic Club
Íñigo Ruíz de Galarreta,52.87,38.19,15,0,4,Athletic Club
Óscar De Marcos,53.76,14.07,23,1,3,Athletic Club
Alejandro Balde,48.5,85.35,62,0,1,Barcelona
Andreas Christensen,31.49,32.19,30,0,1,Barcelona
Dani Olmo,55.85,32.57,15,1,0,Barcelona
Eric García,40.78,12.78,81,0,7,Barcelona
Fermín López,56.1,55.18,42,0,1,Barcelona
Frenkie de Jong,37.91,58.34,8,0,1,Barcelona
Gavi,42.04,41.39,96,0,3,Barcelona
Gerard Martín,18.5,90.4,2,0,0,Barcelona
Iñaki Peña,11.02,50.54,41,0,3,Barcelona
Lamine Yamal,60.57,22.93,39,0,1,Barcelona
Pau Cubarsí,30.54,71.66,47,0,5,Barcelona
Pedri,47.73,48.83,115,0,6,Barcelona
Raphinha,62.03,77.2,24,1,1,Barcelona
Robert Lewandowski,51.77,51.21,7,0,0,Barcelona
Ronald Araújo,34.82,33.84,80,0,1,Barcelona
