minute,player,team,action,start_x,start_y,end_x,end_y,progression,is_successful
0,Unai Simón,Athletic Club,pass,22.9,48.2,68.7,18.5,45.8,True
0,Maroan Sannadi,Athletic Club,pass,69.1,19.0,87.1,20.6,18.0,False
0,Alejandro Balde,Barcelona,pass,5.8,93.3,19.0,100.0,13.2,False
0,Alex Berenguer,Athletic Club,pass,81.2,6.5,95.0,2.5,13.8,True
0,Nico Williams,Athletic Club,pass,75.1,50.3,100.0,21.7,24.9,False
1,Eric García,Barcelona,pass,36.6,17.2,52.4,9.1,15.8,True
1,Lamine Yamal,Barcelona,pass,53.1,10.9,88.5,24.5,35.4,False
1,Unai Simón,Athletic Club,pass,15.4,51.9,28.4,56.6,13.0,True
1,Óscar De Marcos,Athletic Club,pass,30.5,2.6,45.1,16.7,14.6,True
1,Gavi,Barcelona,pass,39.6,58.4,59.7,66.9,20.1,True
2,Ronald Araújo,Barcelona,pass,24.9,21.4,35.4,39.5,10.5,True
2,Lamine Yamal,Barcelona,pass,38.6,24.2,64.4,65.6,25.8,False
3,Pedri,Barcelona,pass,40.9,37.9,77.6,10.3,36.7,False
3,Unai Simón,Athletic Club,pass,6.8,49.3,34.0,1.9,27.2,True
3,Óscar De Marcos,Athletic Club,pass,34.0,1.9,60.8,4.6,26.8,True
5,Ronald Araújo,Barcelona,pass,46.1,31.7,63.1,5.9,17.0,True
5,Lamine Yamal,Barcelona,pass,67.4,5.5,93.2,31.6,25.8,False
5,Unai Simón,Athletic Club,pass,6.9,48.7,47.8,26.3,40.9,False
5,Alejandro Balde,Barcelona,pass,72.9,77.7,92.9,63.3,20.0,False
6,Unai Simón,Athletic Club,pass,14.2,48.9,41.9,62.6,27.7,True
6,Mikel Jauregizar,Athletic Club,pass,36.7,71.7,48.5,97.1,11.8,True
7,Unai Simón,Athletic Club,pass,19.1,47.9,59.3,28.7,40.2,True
7,Íñigo Ruíz de Galarreta,Athletic Club,pass,53.1,33.1,69.3,91.1,16.2,True
8,Iñaki Peña,Barcelona,pass,4.5,57.8,24.8,39.5,20.3,True
8,Eric García,Barcelona,pass,42.2,14.0,57.7,8.3,15.5,True
8,Mikel Jauregizar,Athletic Club,pass,51.2,85.7,65.0,75.3,13.8,True
9,Iñaki Peña,Barcelona,pass,5.0,50.9,27.7,36.8,22.7,True
9,Alejandro Balde,Barcelona,pass,48.0,91.8,96.9,74.9,48.9,False
9,Aitor Paredes,Athletic Club,pass,14.2,60.6,51.9,92.3,37.7,False
9,Íñigo Ruíz de Galarreta,Athletic Club,pass,34.9,76.8,72.6,82.5,37.7,True
10,Íñigo Ruíz de Galarreta,Athletic Club,pass,63.2,32.0,83.0,100.0,19.8,False
10,Iñaki Peña,Barcelona,pass,8.6,59.1,32.0,93.2,23.4,True
11,Pedri,Barcelona,pass,48.1,55.1,62.7,30.7,14.6,True
11,Ronald Araújo,Barcelona,pass,42.1,33.1,54.7,16.3,12.6,True
11,Ronald Araújo,Barcelona,pass,41.1,41.9,55.8,40.4,14.7,True
11,Ronald Araújo,Barcelona,pass,53.8,45.7,65.6,52.5,11.8,True
13,Mikel Jauregizar,Athletic Club,pass,47.2,32.5,58.8,33.1,11.6,True
13,Pedri,Barcelona,pass,30.5,61.2,53.6,52.8,23.1,True
13,Fermín López,Barcelona,pass,66.5,52.6,81.9,59.3,15.4,True
14,Iñaki Peña,Barcelona,pass,4.3,46.7,42.0,10.7,37.7,True
14,Nico Williams,Athletic Club,pass,70.9,76.4,85.5,74.9,14.6,True
15,Iñaki Peña,Barcelona,pass,5.1,52.2,21.2,33.7,16.1,True
15,Pedri,Barcelona,pass,65.3,81.9,76.8,90.5,11.5,False
16,Eric García,Barcelona,pass,41.2,20.9,95.2,19.7,54.0,False
18,Unai Simón,Athletic Club,pass,25.1,44.8,92.9,4.0,67.8,False
18,Alejandro Balde,Barcelona,pass,7.7,100.0,36.9,81.9,29.2,False
18,Unai Núñez,Athletic Club,pass,61.3,9.1,72.5,3.4,11.2,True
18,Unai Simón,Athletic Club,pass,19.9,57.0,67.0,45.8,47.1,True
19,Íñigo Ruíz de Galarreta,Athletic Club,pass,69.1,40.7,91.0,62.2,21.9,True
21,Pau Cubarsí,Barcelona,pass,14.0,70.4,32.0,52.2,18.0,True
21,Fermín López,Barcelona,pass,45.5,55.7,58.8,80.7,13.3,False
22,Ronald Araújo,Barcelona,pass,36.0,39.8,48.1,47.9,12.1,True
22,Gavi,Barcelona,pass,46.8,47.9,72.1,87.6,25.3,False
22,Mikel Jauregizar,Athletic Club,pass,35.0,47.6,62.8,94.7,27.8,True
23,Íñigo Ruíz de Galarreta,Athletic Club,pass,55.7,8.6,84.2,3.7,28.5,True
23,Ronald Araújo,Barcelona,pass,37.5,28.0,60.6,40.4,23.1,True
24,Iñaki Peña,Barcelona,pass,18.2,42.8,29.6,22.4,11.4,True
24,Alejandro Balde,Barcelona,pass,41.5,91.8,52.0,95.7,10.5,True
25,Ronald Araújo,Barcelona,pass,55.8,33.1,91.7,72.3,35.9,False
26,Lamine Yamal,Barcelona,pass,78.3,87.2,95.2,41.3,16.9,False
27,Aitor Paredes,Athletic Club,pass,35.9,60.9,95.1,98.3,59.2,True
28,Óscar De Marcos,Athletic Club,pass,77.4,19.9,95.4,19.9,18.0,True
28,Iñaki Peña,Barcelona,pass,10.5,50.7,24.4,29.9,13.9,True
28,Gavi,Barcelona,pass,57.6,36.7,76.6,29.3,19.0,False
28,Unai Simón,Athletic Club,pass,8.3,50.6,47.1,87.0,38.8,False
28,Unai Gómez,Athletic Club,pass,50.9,66.2,62.4,73.8,11.5,False
29,Iñaki Peña,Barcelona,pass,19.5,46.6,31.1,43.0,11.6,True
29,Gavi,Barcelona,pass,41.1,65.9,57.3,92.4,16.2,True
29,Pedri,Barcelona,pass,45.2,56.6,78.8,13.7,33.6,False
29,Yuri Berchiche,Athletic Club,pass,19.8,79.8,30.1,80.7,10.3,True
29,Yuri Berchiche,Athletic Club,pass,18.2,94.8,32.5,54.8,14.3,True
30,Eric García,Barcelona,pass,41.5,13.0,60.3,11.6,18.8,True
30,Ronald Araújo,Barcelona,pass,39.9,33.8,55.9,42.7,16.0,True
30,Aitor Paredes,Athletic Club,pass,34.5,54.6,55.1,55.5,20.6,True
30,Mikel Jauregizar,Athletic Club,pass,46.0,61.7,69.9,82.8,23.9,True
31,Íñigo Ruíz de Galarreta,Athletic Club,pass,72.7,40.9,98.3,23.5,25.6,True
31,Pedri,Barcelona,pass,19.6,55.2,35.4,15.4,15.8,True
31,Unai Gómez,Athletic Club,pass,68.3,77.4,91.5,94.4,23.2,True
32,Pau Cubarsí,Barcelona,pass,34.8,72.6,63.2,95.7,28.4,True
33,Pedri,Barcelona,pass,43.7,66.2,76.2,48.1,32.5,False
35,Unai Simón,Athletic Club,pass,4.8,49.0,62.2,30.7,57.4,False
36,Alex Berenguer,Athletic Club,pass,69.2,21.2,93.7,48.1,24.5,False
36,Pau Cubarsí,Barcelona,pass,14.1,58.5,28.1,52.8,14.0,True
36,Nico Williams,Athletic Club,pass,73.5,94.7,84.5,78.8,11.0,False
36,Ronald Araújo,Barcelona,pass,16.1,15.8,30.7,20.5,14.6,True
37,Fermín López,Barcelona,pass,47.3,31.1,68.1,92.3,20.8,True
37,Eric García,Barcelona,pass,64.0,15.1,85.1,6.8,21.1,True
38,Óscar De Marcos,Athletic Club,pass,3.7,20.2,33.0,6.5,29.3,False
38,Maroan Sannadi,Athletic Club,pass,36.8,53.6,74.0,92.1,37.2,True
38,Ronald Araújo,Barcelona,pass,28.4,37.3,40.9,35.9,12.5,True
39,Ronald Araújo,Barcelona,pass,39.2,39.1,63.6,21.8,24.4,True
39,Lamine Yamal,Barcelona,pass,65.4,7.9,83.3,7.6,17.9,True
39,Unai Núñez,Athletic Club,pass,8.0,4.3,37.7,6.5,29.7,False
40,Ronald Araújo,Barcelona,pass,45.3,46.0,57.2,39.1,11.9,True
40,Pedri,Barcelona,pass,42.9,32.0,65.5,29.6,22.6,True
