team,source,target,pass_count,direction,avg_source_x,avg_source_y,avg_target_x,avg_target_y
Athletic Club,Aitor Paredes,Unai Simón,3,A_to_B,25.03,69.8,15.33,53.67
Athletic Club,Yuri Berchiche,Aitor Paredes,5,B_to_A,39.22,87.2,30.86,74.02
Athletic Club,Alex Berenguer,Óscar De Marcos,5,A_to_B,46.86,12.18,46.12,12.9
Athletic Club,Óscar De Marcos,Alex Berenguer,5,B_to_A,62.44,16.84,72.82,16.68
Athletic Club,Maroan Sannadi,Nico Williams,3,A_to_B,66.2,35.7,77.07,52.6
Athletic Club,Íñigo Ruíz de Galarreta,Maroan Sannadi,3,B_to_A,50.27,34.9,69.63,13.77
Athletic Club,Óscar De Marcos,Maroan Sannadi,5,B_to_A,40.1,7.4,61.12,12.92
Athletic Club,Mikel Jauregizar,Nico Williams,8,A_to_B,51.8,71.58,64.41,91.19
Athletic Club,Unai Gómez,Mikel Jauregizar,4,B_to_A,48.75,62.18,50.78,68.0
Athletic Club,Nico Williams,Íñigo Ruíz de Galarreta,3,A_to_B,68.17,66.77,67.83,47.07
Athletic Club,Yuri Berchiche,Oihan Sancet,3,B_to_A,47.57,77.63,63.23,68.07
Athletic Club,Yuri Berchiche,Unai Gómez,4,B_to_A,52.98,94.18,54.62,74.9
Athletic Club,Unai Gómez,Íñigo Ruíz de Galarreta,3,A_to_B,58.27,73.17,50.1,64.43
Athletic Club,Unai Núñez,Óscar De Marcos,4,A_to_B,38.75,39.7,48.18,6.65
Athletic Club,Óscar De Marcos,Unai Núñez,3,B_to_A,41.13,19.23,31.43,28.63
Athletic Club,Unai Simón,Maroan Sannadi,5,A_to_B,13.52,44.86,67.02,30.96
Athletic Club,Yuri Berchiche,Nico Williams,4,A_to_B,50.85,88.72,55.2,81.2
Athletic Club,Yuri Berchiche,Íñigo Ruíz de Galarreta,3,A_to_B,21.83,90.8,27.17,64.67
Athletic Club,Íñigo Ruíz de Galarreta,Óscar De Marcos,4,A_to_B,70.08,33.25,79.3,14.68
Athletic Club,Óscar De Marcos,Íñigo Ruíz de Galarreta,3,B_to_A,57.43,11.27,51.7,18.9
Barcelona,Alejandro Balde,Fermín López,10,A_to_B,49.02,86.26,53.49,86.96
Barcelona,Fermín López,Alejandro Balde,3,B_to_A,67.83,87.9,70.17,92.27
Barcelona,Alejandro Balde,Gavi,3,A_to_B,65.73,89.0,59.47,70.63
Barcelona,Gavi,Alejandro Balde,6,B_to_A,42.2,59.98,48.1,90.92
Barcelona,Alejandro Balde,Pau Cubarsí,13,A_to_B,44.82,87.84,33.12,76.1
Barcelona,Pau Cubarsí,Alejandro Balde,9,B_to_A,29.09,74.52,37.61,89.32
Barcelona,Alejandro Balde,Pedri,15,A_to_B,50.62,83.03,48.05,70.39
