entity_type,entity_id,entity_name,team,minutes_active,total_actions,actions_per_minute,avg_x,avg_y,position_variance_x,position_variance_y,offensive_actions,defensive_actions,neutral_actions,passes_attempted,passes_completed,pass_completion_pct,progressive_passes,box_entries,xthreat_total,xthreat_per_action,pre_assists,carries,progressive_carries,carry_distance_total,passes_to_goal,passes_to_shot,key_passes,zone_id,zone_x_center,zone_y_center,possession_pct,action_density,progressive_actions,passes_through_zone,successful_passes
player,Alejandro Balde,Alejandro Balde,Barcelona,66.0,64,0.97,52.25,83.23,23.86,14.57,55,4,5,42.0,39.0,92.9,2.0,1,1.2081,0.0189,1.0,13.0,0.0,220.88,0.0,2.0,0.0,,,,,,,,
player,Antonio Raíllo,Antonio Raíllo,Mallorca,91.0,51,0.56,26.65,62.09,24.24,16.23,36,7,8,31.0,25.0,80.6,2.0,0,1.4176,0.0278,0.0,5.0,0.0,118.16,0.0,0.0,0.0,,,,,,,,
player,Antonio Sánchez,Antonio Sánchez,Mallorca,93.0,46,0.49,36.09,37.0,20.68,23.48,27,8,11,24.0,22.0,91.7,2.0,0,0.5947,0.0129,0.0,3.0,1.0,64.36,0.0,0.0,0.0,,,,,,,,
player,Dani Olmo,Dani Olmo,Barcelona,48.0,51,1.06,64.95,64.11,24.3,24.11,33,2,16,25.0,19.0,76.0,2.0,3,0.7843,0.0154,2.0,8.0,2.0,154.36,2.0,5.0,1.0,,,,,,,,
player,Dani Rodríguez,Dani Rodríguez,Mallorca,48.0,40,0.83,55.77,22.04,25.21,22.51,17,3,20,14.0,7.0,50.0,1.0,0,0.0176,0.0004,0.0,2.0,0.0,31.45,0.0,1.0,1.0,,,,,,,,
player,Eric García,Eric García,Barcelona,91.0,102,1.12,55.27,28.7,19.29,23.56,84,8,10,60.0,57.0,95.0,7.0,3,1.501,0.0147,0.0,24.0,2.0,466.23,1.0,9.0,2.0,,,,,,,,
player,Fermín López,Fermín López,Barcelona,45.0,43,0.96,59.39,39.8,20.59,28.47,33,4,6,25.0,19.0,76.0,1.0,0,0.9232,0.0215,0.0,6.0,1.0,86.38,1.0,1.0,0.0,,,,,,,,
player,Ferran Torres,Ferran Torres,Barcelona,68.0,31,0.46,61.38,53.07,26.48,19.87,16,3,12,12.0,9.0,75.0,1.0,2,0.4634,0.0149,0.0,3.0,0.0,53.82,0.0,1.0,0.0,,,,,,,,
player,Frenkie de Jong,Frenkie de Jong,Barcelona,92.0,122,1.33,58.13,52.32,15.49,21.83,114,2,6,79.0,76.0,96.2,10.0,1,3.1849,0.0261,2.0,35.0,2.0,628.89,3.0,8.0,3.0,,,,,,,,
player,Gavi,Gavi,Barcelona,25.0,32,1.28,62.83,40.55,19.63,19.94,27,2,3,20.0,19.0,95.0,2.0,1,0.9545,0.0298,1.0,7.0,1.0,193.45,1.0,6.0,0.0,,,,,,,,
