record_type,team,source_player,target_player,connection_strength,avg_x_start,avg_y_start,avg_x_end,avg_y_end,avg_xthreat,progressive_passes,box_entries,pass_distance_avg,connection_id,total_actions,minutes_active,position_variance_x,position_variance_y,xthreat_total
connection,Atletico,Alexander Sørloth,Koke,1,49.9,50.0,32.3,44.8,-0.0796,0,0,18.35,Atletico_Alexander Sørloth_Koke,,,,,
connection,Atletico,Antoine Griezmann,Marcos Llorente,1,51.6,43.0,51.4,10.9,-0.0735,0,0,32.1,Atletico_Antoine Griezmann_Marcos Llorente,,,,,
connection,Atletico,Antoine Griezmann,Robin Le Normand,1,55.1,68.3,37.0,50.4,-0.1982,0,0,25.46,Atletico_Antoine Griezmann_Robin Le Normand,,,,,
connection,Atletico,Conor Gallagher,Giuliano Simeone,4,64.35,19.97,71.88,13.08,-0.0118,2,1,18.83,Atletico_Conor Gallagher_Giuliano Simeone,,,,,
connection,Atletico,Conor Gallagher,Jan Oblak,1,30.7,27.1,7.3,29.6,-0.0189,0,0,23.53,Atletico_Conor Gallagher_Jan Oblak,,,,,
connection,Atletico,Conor Gallagher,Johnny Cardoso,8,53.36,18.65,51.77,29.28,0.0283,0,0,16.54,Atletico_Conor Gallagher_Johnny Cardoso,,,,,
connection,Atletico,Conor Gallagher,Julián Alvarez,2,55.5,33.4,59.55,22.35,-0.0214,0,0,11.77,Atletico_Conor Gallagher_Julián Alvarez,,,,,
connection,Atletico,Conor Gallagher,Marcos Llorente,7,56.43,14.57,58.04,6.54,-0.0096,0,0,20.45,Atletico_Conor Gallagher_Marcos Llorente,,,,,
connection,Atletico,Conor Gallagher,Matteo Ruggeri,2,56.5,48.15,63.25,90.1,0.2841,0,0,42.54,Atletico_Conor Gallagher_Matteo Ruggeri,,,,,
connection,Atletico,Conor Gallagher,Robin Le Normand,3,48.93,55.93,36.53,35.33,-0.1013,0,0,27.07,Atletico_Conor Gallagher_Robin Le Normand,,,,,
connection,Atletico,Conor Gallagher,Thiago Almada,2,39.55,25.65,36.75,28.05,0.0054,0,0,10.36,Atletico_Conor Gallagher_Thiago Almada,,,,,
connection,Atletico,Conor Gallagher,Álex Baena,1,60.0,71.3,75.7,69.9,-0.1195,1,0,15.76,Atletico_Conor Gallagher_Álex Baena,,,,,
connection,Atletico,Dávid Hancko,Antoine Griezmann,1,87.5,63.8,84.9,54.6,-0.0228,0,0,9.56,Atletico_Dávid Hancko_Antoine Griezmann,,,,,
connection,Atletico,Dávid Hancko,Conor Gallagher,2,61.6,26.15,60.55,14.0,-0.0036,0,0,19.24,Atletico_Dávid Hancko_Conor Gallagher,,,,,
connection,Atletico,Dávid Hancko,Giacomo Raspadori,1,28.2,86.1,40.6,83.4,0.0909,0,0,12.69,Atletico_Dávid Hancko_Giacomo Raspadori,,,,,
connection,Atletico,Dávid Hancko,Giuliano Simeone,1,62.4,73.7,79.4,1.7,-0.3573,0,0,73.98,Atletico_Dávid Hancko_Giuliano Simeone,,,,,
connection,Atletico,Dávid Hancko,Jan Oblak,4,23.08,70.78,7.08,47.28,-0.118,0,0,29.02,Atletico_Dávid Hancko_Jan Oblak,,,,,
connection,Atletico,Dávid Hancko,Johnny Cardoso,3,43.8,73.53,47.4,56.17,-0.0754,0,0,18.81,Atletico_Dávid Hancko_Johnny Cardoso,,,,,
connection,Atletico,Dávid Hancko,Julián Alvarez,3,55.53,78.67,69.63,67.87,-0.1078,2,1,20.34,Atletico_Dávid Hancko_Julián Alvarez,,,,,
connection,Atletico,Dávid Hancko,Koke,3,27.07,74.9,30.13,65.47,-0.0806,0,0,19.16,Atletico_Dávid Hancko_Koke,,,,,
connection,Atletico,Dávid Hancko,Marcos Llorente,2,36.95,71.5,47.2,18.3,-0.222,1,0,54.2,Atletico_Dávid Hancko_Marcos Llorente,,,,,
connection,Atletico,Dávid Hancko,Matteo Ruggeri,13,37.25,70.31,50.8,95.59,0.2433,1,0,29.77,Atletico_Dávid Hancko_Matteo Ruggeri,,,,,
connection,Atletico,Dávid Hancko,Pablo Barrios,1,61.5,38.6,63.6,25.3,-0.0429,0,0,13.46,Atletico_Dávid Hancko_Pablo Barrios,,,,,
connection,Atletico,Dávid Hancko,Robin Le Normand,17,40.66,64.45,40.18,28.19,-0.1241,0,0,36.66,Atletico_Dávid Hancko_Robin Le Normand,,,,,
connection,Atletico,Dávid Hancko,Thiago Almada,6,36.5,78.53,45.98,82.32,0.0865,1,0,14.2,Atletico_Dávid Hancko_Thiago Almada,,,,,
connection,Atletico,Giacomo Raspadori,Julián Alvarez,1,48.1,80.9,42.4,72.2,-0.12,0,0,10.4,Atletico_Giacomo Raspadori_Julián Alvarez,,,,,
connection,Atletico,Giacomo Raspadori,Koke,1,68.8,30.4,63.8,60.2,0.1715,0,0,30.22,Atletico_Giacomo Raspadori_Koke,,,,,
connection,Atletico,Giacomo Raspadori,Matteo Ruggeri,2,49.05,80.8,48.1,96.0,0.1051,0,0,21.96,Atletico_Giacomo Raspadori_Matteo Ruggeri,,,,,
connection,Atletico,Giacomo Raspadori,Pablo Barrios,1,62.6,21.5,53.0,4.0,-0.0336,0,0,19.96,Atletico_Giacomo Raspadori_Pablo Barrios,,,,,
connection,Atletico,Giuliano Simeone,Conor Gallagher,3,71.3,15.83,65.6,23.07,0.024,0,0,11.09,Atletico_Giuliano Simeone_Conor Gallagher,,,,,
connection,Atletico,Giuliano Simeone,Dávid Hancko,2,67.8,83.75,67.6,69.25,-0.2592,1,1,20.86,Atletico_Giuliano Simeone_Dávid Hancko,,,,,
