player,team,minutes,xthreat_total,progressive_passes,progressive_carries,pre_assists,avg_x,avg_y
Aitor Paredes,Athletic Club,77.0,1.1291468303299999,3,0,0,30.44473684210526,62.63684210526314
Alejandro Balde,Barcelona,80.0,2.10041460098,1,0,1,45.596363636363634,81.22636363636363
Alex Berenguer,Athletic Club,86.0,0.3198423523899999,2,1,0,63.52765957446809,28.88723404255319
Andreas Christensen,Barcelona,22.0,0.8303982211300001,0,0,0,31.862222222222222,33.28222222222222
Beñat Prados,Athletic Club,25.0,0.03639544047999997,1,0,0,62.32083333333333,36.80416666666667
Dani Olmo,Barcelona,30.0,0.45695716249,2,2,0,53.487096774193546,35.487096774193546
Dani Vivian,Athletic Club,17.0,0.10615107374999994,1,0,0,33.333333333333336,41.62222222222223
Eric García,Barcelona,88.0,1.8723627000599994,5,3,1,39.134532374100715,16.815107913669067
Fermín López,Barcelona,84.0,2.0043133623400005,2,1,2,57.66,51.89333333333333
Frenkie de Jong,Barcelona,9.0,0.3756267326400002,1,0,0,33.06470588235294,54.14117647058823
Gavi,Barcelona,88.0,4.04938249615,1,1,0,39.822292993630576,42.566878980891715
Gerard Martín,Barcelona,9.0,0.09900892355999996,0,0,0,16.1875,66.2125
Iñaki Peña,Barcelona,89.0,1.4015651550799997,2,1,0,14.522499999999999,48.405
Iñaki Williams,Athletic Club,10.0,0.0,0,0,0,55.46666666666666,39.4
Lamine Yamal,Barcelona,88.0,1.195293877779999,4,1,0,60.910526315789475,25.007368421052636
Maroan Sannadi,Athletic Club,89.0,0.6865717692699997,1,0,0,59.94222222222223,30.14222222222222
Mikel Jauregizar,Athletic Club,88.0,2.6400427635099994,7,3,2,52.76379310344827,68.76379310344826
Nico Williams,Athletic Club,79.0,0.09998525339999992,2,1,1,61.97049180327869,72.07540983606556
Oihan Sancet,Athletic Club,25.0,0.26409602169000007,0,0,0,54.9090909090909,57.72727272727273
Pau Cubarsí,Barcelona,85.0,2.81609917634,1,0,0,30.165116279069764,66.04069767441861
Pau Víctor,Barcelona,0.0,0.0,0,0,0,0.0,0.0
Pedri,Barcelona,80.0,7.530724568069999,4,4,1,47.07714285714286,49.01885714285715
Raphinha,Barcelona,58.0,0.6550934404199998,1,0,0,56.56444444444443,72.85777777777777
Robert Lewandowski,Barcelona,87.0,0.09192229792,0,0,0,61.32307692307692,48.707692307692305
Ronald Araújo,Barcelona,63.0,2.9857457892599997,6,3,0,36.18,34.78333333333333
Unai Gómez,Athletic Club,61.0,0.1418556434700001,0,0,0,45.82500000000001,58.24285714285715
Unai Núñez,Athletic Club,60.0,0.18027874842000002,0,0,0,34.53548387096774,34.74516129032258
Unai Simón,Athletic Club,93.0,0.9545189444599997,7,0,1,13.169047619047618,49.15714285714286
Yuri Berchiche,Athletic Club,89.0,0.27430072402000005,8,0,0,38.58307692307692,79.31230769230768
Íñigo Lekue,Athletic Club,1.0,0.01425697300000001,0,0,0,56.800000000000004,15.133333333333333
Íñigo Ruíz de Galarreta,Athletic Club,58.0,0.9755157880300002,3,2,0,49.05121951219512,40.69756097560976
Óscar De Marcos,Athletic Club,88.0,0.8331996125599999,7,3,0,52.36274509803921,17.701960784313723
