analysis_type,team,metric_name,zone_id,zone_center_x,zone_center_y,pressure_intensity,events_count,avg_xthreat,xthreat_total,progressive_actions,action_efficiency,third_name,x_range_min,x_range_max,control_percentage,avg_xthreat_per_action,box_entries,flow_direction,pass_count,avg_distance,progressive_count,flow_efficiency
pressure_map,RBL,zone_1_pressure,1.0,8.3,16.7,0.0342,34.0,0.004,0.1343,3.0,0.088,,,,,,,,,,,
pressure_map,RBL,zone_2_pressure,2.0,8.3,50.0,0.0714,71.0,0.0113,0.8043,1.0,0.014,,,,,,,,,,,
pressure_map,RBL,zone_3_pressure,3.0,8.3,83.3,0.0302,30.0,0.0118,0.3528,0.0,0.0,,,,,,,,,,,
pressure_map,RBL,zone_4_pressure,4.0,25.0,16.7,0.0583,58.0,0.0127,0.7387,1.0,0.017,,,,,,,,,,,
pressure_map,RBL,zone_5_pressure,5.0,25.0,50.0,0.0704,70.0,0.0254,1.7802,4.0,0.057,,,,,,,,,,,
pressure_map,RBL,zone_6_pressure,6.0,25.0,83.3,0.0482,48.0,0.0268,1.2879,0.0,0.0,,,,,,,,,,,
pressure_map,RBL,zone_7_pressure,7.0,41.7,16.7,0.1015,101.0,0.014,1.4092,4.0,0.04,,,,,,,,,,,
pressure_map,RBL,zone_8_pressure,8.0,41.7,50.0,0.0593,59.0,0.0428,2.5225,4.0,0.068,,,,,,,,,,,
pressure_map,RBL,zone_9_pressure,9.0,41.7,83.3,0.0603,60.0,0.0347,2.0799,2.0,0.033,,,,,,,,,,,
pressure_map,RBL,zone_10_pressure,10.0,58.3,16.7,0.0965,96.0,0.0142,1.3614,10.0,0.104,,,,,,,,,,,
pressure_map,RBL,zone_11_pressure,11.0,58.3,50.0,0.0623,62.0,0.035,2.1691,5.0,0.081,,,,,,,,,,,
pressure_map,RBL,zone_12_pressure,12.0,58.3,83.3,0.0704,70.0,0.0265,1.8555,9.0,0.129,,,,,,,,,,,
pressure_map,RBL,zone_13_pressure,13.0,75.0,16.7,0.0523,52.0,0.0091,0.4746,6.0,0.115,,,,,,,,,,,
pressure_map,RBL,zone_14_pressure,14.0,75.0,50.0,0.0503,50.0,0.0092,0.4624,2.0,0.04,,,,,,,,,,,
pressure_map,RBL,zone_15_pressure,15.0,75.0,83.3,0.0704,70.0,0.01,0.7014,10.0,0.143,,,,,,,,,,,
pressure_map,RBL,zone_16_pressure,16.0,91.7,16.7,0.0302,30.0,0.0066,0.1983,2.0,0.067,,,,,,,,,,,
pressure_map,RBL,zone_17_pressure,17.0,91.7,50.0,0.0221,22.0,0.001,0.0222,0.0,0.0,,,,,,,,,,,
pressure_map,RBL,zone_18_pressure,18.0,91.7,83.3,0.0121,12.0,0.0096,0.1154,1.0,0.083,,,,,,,,,,,
pressure_map,Leverkusen,zone_1_pressure,1.0,8.3,16.7,0.0496,57.0,0.0148,0.8438,2.0,0.035,,,,,,,,,,,
