player_name,position,team,league,minutes,xg_chain,xg_buildup,final_third_impact,total_contribution,goals,assists,g_plus_a,archetype,quadrant
Mohamed Salah,FW,Liverpool,ENG-Premier League,3371.0,48.53588879853487,16.20675839856267,32.3291303999722,64.74264719709754,29,18,47,Finisher,Complete
Raphinha,"FW,MF",Barcelona,ESP-La Liga,2839.0,39.28257852047682,13.650435471907258,25.63214304856956,52.933013992384076,18,9,27,Finisher,Complete
Kylian Mbappé,FW,Real Madrid,ESP-La Liga,2907.0,38.31346391141415,11.081679956056178,27.231783955357976,49.39514386747033,31,3,34,Finisher,Complete
Lamine Yamal,FW,Barcelona,ESP-La Liga,2856.0,38.30787461996079,18.00324920192361,20.304625418037183,56.3111238218844,9,13,22,Finisher,Complete
Bradley Barcola,FW,Paris S-G,FRA-Ligue 1,2181.0,34.758061334490776,14.240355039946737,20.51770629454404,48.99841637443751,14,10,24,Finisher,Complete
Hugo Ekitike,FW,Eint Frankfurt,GER-Bundesliga,2563.0,32.08109536021948,6.5742603074759245,25.506835052743554,38.6553556676954,15,8,23,Finisher,Complete
Ousmane Dembélé,FW,Paris S-G,FRA-Ligue 1,1730.0,32.06679894030094,9.613210080191491,22.45358886010945,41.680009020492435,21,6,27,Finisher,Complete
Joshua Kimmich,MF,Bayern Munich,GER-Bundesliga,2847.0,31.528940960764885,27.68050304055214,3.8484379202127457,59.209444001317024,3,7,10,Balanced,Complete
Pedri,MF,Barcelona,ESP-La Liga,2879.0,31.42633649148047,23.62103444710374,7.805302044376731,55.04737093858421,4,5,9,Finisher,Complete
Michael Olise,"FW,MF",Bayern Munich,GER-Bundesliga,2334.0,31.13305725902319,15.147963047027588,15.985094211995602,46.28102030605078,12,15,27,Finisher,Complete
Harry Kane,FW,Bayern Munich,GER-Bundesliga,2381.0,30.19251061975956,8.705299209803343,21.487211409956217,38.8978098295629,26,9,35,Finisher,Complete
Cole Palmer,"MF,FW",Chelsea,ENG-Premier League,3191.0,29.99983731843531,9.8022615686059,20.19757574982941,39.80209888704121,15,8,23,Finisher,Complete
Robert Lewandowski,FW,Barcelona,ESP-La Liga,2667.0,29.242779716849327,6.6593545116484165,22.58342520520091,35.902134228497744,27,2,29,Finisher,Complete
Serhou Guirassy,FW,Dortmund,GER-Bundesliga,2598.0,28.84895157814026,5.983426092192531,22.865525485947728,34.83237767033279,21,4,25,Finisher,Complete
Vitinha,MF,Paris S-G,FRA-Ligue 1,2042.0,28.018506303429604,26.460083283483986,1.558423019945618,54.478589586913586,5,1,6,Architect,Complete
Federico Valverde,"MF,DF",Real Madrid,ESP-La Liga,3032.0,28.01436400040984,23.317611841484904,4.696752158924937,51.331975841894746,6,4,10,Balanced,Complete
Yoane Wissa,FW,Brentford,ENG-Premier League,2919.0,27.726778712123632,5.426989254541695,22.299789457581937,33.15376796666533,19,4,23,Finisher,Complete
Dominik Szoboszlai,MF,Liverpool,ENG-Premier League,2491.0,27.468164574354887,15.59493687003851,11.873227704316378,43.063101444393396,6,6,12,Finisher,Complete
Fabián Ruiz Peña,MF,Paris S-G,FRA-Ligue 1,1923.0,27.309957422316074,20.667619924992323,6.6423374973237514,47.9775773473084,4,5,9,Finisher,Complete
Luis Díaz,FW,Liverpool,ENG-Premier League,2399.0,27.060918375849724,10.240967989899218,16.819950385950506,37.30188636574894,13,5,18,Finisher,Complete
Mateo Retegui,FW,Atalanta,ITA-Serie A,2383.0,26.73618371039629,7.063065273687244,19.673118436709046,33.79924898408353,25,8,33,Finisher,Complete
Achraf Hakimi,DF,Paris S-G,FRA-Ligue 1,2066.0,26.46471108496189,20.62244639731944,5.8422646876424515,47.08715748228133,4,6,10,Finisher,Complete
Alexander Isak,FW,Newcastle Utd,ENG-Premier League,2756.0,26.209551103413105,3.579237926751375,22.63031317666173,29.78878903016448,23,6,29,Finisher,Finisher
Antoine Semenyo,FW,Bournemouth,ENG-Premier League,3203.0,26.17976476252079,7.88416787609458,18.29559688642621,34.06393263861537,11,5,16,Finisher,Complete
Mason Greenwood,"FW,MF",Marseille,FRA-Ligue 1,2804.0,26.145459055900574,10.892803529277444,15.25265552662313,37.03826258517802,21,5,26,Finisher,Complete
Tijjani Reijnders,MF,Milan,ITA-Serie A,3128.0,25.90405914932489,16.791109887883067,9.112949261441823,42.69516903720796,10,4,14,Finisher,Complete
Maghnes Akliouche,"FW,MF",Monaco,FRA-Ligue 1,2406.0,25.27197031117976,11.500962702557445,13.771007608622316,36.7729330137372,5,10,15,Finisher,Complete
Julián Álvarez,FW,Atlético Madrid,ESP-La Liga,2509.0,25.16218076646328,9.433768885210156,15.728411881253123,34.595949651673436,17,4,21,Finisher,Complete
Ademola Lookman,"MF,FW",Atalanta,ITA-Serie A,2247.0,24.82031987607479,8.259659683331847,16.560660192742944,33.07997955940664,15,5,20,Finisher,Complete
Jude Bellingham,MF,Real Madrid,ESP-La Liga,2488.0,24.68224741518497,15.25862560980022,9.423621805384752,39.940873024985194,9,8,17,Finisher,Complete
Bryan Mbeumo,FW,Brentford,ENG-Premier League,3414.0,24.377113293856382,9.351834732107818,15.025278561748564,33.7289480259642,20,7,27,Finisher,Complete
Ismaila Sarr,MF,Crystal Palace,ENG-Premier League,2711.0,24.235270714387298,7.31391823105514,16.921352483332157,31.549188945442438,8,6,14,Finisher,Complete
Bruno Fernandes,MF,Manchester Utd,ENG-Premier League,3018.0,24.228133594617248,13.64469823986292,10.583435354754327,37.872831834480166,8,10,18,Finisher,Complete
Jules Koundé,DF,Barcelona,ESP-La Liga,2605.0,24.09632397815585,20.27425637468696,3.8220676034688914,44.37058035284281,2,3,5,Balanced,Complete
Corentin Tolisso,MF,Lyon,FRA-Ligue 1,2329.0,24.05178974941373,16.688746716827154,7.3630430325865746,40.74053646624088,7,4,11,Finisher,Complete
Jamal Musiala,MF,Bayern Munich,GER-Bundesliga,1798.0,23.51362369954586,10.554121501743792,12.959502197802069,34.067745201289654,12,2,14,Finisher,Complete
Vinicius Júnior,FW,Real Madrid,ESP-La Liga,2253.0,23.5002229064703,7.632643768563867,15.867579137906432,31.132866675034165,11,8,19,Finisher,Complete
Alex Baena,"MF,FW",Villarreal,ESP-La Liga,2595.0,23.495316974818707,10.70790826343,12.787408711388707,34.203225238248706,7,9,16,Finisher,Complete
Alexis Mac Allister,MF,Liverpool,ENG-Premier League,2599.0,23.3634732440114,19.07193909212947,4.29153415188193,42.43541233614087,5,5,10,Balanced,Complete
Désiré Doué,"FW,MF",Paris S-G,FRA-Ligue 1,1730.0,23.308736577630043,10.87196858227253,12.436767995357513,34.18070515990257,6,6,12,Finisher,Complete
Julian Brandt,MF,Dortmund,GER-Bundesliga,2303.0,23.14715365692973,13.3252425622195,9.82191109471023,36.47239621914923,5,10,15,Finisher,Complete
Joško Gvardiol,DF,Manchester City,ENG-Premier League,3277.0,22.93838313966989,18.74818231165409,4.190200828015801,41.686565451323986,5,0,5,Balanced,Complete
Takumi Minamino,"MF,FW",Monaco,FRA-Ligue 1,2231.0,22.925799012184143,7.210842279717326,15.714956732466817,30.13664129190147,6,3,9,Finisher,Complete
Erling Haaland,FW,Manchester City,ENG-Premier League,2736.0,22.845245644450188,3.5353690683841705,19.309876576066017,26.380614712834358,22,3,25,Finisher,Finisher
Pierre Højbjerg,MF,Marseille,FRA-Ligue 1,2664.0,22.778791517019272,20.14543617516756,2.6333553418517113,42.92422769218683,2,4,6,Balanced,Complete
Jonathan David,FW,Lille,FRA-Ligue 1,2554.0,22.463136840611696,6.009819163009524,16.453317677602172,28.47295600362122,16,5,21,Finisher,Complete
João Neves,"MF,DF",Paris S-G,FRA-Ligue 1,1844.0,22.41386966779828,16.048299852758646,6.365569815039635,38.46216952055693,3,8,11,Finisher,Complete
Moise Kean,FW,Fiorentina,ITA-Serie A,2704.0,22.372604370117188,2.2697757203131914,20.102828649803996,24.64238009043038,19,3,22,Finisher,Finisher
Virgil van Dijk,DF,Liverpool,ENG-Premier League,3330.0,22.29557890444994,21.51737556606531,0.7782033383846283,43.81295447051525,3,1,4,Architect,Complete
Éderson,MF,Atalanta,ITA-Serie A,2881.0,22.29255823791027,16.017200173810124,6.275358064100146,38.309758411720395,4,1,5,Finisher,Complete
Tim Kleindienst,FW,Gladbach,GER-Bundesliga,2737.0,22.16408023238182,5.898254873231053,16.265825359150767,28.062335105612874,16,7,23,Finisher,Complete
Cody Gakpo,FW,Liverpool,ENG-Premier League,1935.0,22.09034220688045,8.677158913575113,13.413183293305337,30.767501120455563,10,4,14,Finisher,Complete
Christian Pulisic,"FW,MF",Milan,ITA-Serie A,2478.0,21.96822089701891,9.794868961907923,12.173351935110986,31.763089858926833,11,9,20,Finisher,Complete
Warren Zaïre-Emery,"MF,DF",Paris S-G,FRA-Ligue 1,2050.0,21.90424995869398,18.82626821100712,3.077981747686863,40.7305181697011,1,2,3,Balanced,Complete
Nuno Mendes,DF,Paris S-G,FRA-Ligue 1,1676.0,21.817054469138384,17.035902190953493,4.781152278184891,38.85295666009188,1,3,4,Balanced,Complete
Charles De Ketelaere,"MF,FW",Atalanta,ITA-Serie A,2070.0,21.813689198344942,11.468675585463645,10.345013612881298,33.28236478380859,7,7,14,Finisher,Complete
Alexander Sørloth,FW,Atlético Madrid,ESP-La Liga,1566.0,21.53670882433653,2.1480457819998264,19.388663042336702,23.684754606336355,20,2,22,Finisher,Finisher
Leroy Sané,FW,Bayern Munich,GER-Bundesliga,1637.0,21.53510593622923,8.566130949184299,12.96897498704493,30.101236885413527,11,5,16,Finisher,Complete
Alex Iwobi,"FW,MF",Fulham,ENG-Premier League,2981.0,21.47882725391537,10.64560728892684,10.83321996498853,32.12443454284221,9,6,15,Finisher,Complete
Ryan Gravenberch,MF,Liverpool,ENG-Premier League,3160.0,21.408910930156708,19.362357161939144,2.0465537682175636,40.77126809209585,0,4,4,Balanced,Complete
Kaoru Mitoma,"FW,MF",Brighton,ENG-Premier League,2603.0,21.407055608928204,8.427826434373856,12.979229174554348,29.83488204330206,10,4,14,Finisher,Complete
Breel Embolo,"FW,MF",Monaco,FRA-Ligue 1,1841.0,21.313080810010437,5.423037210479379,15.890043599531058,26.736118020489815,6,4,10,Finisher,Complete
Youri Tielemans,MF,Aston Villa,ENG-Premier League,3026.0,21.22876513004303,16.205695185810328,5.023069944232702,37.43446031585336,3,7,10,Finisher,Complete
Iñaki Williams,FW,Athletic Club,ESP-La Liga,2652.0,21.10827152617276,8.164707442745566,12.943564083427194,29.272978968918327,6,8,14,Finisher,Complete
Emanuel Emegha,FW,Strasbourg,FRA-Ligue 1,2293.0,21.057025346904997,3.164751287549734,17.892274059355262,24.22177663445473,14,3,17,Finisher,Finisher
Enzo Fernández,MF,Chelsea,ENG-Premier League,2947.0,20.848417054861784,10.725481959059834,10.12293509580195,31.57389901392162,6,7,13,Finisher,Complete
Florian Wirtz,"MF,FW",Leverkusen,GER-Bundesliga,2351.0,20.83097556233406,10.964113848283889,9.866861714050172,31.795089410617948,10,12,22,Finisher,Complete
Bruno Guimarães,MF,Newcastle Utd,ENG-Premier League,3271.0,20.815922878682613,14.020939897745848,6.794982980936766,34.83686277642846,5,6,11,Finisher,Complete
Rayan Cherki,"FW,MF",Lyon,FRA-Ligue 1,2041.0,20.805470407009125,10.926877833902836,9.878592573106289,31.73234824091196,8,11,19,Finisher,Complete
Alexandre Lacazette,FW,Lyon,FRA-Ligue 1,2051.0,20.64808761700988,5.844014432281256,14.804073184728626,26.492102049291137,15,2,17,Finisher,Complete
Marcus Thuram,FW,Inter,ITA-Serie A,2290.0,20.54565922170877,6.454995878040791,14.09066334366798,27.00065509974956,14,4,18,Finisher,Complete
Lautaro Martínez,FW,Inter,ITA-Serie A,2564.0,20.420169971883297,4.456489903852344,15.963680068030953,24.87665987573564,12,3,15,Finisher,Finisher
Marten de Roon,"MF,DF",Atalanta,ITA-Serie A,3058.0,20.36193405464292,18.280003871768717,2.0819301828742027,38.641937926411636,4,4,8,Balanced,Complete
Angelo Stiller,MF,Stuttgart,GER-Bundesliga,2741.0,20.341689500957727,15.394947450608017,4.946742050349711,35.73663695156574,1,8,9,Balanced,Complete
Adrien Thomasson,MF,Lens,FRA-Ligue 1,2615.0,20.11201234906912,11.505189450457692,8.606822898611426,31.61720179952681,3,7,10,Finisher,Complete
Luis Henrique,"DF,FW",Marseille,FRA-Ligue 1,2613.0,20.102429423481222,11.444075493142009,8.658353930339214,31.54650491662323,7,7,14,Finisher,Complete
Trent Alexander-Arnold,DF,Liverpool,ENG-Premier League,2365.0,20.09090856090188,13.782187223434448,6.308721337467432,33.87309578433633,3,6,9,Finisher,Complete
Iñigo Martínez,DF,Barcelona,ESP-La Liga,2490.0,20.049223262816668,19.11283127591014,0.9363919869065285,39.16205453872681,0,4,4,Architect,Complete
Rafael Leão,FW,Milan,ITA-Serie A,2323.0,19.97986435238272,9.706410181708634,10.273454170674086,29.686274534091353,8,8,16,Finisher,Complete
Deniz Undav,"FW,MF",Stuttgart,GER-Bundesliga,1726.0,19.974650152027607,5.010630551725626,14.964019600301981,24.985280703753233,9,3,12,Finisher,Complete
Andrew Robertson,DF,Liverpool,ENG-Premier League,2482.0,19.93133733794093,15.677865535020828,4.253471802920103,35.60920287296176,0,1,1,Balanced,Complete
Adrien Rabiot,MF,Marseille,FRA-Ligue 1,2485.0,19.92361005023122,10.759618811309338,9.16399123892188,30.683228861540556,9,4,13,Finisher,Complete
Romano Schmid,MF,Werder Bremen,GER-Bundesliga,2834.0,19.91676950454712,13.533827669918535,6.382941834628584,33.450597174465656,5,4,9,Finisher,Complete
Ayoze Pérez,FW,Villarreal,ESP-La Liga,1970.0,19.885818392038345,3.779487994499505,16.10633039753884,23.66530638653785,19,2,21,Finisher,Finisher
Antoine Griezmann,"FW,MF",Atlético Madrid,ESP-La Liga,2469.0,19.78995059709996,9.18062005378306,10.6093305433169,28.97057065088302,8,7,15,Finisher,Complete
Moisés Caicedo,"MF,DF",Chelsea,ENG-Premier League,3351.0,19.78497724980116,17.50836056470871,2.276616685092449,37.29333781450987,1,2,3,Balanced,Complete
Mattéo Guendouzi,MF,Lazio,ITA-Serie A,3270.0,19.77757119387388,16.28183127194643,3.4957399219274485,36.05940246582031,1,3,4,Balanced,Complete
Lee Kang-in,"FW,MF",Paris S-G,FRA-Ligue 1,1663.0,19.64458440616727,12.53140404075384,7.113180365413429,32.17598844692111,6,6,12,Finisher,Complete
Pascal Groß,"MF,DF",Dortmund,GER-Bundesliga,2327.0,19.634757071733475,13.901075672358274,5.7336813993752,33.53583274409175,0,9,9,Finisher,Complete
Óscar Mingueza,"MF,DF",Celta Vigo,ESP-La Liga,2729.0,19.6336851362139,15.253742268308995,4.379942867904903,34.887427404522896,4,6,10,Balanced,Complete
Evann Guessand,"FW,MF",Nice,FRA-Ligue 1,2565.0,19.57817357778549,5.419926440343261,14.158247137442228,24.99810001812875,12,8,20,Finisher,Complete
Luka Modrić,MF,Real Madrid,ESP-La Liga,1827.0,19.557018108665943,15.646373184397817,3.9106449242681265,35.20339129306376,2,6,8,Balanced,Complete
Mikkel Damsgaard,"MF,FW",Brentford,ENG-Premier League,2911.0,19.425128288567063,11.846998741850255,7.5781295467168075,31.272127030417316,2,10,12,Finisher,Complete
Bernardo Silva,"MF,FW",Manchester City,ENG-Premier League,2670.0,19.424771897494796,13.0239042006433,6.400867696851497,32.448676098138094,4,4,8,Finisher,Complete
Willian Pacho,DF,Paris S-G,FRA-Ligue 1,2132.0,19.410272642970085,19.096385285258293,0.313887357711792,38.50665792822838,0,1,1,Architect,Complete
Marvin Ducksch,FW,Werder Bremen,GER-Bundesliga,2418.0,19.355842046439648,4.983372114598751,14.372469931840897,24.3392141610384,8,8,16,Finisher,Complete
Andrej Kramarić,"MF,FW",Hoffenheim,GER-Bundesliga,2767.0,19.27825254201889,5.942930793389678,13.335321748629212,25.22118333540857,11,8,19,Finisher,Complete
Ritsu Doan,"FW,MF",Freiburg,GER-Bundesliga,2862.0,19.25091073103249,10.242727846838534,9.008182884193957,29.493638577871025,10,7,17,Finisher,Complete
Alejandro Balde,DF,Barcelona,ESP-La Liga,2284.0,19.236092265695333,17.1140445061028,2.122047759592533,36.350136771798134,0,4,4,Balanced,Complete
Valentín Castellanos,FW,Lazio,ITA-Serie A,2384.0,19.230164020322263,5.09424526616931,14.135918754152954,24.324409286491573,10,3,13,Finisher,Complete
Mario Pašalić,MF,Atalanta,ITA-Serie A,1967.0,19.13353493064642,11.964951280504463,7.168583650141956,31.098486211150885,3,4,7,Finisher,Complete
Granit Xhaka,MF,Leverkusen,GER-Bundesliga,2888.0,19.094832016155124,16.296785784885287,2.7980462312698364,35.39161780104041,2,7,9,Balanced,Complete
Thierno Barry,FW,Villarreal,ESP-La Liga,2323.0,19.066308550536636,4.0202120169997215,15.046096533536915,23.086520567536358,11,4,15,Finisher,Finisher
Jacob Murphy,FW,Newcastle Utd,ENG-Premier League,2360.0,18.842034708708525,4.910585891455412,13.931448817253113,23.752620600163937,8,12,20,Finisher,Complete
Kevin De Bruyne,"MF,FW",Manchester City,ENG-Premier League,1702.0,18.807611417025328,8.703332384116948,10.10427903290838,27.510943801142275,4,7,11,Finisher,Complete
Son Heung-min,FW,Tottenham,ENG-Premier League,2110.0,18.78970428556204,6.860619023442268,11.92908526211977,25.650323309004307,7,9,16,Finisher,Complete
Eberechi Eze,"MF,FW",Crystal Palace,ENG-Premier League,2588.0,18.762924566864967,8.675655025988817,10.08726954087615,27.438579592853785,8,8,16,Finisher,Complete
Nick Woltemade,"FW,MF",Stuttgart,GER-Bundesliga,1622.0,18.696467697620392,5.270718416199088,13.425749281421304,23.96718611381948,12,2,14,Finisher,Complete
Noni Madueke,FW,Chelsea,ENG-Premier League,2033.0,18.66834883764386,6.725336389616132,11.94301244802773,25.393685227259994,7,3,10,Finisher,Complete
Lucas Beraldo,DF,Paris S-G,FRA-Ligue 1,2011.0,18.617858428508043,18.117379531264305,0.5004788972437382,36.73523795977235,1,0,1,Architect,Complete
Jean-Philippe Mateta,FW,Crystal Palace,ENG-Premier League,2648.0,18.602611111477017,3.6145096691325302,14.988101442344487,22.217120780609548,14,2,16,Finisher,Finisher
Dango Ouattara,FW,Bournemouth,ENG-Premier League,2005.0,18.47662752587348,4.439398280344904,14.037229245528575,22.916025806218382,7,4,11,Finisher,Finisher
Gonçalo Ramos,FW,Paris S-G,FRA-Ligue 1,1066.0,18.393224000930783,3.989367220550776,14.403856780380007,22.382591221481558,10,3,13,Finisher,Finisher
Mitchell Weiser,"DF,MF",Werder Bremen,GER-Bundesliga,2868.0,18.330695912241936,10.379622384905815,7.951073527336121,28.71031829714775,5,9,14,Finisher,Complete
Kim Min-jae,DF,Bayern Munich,GER-Bundesliga,2283.0,18.283761721104383,18.164988350123167,0.11877337098121643,36.44875007122755,2,0,2,Architect,Complete
Lucas Vázquez,DF,Real Madrid,ESP-La Liga,2189.0,18.242735382169485,13.413350004702806,4.829385377466679,31.65608538687229,1,5,6,Balanced,Complete
